# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00214.cm
# date:    Sat May 14 01:06:08 2016
# seed:    1463187968
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Retro_dr1                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:38.71       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.9447     -22.9447      0.0000
  QRF01739_AGJC01000011.1        62     -22.5404     -22.5404      0.0000
  QRF01739_AP012205.1            62     -18.2540     -18.2540      0.0000
  QRF01739_AEPQ01000180.1        85     -16.4775     -16.4775      0.0000
  QRF01739_AACY023065314.1       57     -22.7397     -22.7397      0.0000
  QRF01739_AACY020081009.1       57     -22.7397     -22.7397      0.0000
  QRF01739_ACSK01000180.1        92     -21.9747     -21.9747      0.0000
  QRF01739_BA000039.2           113     -15.6507     -15.6507      0.0000
  QRF01739_AACY023081145.1       53     -24.7174     -24.7174      0.0000
  QRF01739_AFSR01000238.1        99     -16.2804     -16.2804      0.0000
  QRF01739_AGJC01000003.1        76     -20.5339     -20.5339      0.0000
  QRF01739_AFSR01000146.1        92     -16.8371     -16.8371      0.0000
  QRF01739_CACA01000349.1        84     -20.7866     -20.7866      0.0000
  QRF01739_AACY022751187.1       52     -27.7829     -27.7829      0.0000
  QRF01739_AACY022283709.1       52     -27.7829     -27.7829      0.0000
  QRF01739_ABPS01003770.1       123     -10.8670     -10.8670      0.0000
  QRF01739_AFEJ01000345.1        83     -19.5518     -19.5518      0.0000
  QRF00005_CABR01000029.1        73     -17.0565     -17.0565      0.0000
  QRF00005_AFSR01002788.1        74     -11.2974     -11.2974      0.0000
  QRF00005_CP000927.1            72     -25.5225     -25.5225      0.0000
  QRF00005_AY741371.1            72     -23.9764     -23.9764      0.0000
  QRF00005_AEGR01000006.1        73     -24.5249     -24.5249      0.0000
