# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01398.cm
# date:    Sat May 14 04:57:05 2016
# seed:    1463201825
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  isrP                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:14.84       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -47.4434     -47.4434      0.0000
  QRF01739_AGJC01000011.1        62     -50.5923     -50.5923      0.0000
  QRF01739_AP012205.1            62     -51.4734     -51.4734      0.0000
  QRF01739_AEPQ01000180.1        85     -37.4781     -37.4781      0.0000
  QRF01739_AACY023065314.1       57     -51.0538     -51.0538      0.0000
  QRF01739_AACY020081009.1       57     -51.0538     -51.0538      0.0000
  QRF01739_ACSK01000180.1        92     -40.8152     -40.8152      0.0000
  QRF01739_BA000039.2           113     -30.4408     -30.4408      0.0000
  QRF01739_AACY023081145.1       53     -54.9251     -54.9251      0.0000
  QRF01739_AFSR01000238.1        99     -36.7901     -36.7901      0.0000
  QRF01739_AGJC01000003.1        76     -43.6116     -43.6116      0.0000
  QRF01739_AFSR01000146.1        92     -34.2344     -34.2344      0.0000
  QRF01739_CACA01000349.1        84     -43.5721     -43.5721      0.0000
  QRF01739_AACY022751187.1       52     -54.6885     -54.6885      0.0000
  QRF01739_AACY022283709.1       52     -54.6885     -54.6885      0.0000
  QRF01739_ABPS01003770.1       123     -27.7637     -27.7637      0.0000
  QRF01739_AFEJ01000345.1        83     -45.2112     -45.2112      0.0000
  QRF00005_CABR01000029.1        73     -43.7507     -43.7507      0.0000
  QRF00005_AFSR01002788.1        74     -49.2065     -49.2065      0.0000
  QRF00005_CP000927.1            72     -43.0348     -43.0348      0.0000
  QRF00005_AY741371.1            72     -45.6421     -45.6421      0.0000
  QRF00005_AEGR01000006.1        73     -44.3656     -44.3656      0.0000
  QRF00005_CP001189.1            73     -35.4982     -35.4982      0.0000
  QRF00005_CP000493.1            72     -47.3810     -47.3810      0.0000
  QRF00005_AP012159.1            73     -35.4982     -35.4982      0.0000
  QRF00005_AM889285.1            73     -35.4982     -35.4982      0.0000
  QRF00005_AGFR01000003.1        73     -42.2066     -42.2066      0.0000
  QRF00005_AFCH01000046.1        73     -35.4982     -35.4982      0.0000
  QRF00005_ADTV01000009.1        73     -35.4982     -35.4982      0.0000
  QRF00005_ABCE01000025.1        73     -43.1617     -43.1617      0.0000
  QRF00005_HM565909.1            72     -46.7844     -46.7844      0.0000
  QRF00005_CAFG01000441.1        73     -44.7668     -44.7668      0.0000
  QRF00005_AACY020656879.1       72     -44.9631     -44.9631      0.0000
  QRF00005_CP001744.1            73     -48.2362     -48.2362      0.0000
  QRF00005_CP000880.1            73     -42.3419     -42.3419      0.0000
  QRF00005_CACD01000012.1        73     -42.3419     -42.3419      0.0000
  QRF00005_CACD01000012.1        73     -42.3419     -42.3419      0.0000
  QRF00005_CACD01000012.1        73     -42.3419     -42.3419      0.0000
  QRF00005_AM849034.1            74     -42.3509     -42.3509      0.0000
  QRF00005_AM711867.1            74     -42.3509     -42.3509      0.0000
  QRF00005_AEQT01000005.1        73     -42.3419     -42.3419      0.0000
  QRF00005_AEQT01000005.1        73     -42.3419     -42.3419      0.0000
  QRF00005_ACDJ01000003.1        73     -42.3419     -42.3419      0.0000
  QRF00005_ABWL02000007.1        73     -42.3419     -42.3419      0.0000
  QRF00005_Z71579.1              73     -39.0413     -39.0413      0.0000
  QRF00005_X53782.1              73     -39.0413     -39.0413      0.0000
  QRF00005_M19391.1              73     -39.0413     -39.0413      0.0000
  QRF00005_M15314.1              73     -39.0413     -39.0413      0.0000
  QRF00005_L42023.1              73     -39.0413     -39.0413      0.0000
  QRF00005_L42023.1              73     -39.0413     -39.0413      0.0000
  QRF00005_L42023.1              73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670204.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670204.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670204.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670178.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670178.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670178.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ670178.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ312006.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ312006.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ312006.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ312002.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ312002.1            73     -39.0413     -39.0413      0.0000
  QRF00005_FQ312002.1            73     -39.0413     -39.0413      0.0000
  QRF00005_EF196803.1            73     -39.0413     -39.0413      0.0000
  QRF00005_EF196803.1            73     -39.0413     -39.0413      0.0000
  QRF00005_CP003022.1            73     -39.0413     -39.0413      0.0000
  QRF00001_EU093378.1           119     -36.7877     -37.1510      0.3633
  QRF00001_AAAA02047827.1       119     -36.0797     -36.4430      0.3633
  QRF00001_AAAA02043281.1       119     -38.7817     -40.1868      1.4050
  QRF00001_EF064700.1           119     -35.3717     -35.3717      0.0000
  QRF00001_EF064692.1           119     -35.3717     -35.3717      0.0000
  QRF00001_EF064687.1           119     -35.3717     -35.3717      0.0000
  QRF00001_EF064680.1           119     -35.3717     -35.3717      0.0000
  QRF00001_EF064678.1           119     -35.3717     -35.3717      0.0000
  QRF00001_EF064556.1           119     -35.3717     -35.3717      0.0000
  QRF00001_AJ390135.1           119     -35.3717     -35.3717      0.0000
  QRF00001_HQ270965.1           119     -36.0797     -36.4430      0.3633
  QRF00001_GQ324770.1           119     -36.0797     -36.4430      0.3633
  QRF00001_FJ882503.1           119     -36.0797     -36.4430      0.3633
