# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00675.cm
# date:    Fri May 13 19:52:19 2016
# seed:    1463169139
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-145                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:37.71       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.8593     -18.8593      0.0000
  QRF01739_AGJC01000011.1        62     -18.7060     -18.7060      0.0000
  QRF01739_AP012205.1            62     -11.9696     -11.9696      0.0000
  QRF01739_AEPQ01000180.1        85      -8.9000      -8.9000      0.0000
  QRF01739_AACY023065314.1       57     -17.2454     -17.2454      0.0000
  QRF01739_AACY020081009.1       57     -17.2454     -17.2454      0.0000
  QRF01739_ACSK01000180.1        92     -11.8871     -11.8871      0.0000
  QRF01739_BA000039.2           113       4.4851       4.4851      0.0000
  QRF01739_AACY023081145.1       53     -17.5503     -17.5503      0.0000
  QRF01739_AFSR01000238.1        99      -8.1053      -8.1053      0.0000
  QRF01739_AGJC01000003.1        76     -14.8113     -14.8113      0.0000
  QRF01739_AFSR01000146.1        92      -6.3167      -6.3167      0.0000
  QRF01739_CACA01000349.1        84     -17.6534     -17.6534      0.0000
  QRF01739_AACY022751187.1       52     -20.4051     -20.4051      0.0000
  QRF01739_AACY022283709.1       52     -20.4051     -20.4051      0.0000
  QRF01739_ABPS01003770.1       123     -13.7544     -13.7544      0.0000
  QRF01739_AFEJ01000345.1        83      -9.3100      -9.3100      0.0000
  QRF00005_CABR01000029.1        73     -16.1512     -16.1512      0.0000
  QRF00005_AFSR01002788.1        74     -17.0123     -17.0123      0.0000
  QRF00005_CP000927.1            72     -14.4661     -14.4661      0.0000
  QRF00005_AY741371.1            72     -18.1092     -18.1092      0.0000
  QRF00005_AEGR01000006.1        73     -20.1990     -20.6763      0.4774
  QRF00005_CP001189.1            73     -17.1193     -17.1193      0.0000
  QRF00005_CP000493.1            72     -19.2882     -19.2882      0.0000
  QRF00005_AP012159.1            73     -17.1193     -17.1193      0.0000
  QRF00005_AM889285.1            73     -17.1193     -17.1193      0.0000
