# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00176.cm
# date:    Sat May 14 02:30:24 2016
# seed:    1463193024
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Tombus_3_IV                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:42.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.7020     -20.7020      0.0000
  QRF01739_AGJC01000011.1        62     -24.6748     -24.6748      0.0000
  QRF01739_AP012205.1            62     -15.1002     -15.1002      0.0000
  QRF01739_AEPQ01000180.1        85      -7.7184      -7.7184      0.0000
  QRF01739_AACY023065314.1       57     -20.4221     -20.4221      0.0000
  QRF01739_AACY020081009.1       57     -20.4221     -20.4221      0.0000
  QRF01739_ACSK01000180.1        92     -12.4242     -12.4242      0.0000
  QRF01739_BA000039.2           113     -14.6112     -14.6112      0.0000
  QRF01739_AACY023081145.1       53     -19.8468     -19.8468      0.0000
  QRF01739_AFSR01000238.1        99     -10.4095     -10.4095      0.0000
  QRF01739_AGJC01000003.1        76     -15.7774     -15.7774      0.0000
  QRF01739_AFSR01000146.1        92      -8.7327      -8.7327      0.0000
  QRF01739_CACA01000349.1        84     -21.7665     -21.7665      0.0000
  QRF01739_AACY022751187.1       52     -26.5485     -26.5485      0.0000
  QRF01739_AACY022283709.1       52     -26.5485     -26.5485      0.0000
  QRF01739_ABPS01003770.1       123     -17.2973     -17.2973      0.0000
  QRF01739_AFEJ01000345.1        83     -13.1597     -13.1597      0.0000
  QRF00005_CABR01000029.1        73     -29.8767     -29.8767      0.0000
  QRF00005_AFSR01002788.1        74     -28.5642     -28.5642      0.0000
  QRF00005_CP000927.1            72     -24.2621     -24.2621      0.0000
  QRF00005_AY741371.1            72     -27.8389     -27.8389      0.0000
  QRF00005_AEGR01000006.1        73     -26.3648     -26.3648      0.0000
  QRF00005_CP001189.1            73     -24.1285     -24.1285      0.0000
  QRF00005_CP000493.1            72     -24.4756     -24.4756      0.0000
  QRF00005_AP012159.1            73     -24.1285     -24.1285      0.0000
  QRF00005_AM889285.1            73     -24.1285     -24.1285      0.0000
  QRF00005_AGFR01000003.1        73     -22.1252     -22.1252      0.0000
  QRF00005_AFCH01000046.1        73     -24.1285     -24.1285      0.0000
  QRF00005_ADTV01000009.1        73     -24.1285     -24.1285      0.0000
  QRF00005_ABCE01000025.1        73     -28.4265     -28.4265      0.0000
  QRF00005_HM565909.1            72     -28.1862     -28.1862      0.0000
  QRF00005_CAFG01000441.1        73     -27.5168     -27.5168      0.0000
  QRF00005_AACY020656879.1       72     -24.8248     -24.8248      0.0000
  QRF00005_CP001744.1            73     -25.2519     -25.2519      0.0000
  QRF00005_CP000880.1            73     -25.6851     -25.6851      0.0000
  QRF00005_CACD01000012.1        73     -25.6851     -25.6851      0.0000
  QRF00005_CACD01000012.1        73     -25.6851     -25.6851      0.0000
  QRF00005_CACD01000012.1        73     -25.6851     -25.6851      0.0000
  QRF00005_AM849034.1            74     -20.9617     -20.9617      0.0000
  QRF00005_AM711867.1            74     -20.9617     -20.9617      0.0000
  QRF00005_AEQT01000005.1        73     -25.6851     -25.6851      0.0000
  QRF00005_AEQT01000005.1        73     -25.6851     -25.6851      0.0000
  QRF00005_ACDJ01000003.1        73     -25.6851     -25.6851      0.0000
  QRF00005_ABWL02000007.1        73     -25.6851     -25.6851      0.0000
  QRF00005_Z71579.1              73     -23.3871     -23.3871      0.0000
  QRF00005_X53782.1              73     -23.3871     -23.3871      0.0000
  QRF00005_M19391.1              73     -23.3871     -23.3871      0.0000
  QRF00005_M15314.1              73     -23.3871     -23.3871      0.0000
  QRF00005_L42023.1              73     -23.3871     -23.3871      0.0000
  QRF00005_L42023.1              73     -23.3871     -23.3871      0.0000
  QRF00005_L42023.1              73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670204.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670204.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670204.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670178.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670178.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670178.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ670178.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ312006.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ312006.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ312006.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ312002.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ312002.1            73     -23.3871     -23.3871      0.0000
  QRF00005_FQ312002.1            73     -23.3871     -23.3871      0.0000
  QRF00005_EF196803.1            73     -23.3871     -23.3871      0.0000
  QRF00005_EF196803.1            73     -23.3871     -23.3871      0.0000
  QRF00005_CP003022.1            73     -23.3871     -23.3871      0.0000
  QRF00001_EU093378.1           119     -21.2405     -21.2405      0.0000
  QRF00001_AAAA02047827.1       119     -20.7898     -20.7898      0.0000
  QRF00001_AAAA02043281.1       119     -21.5095     -21.5095      0.0000
  QRF00001_EF064700.1           119     -20.4465     -20.4465      0.0000
  QRF00001_EF064692.1           119     -20.4465     -20.4465      0.0000
  QRF00001_EF064687.1           119     -20.4465     -20.4465      0.0000
  QRF00001_EF064680.1           119     -20.4465     -20.4465      0.0000
  QRF00001_EF064678.1           119     -20.4465     -20.4465      0.0000
  QRF00001_EF064556.1           119     -20.4465     -20.4465      0.0000
  QRF00001_AJ390135.1           119     -20.4465     -20.4465      0.0000
  QRF00001_HQ270965.1           119     -20.7898     -20.7898      0.0000
  QRF00001_GQ324770.1           119     -20.7898     -20.7898      0.0000
  QRF00001_FJ882503.1           119     -20.7898     -20.7898      0.0000
  QRF00001_AF550740.1           119     -20.7898     -20.7898      0.0000
  QRF00001_HQ270648.1           119     -20.7898     -20.7898      0.0000
  QRF00001_EU924818.1           119     -20.7898     -20.7898      0.0000
  QRF00001_EU093153.1           119     -20.7898     -20.7898      0.0000
  QRF00001_EF524209.1           119     -20.7898     -20.7898      0.0000
  QRF00001_AY316209.1           119     -20.7898     -20.7898      0.0000
  QRF00001_AY034674.1           119     -20.7898     -20.7898      0.0000
  QRF00001_AJ409525.1           119     -20.7898     -20.7898      0.0000
  QRF00001_AF550715.1           119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01010155.1       119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01009775.1       119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01009775.1       119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01009775.1       119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01009135.1       119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01009119.1       119     -20.7898     -20.7898      0.0000
  QRF00001_ABXC01009117.1       119     -20.7898     -20.7898      0.0000
