# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00285.cm
# date:    Sat May 14 04:08:25 2016
# seed:    1463198905
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoZ6                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:28.44       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.2226     -20.2226      0.0000
  QRF01739_AGJC01000011.1        62     -22.6930     -22.6930      0.0000
  QRF01739_AP012205.1            62     -18.7644     -18.7644      0.0000
  QRF01739_AEPQ01000180.1        85     -11.1591     -11.1591      0.0000
  QRF01739_AACY023065314.1       57     -22.1902     -22.1902      0.0000
  QRF01739_AACY020081009.1       57     -22.1902     -22.1902      0.0000
  QRF01739_ACSK01000180.1        92     -19.9193     -19.9193      0.0000
  QRF01739_BA000039.2           113     -16.9680     -16.9680      0.0000
  QRF01739_AACY023081145.1       53     -28.8704     -28.8704      0.0000
  QRF01739_AFSR01000238.1        99     -13.4239     -13.4239      0.0000
  QRF01739_AGJC01000003.1        76     -20.5108     -20.5108      0.0000
  QRF01739_AFSR01000146.1        92     -10.0770     -10.0770      0.0000
  QRF01739_CACA01000349.1        84     -12.1182     -12.1182      0.0000
  QRF01739_AACY022751187.1       52     -19.5732     -19.5732      0.0000
  QRF01739_AACY022283709.1       52     -19.5732     -19.5732      0.0000
  QRF01739_ABPS01003770.1       123     -11.7494     -11.7494      0.0000
  QRF01739_AFEJ01000345.1        83     -15.7226     -15.7226      0.0000
  QRF00005_CABR01000029.1        73     -24.1519     -24.1519      0.0000
  QRF00005_AFSR01002788.1        74     -23.6279     -23.6279      0.0000
  QRF00005_CP000927.1            72     -22.7982     -22.7982      0.0000
  QRF00005_AY741371.1            72     -18.8056     -18.8056      0.0000
  QRF00005_AEGR01000006.1        73     -21.1607     -21.1607      0.0000
  QRF00005_CP001189.1            73     -19.1359     -19.1359      0.0000
  QRF00005_CP000493.1            72     -29.3949     -29.3949      0.0000
  QRF00005_AP012159.1            73     -19.1359     -19.1359      0.0000
