# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01102.cm
# date:    Sat May 14 02:36:33 2016
# seed:    1463193393
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PK1-TEV_CVMV               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:08.58       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -10.0887     -10.0887      0.0000
  QRF01739_AGJC01000011.1        62      -4.9917      -4.9917      0.0000
  QRF01739_AP012205.1            62      -5.9815      -5.9815      0.0000
  QRF01739_AEPQ01000180.1        85      -5.3327      -5.3327      0.0000
  QRF01739_AACY023065314.1       57      -7.6768      -7.6768      0.0000
  QRF01739_AACY020081009.1       57      -7.6768      -7.6768      0.0000
  QRF01739_ACSK01000180.1        92     -10.3407     -10.3407      0.0000
  QRF01739_BA000039.2           113      -6.7867      -6.7867      0.0000
  QRF01739_AACY023081145.1       53      -6.9480      -6.9480      0.0000
  QRF01739_AFSR01000238.1        99     -10.7244     -10.7244      0.0000
  QRF01739_AGJC01000003.1        76      -6.1673      -6.1673      0.0000
  QRF01739_AFSR01000146.1        92     -12.7509     -12.7509      0.0000
  QRF01739_CACA01000349.1        84     -12.2247     -12.2247      0.0000
  QRF01739_AACY022751187.1       52      -7.3381      -7.3381      0.0000
  QRF01739_AACY022283709.1       52      -7.3381      -7.3381      0.0000
