# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00372.cm
# date:    Fri May 13 23:34:35 2016
# seed:    1463182475
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sroH                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:30.32       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -61.1202     -61.1202      0.0000
  QRF01739_AGJC01000011.1        62     -64.7494     -64.7494      0.0000
  QRF01739_AP012205.1            62     -65.5043     -65.5043      0.0000
  QRF01739_AEPQ01000180.1        85     -52.3816     -52.3816      0.0000
  QRF01739_AACY023065314.1       57     -68.4954     -68.4954      0.0000
  QRF01739_AACY020081009.1       57     -68.4954     -68.4954      0.0000
  QRF01739_ACSK01000180.1        92     -49.6096     -49.6096      0.0000
  QRF01739_BA000039.2           113     -38.6013     -38.6013      0.0000
  QRF01739_AACY023081145.1       53     -70.0458     -70.0458      0.0000
  QRF01739_AFSR01000238.1        99     -52.8351     -52.8351      0.0000
  QRF01739_AGJC01000003.1        76     -49.3879     -49.3879      0.0000
  QRF01739_AFSR01000146.1        92     -56.1483     -56.1483      0.0000
  QRF01739_CACA01000349.1        84     -55.3260     -55.3260      0.0000
  QRF01739_AACY022751187.1       52     -66.3625     -66.3625      0.0000
  QRF01739_AACY022283709.1       52     -66.3625     -66.3625      0.0000
  QRF01739_ABPS01003770.1       123     -34.7926     -34.7926      0.0000
  QRF01739_AFEJ01000345.1        83     -61.9964     -61.9964      0.0000
  QRF00005_CABR01000029.1        73     -64.4983     -64.4983      0.0000
  QRF00005_AFSR01002788.1        74     -58.2808     -58.2808      0.0000
  QRF00005_CP000927.1            72     -58.6914     -58.6914      0.0000
  QRF00005_AY741371.1            72     -63.0402     -63.0402      0.0000
  QRF00005_AEGR01000006.1        73     -60.3282     -60.3282      0.0000
  QRF00005_CP001189.1            73     -60.7774     -60.7774      0.0000
  QRF00005_CP000493.1            72     -55.7927     -55.7927      0.0000
  QRF00005_AP012159.1            73     -60.7774     -60.7774      0.0000
  QRF00005_AM889285.1            73     -60.7774     -60.7774      0.0000
  QRF00005_AGFR01000003.1        73     -59.4948     -59.4948      0.0000
  QRF00005_AFCH01000046.1        73     -60.7774     -60.7774      0.0000
  QRF00005_ADTV01000009.1        73     -60.7774     -60.7774      0.0000
  QRF00005_ABCE01000025.1        73     -60.7568     -60.7568      0.0000
  QRF00005_HM565909.1            72     -67.0621     -67.0621      0.0000
  QRF00005_CAFG01000441.1        73     -64.0811     -64.0811      0.0000
  QRF00005_AACY020656879.1       72     -65.8257     -65.8257      0.0000
  QRF00005_CP001744.1            73     -63.3917     -63.3917      0.0000
  QRF00005_CP000880.1            73     -62.4883     -62.4883      0.0000
