# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00225.cm
# date:    Sat May 14 04:47:40 2016
# seed:    1463201260
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_Tobamo                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:07.13       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -59.7107     -59.7107      0.0000
  QRF01739_AGJC01000011.1        62     -56.8487     -56.8487      0.0000
  QRF01739_AP012205.1            62     -50.9541     -50.9541      0.0000
  QRF01739_AEPQ01000180.1        85     -36.1256     -36.1256      0.0000
  QRF01739_AACY023065314.1       57     -54.6194     -54.6194      0.0000
  QRF01739_AACY020081009.1       57     -54.6194     -54.6194      0.0000
  QRF01739_ACSK01000180.1        92     -38.3865     -38.3865      0.0000
  QRF01739_BA000039.2           113     -42.4255     -42.4255      0.0000
  QRF01739_AACY023081145.1       53     -63.8000     -63.8000      0.0000
  QRF01739_AFSR01000238.1        99     -46.5080     -46.5080      0.0000
  QRF01739_AGJC01000003.1        76     -46.0739     -46.0739      0.0000
  QRF01739_AFSR01000146.1        92     -45.3432     -45.3432      0.0000
  QRF01739_CACA01000349.1        84     -50.4170     -50.4170      0.0000
  QRF01739_AACY022751187.1       52     -59.6821     -59.6821      0.0000
  QRF01739_AACY022283709.1       52     -59.6821     -59.6821      0.0000
  QRF01739_ABPS01003770.1       123     -40.1521     -40.1521      0.0000
  QRF01739_AFEJ01000345.1        83     -44.4006     -44.4006      0.0000
  QRF00005_CABR01000029.1        73     -56.6409     -56.6409      0.0000
  QRF00005_AFSR01002788.1        74     -59.7805     -59.7805      0.0000
  QRF00005_CP000927.1            72     -58.7457     -58.7457      0.0000
  QRF00005_AY741371.1            72     -60.7880     -60.7880      0.0000
  QRF00005_AEGR01000006.1        73     -57.6354     -57.6354      0.0000
  QRF00005_CP001189.1            73     -57.3553     -57.3553      0.0000
  QRF00005_CP000493.1            72     -64.0041     -64.0041      0.0000
  QRF00005_AP012159.1            73     -57.3553     -57.3553      0.0000
  QRF00005_AM889285.1            73     -57.3553     -57.3553      0.0000
  QRF00005_AGFR01000003.1        73     -55.6642     -55.6642      0.0000
  QRF00005_AFCH01000046.1        73     -57.3553     -57.3553      0.0000
  QRF00005_ADTV01000009.1        73     -57.3553     -57.3553      0.0000
  QRF00005_ABCE01000025.1        73     -46.9681     -46.9681      0.0000
  QRF00005_HM565909.1            72     -58.1323     -58.1323      0.0000
  QRF00005_CAFG01000441.1        73     -58.8879     -58.8879      0.0000
  QRF00005_AACY020656879.1       72     -57.9380     -57.9380      0.0000
  QRF00005_CP001744.1            73     -55.5631     -55.5631      0.0000
  QRF00005_CP000880.1            73     -53.8392     -53.8392      0.0000
