# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00826.cm
# date:    Fri May 13 20:27:26 2016
# seed:    1463171246
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-55                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:41.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -24.5592     -24.5592      0.0000
  QRF01739_AGJC01000011.1        62     -22.5252     -22.5252      0.0000
  QRF01739_AP012205.1            62     -19.1837     -19.1837      0.0000
  QRF01739_AEPQ01000180.1        85     -20.0072     -20.0072      0.0000
  QRF01739_AACY023065314.1       57     -26.2270     -26.2270      0.0000
  QRF01739_AACY020081009.1       57     -26.2270     -26.2270      0.0000
  QRF01739_ACSK01000180.1        92     -23.3071     -23.3071      0.0000
  QRF01739_BA000039.2           113     -18.9912     -19.3011      0.3099
  QRF01739_AACY023081145.1       53     -25.0602     -25.0602      0.0000
  QRF01739_AFSR01000238.1        99     -22.7514     -22.7514      0.0000
  QRF01739_AGJC01000003.1        76     -22.4909     -22.4909      0.0000
  QRF01739_AFSR01000146.1        92     -20.4959     -20.4959      0.0000
  QRF01739_CACA01000349.1        84     -18.5236     -18.5236      0.0000
  QRF01739_AACY022751187.1       52     -20.9965     -20.9965      0.0000
  QRF01739_AACY022283709.1       52     -20.9965     -20.9965      0.0000
  QRF01739_ABPS01003770.1       123     -13.4530     -13.4530      0.0000
  QRF01739_AFEJ01000345.1        83     -19.2266     -19.2266      0.0000
  QRF00005_CABR01000029.1        73     -18.0546     -18.0546      0.0000
  QRF00005_AFSR01002788.1        74     -18.1813     -18.1813      0.0000
  QRF00005_CP000927.1            72     -16.2377     -16.2377      0.0000
  QRF00005_AY741371.1            72     -18.2184     -18.2184      0.0000
  QRF00005_AEGR01000006.1        73     -18.4209     -19.4658      1.0449
  QRF00005_CP001189.1            73     -15.0097     -15.0097      0.0000
  QRF00005_CP000493.1            72     -22.8220     -22.8220      0.0000
  QRF00005_AP012159.1            73     -15.0097     -15.0097      0.0000
  QRF00005_AM889285.1            73     -15.0097     -15.0097      0.0000
  QRF00005_AGFR01000003.1        73     -15.6146     -15.6146      0.0000
  QRF00005_AFCH01000046.1        73     -15.0097     -15.0097      0.0000
  QRF00005_ADTV01000009.1        73     -15.0097     -15.0097      0.0000
  QRF00005_ABCE01000025.1        73     -14.1599     -14.1599      0.0000
  QRF00005_HM565909.1            72     -16.2845     -16.2845      0.0000
  QRF00005_CAFG01000441.1        73     -18.3469     -21.9799      3.6330
  QRF00005_AACY020656879.1       72     -20.3905     -20.3905      0.0000
  QRF00005_CP001744.1            73     -18.6976     -18.6976      0.0000
  QRF00005_CP000880.1            73     -17.7159     -20.9013      3.1855
  QRF00005_CACD01000012.1        73     -17.7159     -20.9013      3.1855
  QRF00005_CACD01000012.1        73     -17.7159     -20.9013      3.1855
  QRF00005_CACD01000012.1        73     -17.7159     -20.9013      3.1855
  QRF00005_AM849034.1            74     -16.7962     -21.2199      4.4238
  QRF00005_AM711867.1            74     -16.7962     -21.2199      4.4238
  QRF00005_AEQT01000005.1        73     -17.7159     -20.9013      3.1855
  QRF00005_AEQT01000005.1        73     -17.7159     -20.9013      3.1855
  QRF00005_ACDJ01000003.1        73     -17.7159     -20.9013      3.1855
  QRF00005_ABWL02000007.1        73     -17.7159     -20.9013      3.1855
  QRF00005_Z71579.1              73     -17.2192     -17.2192      0.0000
  QRF00005_X53782.1              73     -17.2192     -17.2192      0.0000
  QRF00005_M19391.1              73     -17.2192     -17.2192      0.0000
  QRF00005_M15314.1              73     -17.2192     -17.2192      0.0000
  QRF00005_L42023.1              73     -17.2192     -17.2192      0.0000
  QRF00005_L42023.1              73     -17.2192     -17.2192      0.0000
  QRF00005_L42023.1              73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670204.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670204.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670204.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670178.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670178.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670178.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ670178.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ312006.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ312006.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ312006.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ312002.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ312002.1            73     -17.2192     -17.2192      0.0000
  QRF00005_FQ312002.1            73     -17.2192     -17.2192      0.0000
  QRF00005_EF196803.1            73     -17.2192     -17.2192      0.0000
  QRF00005_EF196803.1            73     -17.2192     -17.2192      0.0000
  QRF00005_CP003022.1            73     -17.2192     -17.2192      0.0000
  QRF00001_EU093378.1           119     -14.1689     -16.7025      2.5335
  QRF00001_AAAA02047827.1       119     -15.1179     -17.6515      2.5335
  QRF00001_AAAA02043281.1       119     -16.3069     -20.2860      3.9790
  QRF00001_EF064700.1           119     -15.1179     -15.1179      0.0000
  QRF00001_EF064692.1           119     -15.1179     -15.1179      0.0000
  QRF00001_EF064687.1           119     -15.1179     -15.1179      0.0000
  QRF00001_EF064680.1           119     -15.1179     -15.1179      0.0000
  QRF00001_EF064678.1           119     -15.1179     -15.1179      0.0000
  QRF00001_EF064556.1           119     -15.1179     -15.1179      0.0000
  QRF00001_AJ390135.1           119     -15.1179     -15.1179      0.0000
  QRF00001_HQ270965.1           119     -14.1689     -16.7025      2.5335
  QRF00001_GQ324770.1           119     -14.1689     -16.7025      2.5335
  QRF00001_FJ882503.1           119     -14.1689     -16.7025      2.5335
  QRF00001_AF550740.1           119     -14.1689     -16.7025      2.5335
  QRF00001_HQ270648.1           119     -14.1689     -16.7025      2.5335
  QRF00001_EU924818.1           119     -14.1689     -16.7025      2.5335
  QRF00001_EU093153.1           119     -14.1689     -16.7025      2.5335
  QRF00001_EF524209.1           119     -14.1689     -16.7025      2.5335
  QRF00001_AY316209.1           119     -14.1689     -16.7025      2.5335
  QRF00001_AY034674.1           119     -14.1689     -16.7025      2.5335
  QRF00001_AJ409525.1           119     -14.1689     -16.7025      2.5335
  QRF00001_AF550715.1           119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01010155.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01009775.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01009775.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01009775.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01009135.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01009119.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01009117.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005845.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005845.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005844.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005841.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005839.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005838.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005838.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005835.1       119     -14.1689     -16.7025      2.5335
  QRF00001_ABXC01005835.1       119     -14.1689     -16.7025      2.5335
  QRF00001_AAAA02039752.1       119     -11.9919     -18.7894      6.7974
  QRF00001_EU925066.1           119     -15.1539     -19.9015      4.7476
  QRF00001_EU093209.1           119     -15.1539     -19.9015      4.7476
  QRF00001_U02637.1             119     -15.1179     -17.6515      2.5335
  QRF00001_EU439291.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439286.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439284.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439282.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439280.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439279.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439278.1           119     -15.1179     -17.6515      2.5335
  QRF00001_EU439277.1           119     -15.1179     -17.6515      2.5335
  QRF01704_ACNY01000005.1        62     -28.5350     -28.5350      0.0000
  QRF01704_ADXL01000065.1        61     -25.5546     -25.5546      0.0000
  QRF01704_ADXL01000046.1        61     -28.3816     -28.3816      0.0000
  QRF01704_ADHP01001127.1        63     -25.5542     -25.5542      0.0000
  QRF01704_ADXM01000029.1        71     -22.6255     -22.6255      0.0000
  QRF01704_FJ869257.1            62     -28.9532     -28.9532      0.0000
  QRF01704_BX569692.1            62     -28.9532     -28.9532      0.0000
  QRF01704_AACY023835177.1       64     -27.0991     -27.0991      0.0000
  QRF01704_ACNY01000003.1        61     -28.0183     -28.0183      0.0000
  QRF01704_AACY020212823.1       62     -22.0666     -22.0666      0.0000
  QRF01704_GQ237222.1            58     -23.0452     -23.0452      0.0000
  QRF01704_ADHP01000860.1        64     -18.4473     -18.4473      0.0000
  QRF01704_AACY020313707.1       62     -28.4431     -28.4431      0.0000
  QRF01704_ACDW01000004.1        62     -23.1219     -23.1219      0.0000
  QRF01704_AACY022014507.1       62     -21.6800     -21.6800      0.0000
  QRF01704_ADHP01000878.1        59     -24.7332     -24.7332      0.0000
  QRF01704_AACY022415810.1       58     -26.6042     -26.6042      0.0000
  QRF01704_AACY020575673.1       58     -26.6042     -26.6042      0.0000
  QRF01704_ACNY01000005.1        59     -27.7809     -27.7809      0.0000
  QRF01704_ADHP01000854.1        63     -20.4554     -20.4554      0.0000
  QRF01704_GU936714.1            59     -27.5917     -27.5917      0.0000
  QRF01704_AACY021622950.1       62     -22.0666     -22.0666      0.0000
  QRF01704_CP000825.1            58     -27.3584     -27.3584      0.0000
  QRF01704_EU795157.1            64     -25.9689     -25.9689      0.0000
  QRF01704_ABVN01004790.1        61     -28.6402     -28.6402      0.0000
  QRF01704_ABMN01086741.1        60     -21.4003     -21.4003      0.0000
  QRF01704_DQ325539.1            60     -26.5246     -26.5246      0.0000
  QRF01704_ACNY01000005.1        62     -26.8549     -26.8549      0.0000
  QRF01704_ACNY01000004.1        60     -27.7408     -27.7408      0.0000
  QRF01704_ABVT01000061.1        57     -25.7461     -25.7461      0.0000
  QRF00023_CP001665.1           363     -10.4648     -10.4648      0.0000
  QRF00023_CP001509.3           363     -10.4648     -10.4648      0.0000
  QRF00023_CP000819.1           363     -10.4648     -10.4648      0.0000
  QRF00023_AM946981.2           363     -10.4648     -10.4648      0.0000
  QRF00023_ADTQ01000184.1       363     -10.4648     -10.4648      0.0000
  QRF00023_ADBT01000188.1       363     -10.4648     -10.4648      0.0000
  QRF00023_FN543093.2           364     -10.6575     -10.6575      0.0000
  QRF00023_AFAG01000033.1       363     -10.4648     -10.4648      0.0000
  QRF00023_AFAF01000014.1       363     -10.4648     -10.4648      0.0000
  QRF00023_ADUS01000034.1       363     -10.4648     -10.4648      0.0000
  QRF00023_U36840.1             363     -10.4648     -10.4648      0.0000
  QRF00023_FN649414.1           363     -10.4648     -10.4648      0.0000
  QRF00023_CU928162.2           363     -10.4648     -10.4648      0.0000
  QRF00023_CU928161.2           363     -10.4648     -10.4648      0.0000
  QRF00023_CU928158.2           363     -10.4648     -10.4648      0.0000
