# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01075.cm
# date:    Sat May 14 01:47:24 2016
# seed:    1463190444
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TLS-PK1                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:46.76       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -16.4962     -16.4962      0.0000
  QRF01739_AGJC01000011.1        62     -17.4005     -17.4005      0.0000
  QRF01739_AP012205.1            62     -19.4449     -19.4449      0.0000
  QRF01739_AEPQ01000180.1        85     -13.8165     -13.8165      0.0000
  QRF01739_AACY023065314.1       57     -22.8727     -22.8727      0.0000
  QRF01739_AACY020081009.1       57     -22.8727     -22.8727      0.0000
  QRF01739_ACSK01000180.1        92     -20.6525     -20.6525      0.0000
  QRF01739_BA000039.2           113     -13.3163     -13.3163      0.0000
  QRF01739_AACY023081145.1       53     -25.8248     -25.8248      0.0000
  QRF01739_AFSR01000238.1        99     -26.1826     -26.1826      0.0000
  QRF01739_AGJC01000003.1        76     -19.1910     -19.1910      0.0000
  QRF01739_AFSR01000146.1        92     -17.3394     -17.3394      0.0000
  QRF01739_CACA01000349.1        84     -21.9987     -21.9987      0.0000
  QRF01739_AACY022751187.1       52     -21.7405     -21.7405      0.0000
  QRF01739_AACY022283709.1       52     -21.7405     -21.7405      0.0000
  QRF01739_ABPS01003770.1       123      -8.6917      -8.6917      0.0000
  QRF01739_AFEJ01000345.1        83     -14.2313     -14.2313      0.0000
  QRF00005_CABR01000029.1        73     -21.1210     -21.1210      0.0000
  QRF00005_AFSR01002788.1        74     -21.8452     -21.8452      0.0000
  QRF00005_CP000927.1            72     -19.9903     -19.9903      0.0000
  QRF00005_AY741371.1            72     -22.1612     -22.1612      0.0000
  QRF00005_AEGR01000006.1        73     -24.3726     -24.3726      0.0000
  QRF00005_CP001189.1            73     -19.2521     -19.2521      0.0000
  QRF00005_CP000493.1            72     -24.6107     -24.6107      0.0000
  QRF00005_AP012159.1            73     -19.2521     -19.2521      0.0000
  QRF00005_AM889285.1            73     -19.2521     -19.2521      0.0000
  QRF00005_AGFR01000003.1        73     -19.8420     -19.8420      0.0000
  QRF00005_AFCH01000046.1        73     -19.2521     -19.2521      0.0000
  QRF00005_ADTV01000009.1        73     -19.2521     -19.2521      0.0000
  QRF00005_ABCE01000025.1        73     -21.5300     -21.5300      0.0000
  QRF00005_HM565909.1            72     -19.5012     -19.5012      0.0000
  QRF00005_CAFG01000441.1        73     -23.4545     -23.4545      0.0000
  QRF00005_AACY020656879.1       72     -20.1002     -20.1002      0.0000
  QRF00005_CP001744.1            73     -23.2243     -23.2243      0.0000
  QRF00005_CP000880.1            73     -23.5690     -23.5690      0.0000
  QRF00005_CACD01000012.1        73     -23.5690     -23.5690      0.0000
  QRF00005_CACD01000012.1        73     -23.5690     -23.5690      0.0000
  QRF00005_CACD01000012.1        73     -23.5690     -23.5690      0.0000
  QRF00005_AM849034.1            74     -23.4523     -23.4523      0.0000
  QRF00005_AM711867.1            74     -23.4523     -23.4523      0.0000
  QRF00005_AEQT01000005.1        73     -23.5690     -23.5690      0.0000
  QRF00005_AEQT01000005.1        73     -23.5690     -23.5690      0.0000
  QRF00005_ACDJ01000003.1        73     -23.5690     -23.5690      0.0000
  QRF00005_ABWL02000007.1        73     -23.5690     -23.5690      0.0000
  QRF00005_Z71579.1              73     -21.6559     -21.6559      0.0000
  QRF00005_X53782.1              73     -21.6559     -21.6559      0.0000
  QRF00005_M19391.1              73     -21.6559     -21.6559      0.0000
