# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00623.cm
# date:    Tue May 10 02:38:17 2016
# seed:    1462847897
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  P1                         search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.64       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -38.7258     -38.7258      0.0000
  RF00418_AAIY01556911.1        141     -39.9025     -39.9025      0.0000
  RF00418_AAYZ01244227.1        137     -44.2502     -44.2502      0.0000
  RF00418_AF357386.1            126     -47.9452     -47.9452      0.0000
  RF00418_AABR04001620.1        135     -53.2208     -53.2208      0.0000
  RF00418_AAQQ01789110.1        137     -46.5413     -46.5413      0.0000
  RF00418_AJ609450.1            137     -42.6815     -42.6815      0.0000
  RF00418_AL590431.11           136     -46.9080     -46.9080      0.0000
  RF00418_AL049745.9            136     -46.4690     -46.4690      0.0000
  RF00418_ABDC01240840.1        136     -50.4889     -50.4889      0.0000
  RF00418_AAQR01162064.1        136     -44.5487     -44.5487      0.0000
  RF00418_AAEX02026315.1        137     -51.5217     -51.5217      0.0000
  RF00418_AANG01021210.1        136     -47.4583     -47.4583      0.0000
  RF00418_AAFC03027776.1        135     -44.8929     -44.8929      0.0000
  RF00418_AAPE01281662.1        136     -48.5207     -48.5207      0.0000
  RF00418_AALT01368588.1        136     -31.1205     -31.1205      0.0000
  RF00418_AAWR02038694.1        136     -51.6489     -51.6489      0.0000
  RF00418_AAGV020286123.1       137     -45.1561     -45.1561      0.0000
  RF00418_AAFR03052180.1        134     -39.8901     -39.8901      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.57    1.10        0  0.00000    0.00
#
# CPU time: 1.22u 0.01s 00:00:01.23 Elapsed: 00:00:01
