# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01114.cm
# date:    Sun May  8 20:46:18 2016
# seed:    1462715178
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TMV_UPD-PK1                search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.05       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73      -5.5690      -5.5690      0.0000
  trna_2                         74      -5.4779      -5.4779      0.0000
  trna_3                         73      -0.0323      -0.0323      0.0000
  trna_4                         72      -5.3099      -5.3099      0.0000
  trna_5                         72      -1.6059      -1.6059      0.0000
  trna_6                         73      -1.4890      -1.4890      0.0000
  trna_7                         73      -8.9113      -8.9113      0.0000
  trna_8                         73      -4.1165      -4.1165      0.0000
  trna_9                         73      -3.4899      -3.4899      0.0000
  trna_10                        72      -0.6672      -0.6672      0.0000
  u5_1                          114      -3.0712      -3.0712      0.0000
  u5_2                          116      -1.3281      -1.3281      0.0000
  u5_3                          118      -0.7985      -0.7985      0.0000
  u5_4                          117      -3.6255      -3.6255      0.0000
  u5_5                          107       1.7735       1.7735      0.0000
  u5_6                          116      -5.4019      -5.4019      0.0000
  u5_7                          116      -3.8096      -3.8096      0.0000
  u5_8                          126      -4.0709      -4.0709      0.0000
  u5_9                          115      -6.0238      -6.0238      0.0000
  u5_10                         115      -5.6238      -5.6238      0.0000
  rrtWT_uc011zgd.1_2370         100      -1.3407      -1.3407      0.0000
  rrtWT_uc007ino.1_879          100      -6.0268      -6.0268      0.0000
  rrtWT_uc012dtn.1_1041         100      -6.7912      -6.7912      0.0000
  rrtWT_uc007bjr.2_621          100      -0.1724      -0.1724      0.0000
  rrtWT_uc008hom.1_603          100       2.3633       2.3633      0.0000
  rrtWT_uc007wki.1_323          100      -2.9443      -2.9443      0.0000
  rrtWT_uc008fec.1_254          100      -4.9002      -4.9002      0.0000
  rrtWT_uc007wxx.1_716          100      -3.3239      -3.3239      0.0000
  rrtWT_uc009qex.2_2789         100      -4.4009      -4.4009      0.0000
  rrtWT_uc007xbv.1_1165         100      -5.8244      -5.8244      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.20    0.25        0  0.00000    0.00
#
# CPU time: 0.25u 0.00s 00:00:00.25 Elapsed: 00:00:00
