# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01724.cm
# date:    Fri May 13 19:38:55 2016
# seed:    1463168335
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SAM-Chlorobi               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:37.43       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -10.8241     -10.8241      0.0000
  QRF01739_AGJC01000011.1        62     -20.8524     -20.8524      0.0000
  QRF01739_AP012205.1            62     -16.0145     -16.0145      0.0000
  QRF01739_AEPQ01000180.1        85     -16.7408     -16.7408      0.0000
  QRF01739_AACY023065314.1       57     -24.2359     -24.2359      0.0000
  QRF01739_AACY020081009.1       57     -24.2359     -24.2359      0.0000
  QRF01739_ACSK01000180.1        92     -22.5765     -22.5765      0.0000
  QRF01739_BA000039.2           113     -15.3075     -15.3075      0.0000
  QRF01739_AACY023081145.1       53     -22.9196     -22.9196      0.0000
  QRF01739_AFSR01000238.1        99     -23.3697     -24.4576      1.0879
  QRF01739_AGJC01000003.1        76     -15.1331     -15.1331      0.0000
  QRF01739_AFSR01000146.1        92     -19.6554     -19.6554      0.0000
  QRF01739_CACA01000349.1        84     -25.2026     -25.2026      0.0000
  QRF01739_AACY022751187.1       52     -23.5582     -23.5582      0.0000
  QRF01739_AACY022283709.1       52     -23.5582     -23.5582      0.0000
  QRF01739_ABPS01003770.1       123     -16.8927     -16.8927      0.0000
  QRF01739_AFEJ01000345.1        83     -18.9391     -18.9391      0.0000
  QRF00005_CABR01000029.1        73     -20.0112     -20.0112      0.0000
  QRF00005_AFSR01002788.1        74     -19.0039     -19.0039      0.0000
  QRF00005_CP000927.1            72     -19.4940     -19.4940      0.0000
  QRF00005_AY741371.1            72     -19.8392     -19.8392      0.0000
  QRF00005_AEGR01000006.1        73     -17.3126     -17.3126      0.0000
  QRF00005_CP001189.1            73     -17.1407     -17.1407      0.0000
  QRF00005_CP000493.1            72     -15.2895     -15.2895      0.0000
  QRF00005_AP012159.1            73     -17.1407     -17.1407      0.0000
  QRF00005_AM889285.1            73     -17.1407     -17.1407      0.0000
  QRF00005_AGFR01000003.1        73     -18.7106     -18.7106      0.0000
  QRF00005_AFCH01000046.1        73     -17.1407     -17.1407      0.0000
  QRF00005_ADTV01000009.1        73     -17.1407     -17.1407      0.0000
  QRF00005_ABCE01000025.1        73     -22.2143     -22.2143      0.0000
  QRF00005_HM565909.1            72     -19.7572     -19.7572      0.0000
  QRF00005_CAFG01000441.1        73     -17.3126     -17.3126      0.0000
  QRF00005_AACY020656879.1       72     -20.2932     -20.2932      0.0000
  QRF00005_CP001744.1            73     -19.9062     -19.9062      0.0000
  QRF00005_CP000880.1            73     -14.6101     -14.6101      0.0000
  QRF00005_CACD01000012.1        73     -14.6101     -14.6101      0.0000
  QRF00005_CACD01000012.1        73     -14.6101     -14.6101      0.0000
  QRF00005_CACD01000012.1        73     -14.6101     -14.6101      0.0000
  QRF00005_AM849034.1            74     -19.4560     -19.4560      0.0000
  QRF00005_AM711867.1            74     -19.4560     -19.4560      0.0000
  QRF00005_AEQT01000005.1        73     -14.6101     -14.6101      0.0000
  QRF00005_AEQT01000005.1        73     -14.6101     -14.6101      0.0000
  QRF00005_ACDJ01000003.1        73     -14.6101     -14.6101      0.0000
  QRF00005_ABWL02000007.1        73     -14.6101     -14.6101      0.0000
  QRF00005_Z71579.1              73     -15.5816     -15.5816      0.0000
  QRF00005_X53782.1              73     -15.5816     -15.5816      0.0000
  QRF00005_M19391.1              73     -15.5816     -15.5816      0.0000
  QRF00005_M15314.1              73     -15.5816     -15.5816      0.0000
  QRF00005_L42023.1              73     -15.5816     -15.5816      0.0000
  QRF00005_L42023.1              73     -15.5816     -15.5816      0.0000
  QRF00005_L42023.1              73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670204.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670204.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670204.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670178.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670178.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670178.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ670178.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ312006.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ312006.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ312006.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ312002.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ312002.1            73     -15.5816     -15.5816      0.0000
  QRF00005_FQ312002.1            73     -15.5816     -15.5816      0.0000
  QRF00005_EF196803.1            73     -15.5816     -15.5816      0.0000
  QRF00005_EF196803.1            73     -15.5816     -15.5816      0.0000
  QRF00005_CP003022.1            73     -15.5816     -15.5816      0.0000
  QRF00001_EU093378.1           119     -20.4655     -20.4655      0.0000
  QRF00001_AAAA02047827.1       119     -21.4858     -21.4858      0.0000
  QRF00001_AAAA02043281.1       119     -21.8934     -21.8934      0.0000
  QRF00001_EF064700.1           119     -20.0928     -20.0928      0.0000
  QRF00001_EF064692.1           119     -20.0928     -20.0928      0.0000
  QRF00001_EF064687.1           119     -20.0928     -20.0928      0.0000
  QRF00001_EF064680.1           119     -20.0928     -20.0928      0.0000
  QRF00001_EF064678.1           119     -20.0928     -20.0928      0.0000
  QRF00001_EF064556.1           119     -20.0928     -20.0928      0.0000
  QRF00001_AJ390135.1           119     -20.0928     -20.0928      0.0000
  QRF00001_HQ270965.1           119     -21.4858     -21.4858      0.0000
  QRF00001_GQ324770.1           119     -21.4858     -21.4858      0.0000
  QRF00001_FJ882503.1           119     -21.4858     -21.4858      0.0000
  QRF00001_AF550740.1           119     -21.4858     -21.4858      0.0000
  QRF00001_HQ270648.1           119     -21.4858     -21.4858      0.0000
  QRF00001_EU924818.1           119     -21.4858     -21.4858      0.0000
  QRF00001_EU093153.1           119     -21.4858     -21.4858      0.0000
  QRF00001_EF524209.1           119     -21.4858     -21.4858      0.0000
  QRF00001_AY316209.1           119     -21.4858     -21.4858      0.0000
  QRF00001_AY034674.1           119     -21.4858     -21.4858      0.0000
  QRF00001_AJ409525.1           119     -21.4858     -21.4858      0.0000
  QRF00001_AF550715.1           119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01010155.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01009775.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01009775.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01009775.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01009135.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01009119.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01009117.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01005845.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01005845.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01005844.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01005841.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01005839.1       119     -21.4858     -21.4858      0.0000
  QRF00001_ABXC01005838.1       119     -21.4858     -21.4858      0.0000
