# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01703.cm
# date:    Fri May 13 22:47:13 2016
# seed:    1463179633
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Dictyoglomi-1              search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:15.50       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -83.6563     -83.6563      0.0000
  QRF01739_AGJC01000011.1        62     -85.4723     -85.4723      0.0000
  QRF01739_AP012205.1            62     -83.2326     -83.2326      0.0000
  QRF01739_AEPQ01000180.1        85     -70.3056     -70.3056      0.0000
  QRF01739_AACY023065314.1       57     -84.1195     -84.1195      0.0000
  QRF01739_AACY020081009.1       57     -84.1195     -84.1195      0.0000
  QRF01739_ACSK01000180.1        92     -74.4720     -74.4720      0.0000
  QRF01739_BA000039.2           113     -66.2324     -66.2324      0.0000
  QRF01739_AACY023081145.1       53     -89.1991     -89.1991      0.0000
  QRF01739_AFSR01000238.1        99     -71.5693     -71.5693      0.0000
  QRF01739_AGJC01000003.1        76     -82.4236     -82.4236      0.0000
  QRF01739_AFSR01000146.1        92     -74.6288     -74.6288      0.0000
  QRF01739_CACA01000349.1        84     -79.3250     -79.3250      0.0000
  QRF01739_AACY022751187.1       52     -91.6020     -91.6020      0.0000
  QRF01739_AACY022283709.1       52     -91.6020     -91.6020      0.0000
  QRF01739_ABPS01003770.1       123     -51.8087     -51.8087      0.0000
  QRF01739_AFEJ01000345.1        83     -77.7418     -77.7418      0.0000
  QRF00005_CABR01000029.1        73     -76.6924     -76.6924      0.0000
  QRF00005_AFSR01002788.1        74     -76.5984     -76.5984      0.0000
  QRF00005_CP000927.1            72     -74.2517     -74.2517      0.0000
  QRF00005_AY741371.1            72     -76.5571     -76.5571      0.0000
  QRF00005_AEGR01000006.1        73     -75.4394     -75.4394      0.0000
  QRF00005_CP001189.1            73     -81.5074     -81.5074      0.0000
