# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01540.cm
# date:    Sat May 14 04:00:04 2016
# seed:    1463198404
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TB11Cs4H2                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:21.71       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.6606     -18.6606      0.0000
  QRF01739_AGJC01000011.1        62     -14.8181     -14.8181      0.0000
  QRF01739_AP012205.1            62     -19.3793     -19.3793      0.0000
  QRF01739_AEPQ01000180.1        85      -8.8225      -8.8225      0.0000
  QRF01739_AACY023065314.1       57     -19.9858     -19.9858      0.0000
  QRF01739_AACY020081009.1       57     -19.9858     -19.9858      0.0000
  QRF01739_ACSK01000180.1        92     -13.5089     -13.5089      0.0000
  QRF01739_BA000039.2           113     -11.8548     -11.8548      0.0000
  QRF01739_AACY023081145.1       53     -17.5962     -17.5962      0.0000
  QRF01739_AFSR01000238.1        99     -11.2068     -11.2068      0.0000
  QRF01739_AGJC01000003.1        76     -18.0771     -18.0771      0.0000
  QRF01739_AFSR01000146.1        92     -15.0757     -15.0757      0.0000
  QRF01739_CACA01000349.1        84     -13.9143     -13.9143      0.0000
  QRF01739_AACY022751187.1       52     -20.0323     -20.0323      0.0000
  QRF01739_AACY022283709.1       52     -20.0323     -20.0323      0.0000
  QRF01739_ABPS01003770.1       123     -14.1647     -14.1647      0.0000
  QRF01739_AFEJ01000345.1        83     -14.0109     -14.0109      0.0000
  QRF00005_CABR01000029.1        73     -16.1515     -16.1515      0.0000
  QRF00005_AFSR01002788.1        74     -14.1776     -14.1776      0.0000
  QRF00005_CP000927.1            72     -13.7404     -13.7404      0.0000
  QRF00005_AY741371.1            72     -13.4997     -13.4997      0.0000
  QRF00005_AEGR01000006.1        73     -15.2575     -15.2575      0.0000
