# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01940.cm
# date:    Fri May 13 22:19:55 2016
# seed:    1463177995
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  hvt-mir-H                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:33.70       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.0266     -22.0266      0.0000
  QRF01739_AGJC01000011.1        62     -16.7771     -16.7771      0.0000
  QRF01739_AP012205.1            62     -18.5056     -18.5056      0.0000
  QRF01739_AEPQ01000180.1        85     -16.6101     -16.6101      0.0000
  QRF01739_AACY023065314.1       57     -18.5561     -18.5561      0.0000
  QRF01739_AACY020081009.1       57     -18.5561     -18.5561      0.0000
  QRF01739_ACSK01000180.1        92     -15.4580     -15.4580      0.0000
  QRF01739_BA000039.2           113     -16.4822     -16.4822      0.0000
  QRF01739_AACY023081145.1       53     -21.1436     -21.1436      0.0000
  QRF01739_AFSR01000238.1        99     -15.8599     -15.8599      0.0000
  QRF01739_AGJC01000003.1        76     -18.1178     -18.1178      0.0000
  QRF01739_AFSR01000146.1        92      -9.1025      -9.1025      0.0000
  QRF01739_CACA01000349.1        84     -17.5588     -17.5588      0.0000
  QRF01739_AACY022751187.1       52     -20.6256     -20.6256      0.0000
  QRF01739_AACY022283709.1       52     -20.6256     -20.6256      0.0000
  QRF01739_ABPS01003770.1       123     -18.6736     -18.6736      0.0000
  QRF01739_AFEJ01000345.1        83     -10.7891     -10.7891      0.0000
  QRF00005_CABR01000029.1        73     -19.3572     -19.3572      0.0000
  QRF00005_AFSR01002788.1        74     -20.7102     -20.7102      0.0000
  QRF00005_CP000927.1            72     -17.3154     -17.3154      0.0000
  QRF00005_AY741371.1            72     -16.4070     -16.4070      0.0000
  QRF00005_AEGR01000006.1        73     -17.6819     -17.6819      0.0000
  QRF00005_CP001189.1            73     -16.0101     -16.0101      0.0000
  QRF00005_CP000493.1            72     -19.9179     -19.9179      0.0000
  QRF00005_AP012159.1            73     -16.0101     -16.0101      0.0000
  QRF00005_AM889285.1            73     -16.0101     -16.0101      0.0000
  QRF00005_AGFR01000003.1        73     -15.2411     -15.2411      0.0000
  QRF00005_AFCH01000046.1        73     -16.0101     -16.0101      0.0000
  QRF00005_ADTV01000009.1        73     -16.0101     -16.0101      0.0000
  QRF00005_ABCE01000025.1        73     -17.3232     -17.3232      0.0000
  QRF00005_HM565909.1            72     -16.6267     -16.6267      0.0000
  QRF00005_CAFG01000441.1        73     -17.6819     -17.6819      0.0000
  QRF00005_AACY020656879.1       72     -16.4597     -16.4597      0.0000
  QRF00005_CP001744.1            73     -16.3071     -16.3071      0.0000
  QRF00005_CP000880.1            73     -15.2018     -15.2018      0.0000
  QRF00005_CACD01000012.1        73     -15.2018     -15.2018      0.0000
  QRF00005_CACD01000012.1        73     -15.2018     -15.2018      0.0000
  QRF00005_CACD01000012.1        73     -15.2018     -15.2018      0.0000
  QRF00005_AM849034.1            74     -18.4557     -18.4557      0.0000
  QRF00005_AM711867.1            74     -18.4557     -18.4557      0.0000
  QRF00005_AEQT01000005.1        73     -15.2018     -15.2018      0.0000
  QRF00005_AEQT01000005.1        73     -15.2018     -15.2018      0.0000
  QRF00005_ACDJ01000003.1        73     -15.2018     -15.2018      0.0000
  QRF00005_ABWL02000007.1        73     -15.2018     -15.2018      0.0000
  QRF00005_Z71579.1              73     -16.8055     -16.8055      0.0000
  QRF00005_X53782.1              73     -16.8055     -16.8055      0.0000
  QRF00005_M19391.1              73     -16.8055     -16.8055      0.0000
  QRF00005_M15314.1              73     -16.8055     -16.8055      0.0000
  QRF00005_L42023.1              73     -16.8055     -16.8055      0.0000
  QRF00005_L42023.1              73     -16.8055     -16.8055      0.0000
  QRF00005_L42023.1              73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670204.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670204.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670204.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670178.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670178.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670178.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ670178.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ312006.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ312006.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ312006.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ312002.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ312002.1            73     -16.8055     -16.8055      0.0000
  QRF00005_FQ312002.1            73     -16.8055     -16.8055      0.0000
  QRF00005_EF196803.1            73     -16.8055     -16.8055      0.0000
  QRF00005_EF196803.1            73     -16.8055     -16.8055      0.0000
  QRF00005_CP003022.1            73     -16.8055     -16.8055      0.0000
  QRF00001_EU093378.1           119     -14.4938     -14.4938      0.0000
  QRF00001_AAAA02047827.1       119     -14.4938     -14.4938      0.0000
  QRF00001_AAAA02043281.1       119     -15.1493     -15.1493      0.0000
