ID	Len	GC	Group
RF00001_1	114	0.526	RF00001
RF00001_10	120	0.425	RF00001
RF00001_100	120	0.500	RF00001
RF00001_11	121	0.612	RF00001
RF00001_12	117	0.650	RF00001
RF00001_13	118	0.610	RF00001
RF00001_14	124	0.548	RF00001
RF00001_15	120	0.542	RF00001
RF00001_16	118	0.534	RF00001
RF00001_17	122	0.574	RF00001
RF00001_18	119	0.521	RF00001
RF00001_19	119	0.504	RF00001
RF00001_2	99	0.535	RF00001
RF00001_20	115	0.583	RF00001
RF00001_21	119	0.546	RF00001
RF00001_22	117	0.521	RF00001
RF00001_23	119	0.555	RF00001
RF00001_24	119	0.496	RF00001
RF00001_25	109	0.587	RF00001
RF00001_26	114	0.632	RF00001
RF00001_27	119	0.622	RF00001
RF00001_28	113	0.575	RF00001
RF00001_29	128	0.508	RF00001
RF00001_3	119	0.513	RF00001
RF00001_30	119	0.613	RF00001
RF00001_31	109	0.495	RF00001
RF00001_32	118	0.644	RF00001
RF00001_33	119	0.563	RF00001
RF00001_34	104	0.519	RF00001
RF00001_35	120	0.750	RF00001
RF00001_36	119	0.538	RF00001
RF00001_37	117	0.590	RF00001
RF00001_38	119	0.571	RF00001
RF00001_39	116	0.655	RF00001
RF00001_4	111	0.541	RF00001
RF00001_40	107	0.421	RF00001
RF00001_41	117	0.615	RF00001
RF00001_42	109	0.486	RF00001
RF00001_43	121	0.537	RF00001
RF00001_44	117	0.530	RF00001
RF00001_45	108	0.537	RF00001
RF00001_46	115	0.617	RF00001
RF00001_47	119	0.529	RF00001
RF00001_48	117	0.496	RF00001
RF00001_49	117	0.530	RF00001
RF00001_5	116	0.534	RF00001
RF00001_50	119	0.588	RF00001
RF00001_51	116	0.474	RF00001
RF00001_52	123	0.520	RF00001
RF00001_53	118	0.593	RF00001
RF00001_54	119	0.580	RF00001
RF00001_55	120	0.533	RF00001
RF00001_56	116	0.483	RF00001
RF00001_57	119	0.487	RF00001
RF00001_58	117	0.487	RF00001
RF00001_59	119	0.445	RF00001
RF00001_6	120	0.475	RF00001
RF00001_60	115	0.626	RF00001
RF00001_61	110	0.491	RF00001
RF00001_62	117	0.581	RF00001
RF00001_63	111	0.532	RF00001
RF00001_64	118	0.500	RF00001
RF00001_65	112	0.527	RF00001
RF00001_66	116	0.595	RF00001
RF00001_67	120	0.558	RF00001
RF00001_68	116	0.578	RF00001
RF00001_69	119	0.513	RF00001
RF00001_7	100	0.390	RF00001
RF00001_70	115	0.539	RF00001
RF00001_71	117	0.547	RF00001
RF00001_72	121	0.545	RF00001
RF00001_73	114	0.658	RF00001
RF00001_74	110	0.482	RF00001
RF00001_75	108	0.491	RF00001
RF00001_76	113	0.593	RF00001
RF00001_77	120	0.600	RF00001
RF00001_78	115	0.591	RF00001
RF00001_79	107	0.514	RF00001
RF00001_8	121	0.653	RF00001
RF00001_80	119	0.571	RF00001
RF00001_81	110	0.564	RF00001
RF00001_82	107	0.439	RF00001
RF00001_83	117	0.658	RF00001
RF00001_84	119	0.546	RF00001
RF00001_85	107	0.598	RF00001
RF00001_86	120	0.333	RF00001
RF00001_87	115	0.609	RF00001
RF00001_88	118	0.568	RF00001
RF00001_89	117	0.684	RF00001
RF00001_9	111	0.559	RF00001
RF00001_90	121	0.554	RF00001
RF00001_91	121	0.471	RF00001
RF00001_92	115	0.548	RF00001
RF00001_93	118	0.534	RF00001
RF00001_94	119	0.454	RF00001
RF00001_95	117	0.376	RF00001
RF00001_96	115	0.583	RF00001
RF00001_97	108	0.602	RF00001
RF00001_98	100	0.520	RF00001
RF00001_99	121	0.512	RF00001
RF00002_1	158	0.437	RF00002
RF00002_10	148	0.466	RF00002
RF00002_11	115	0.600	RF00002
RF00002_12	149	0.477	RF00002
RF00002_13	116	0.733	RF00002
RF00002_14	151	0.437	RF00002
RF00002_15	123	0.504	RF00002
RF00002_16	147	0.565	RF00002
RF00002_17	140	0.471	RF00002
RF00002_18	150	0.467	RF00002
RF00002_19	168	0.464	RF00002
RF00002_2	152	0.566	RF00002
RF00002_20	155	0.542	RF00002
RF00002_21	151	0.391	RF00002
RF00002_22	153	0.503	RF00002
RF00002_3	153	0.431	RF00002
RF00002_4	163	0.577	RF00002
RF00002_5	153	0.516	RF00002
RF00002_6	151	0.444	RF00002
RF00002_7	148	0.351	RF00002
RF00002_8	177	0.537	RF00002
RF00002_9	150	0.507	RF00002
RF00003_1	161	0.571	RF00003
RF00003_10	172	0.570	RF00003
RF00003_11	157	0.586	RF00003
RF00003_12	168	0.500	RF00003
RF00003_13	161	0.317	RF00003
RF00003_14	162	0.586	RF00003
