# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00260.cm
# date:    Sun May  8 20:38:15 2016
# seed:    1462714695
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HepC_CRE                   search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.17       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73      -1.9434      -1.9434      0.0000
  trna_2                         74      -8.3260      -8.3260      0.0000
  trna_3                         73      -4.0925      -4.0925      0.0000
  trna_4                         72     -11.4109     -11.4109      0.0000
  trna_5                         72      -2.2507      -2.2507      0.0000
  trna_6                         73      -5.2364      -5.2364      0.0000
  trna_7                         73      -3.9630      -3.9630      0.0000
  trna_8                         73      -8.9481      -8.9481      0.0000
  trna_9                         73      -7.7235      -7.7235      0.0000
  trna_10                        72     -10.5885     -10.5885      0.0000
  u5_1                          114      -9.8229      -9.8229      0.0000
  u5_2                          116     -14.2186     -14.2186      0.0000
  u5_3                          118      -7.8485      -7.8485      0.0000
  u5_4                          117     -13.5006     -13.5006      0.0000
  u5_5                          107      -8.3243      -8.3243      0.0000
  u5_6                          116     -13.6766     -13.6766      0.0000
  u5_7                          116     -14.5478     -14.5478      0.0000
  u5_8                          126      -5.8714      -5.8714      0.0000
  u5_9                          115     -11.6369     -11.6369      0.0000
  u5_10                         115      -9.8191      -9.8191      0.0000
  rrtWT_uc011zgd.1_2370         100     -12.2115     -12.2115      0.0000
  rrtWT_uc007ino.1_879          100     -12.6821     -12.6821      0.0000
  rrtWT_uc012dtn.1_1041         100     -15.6583     -15.6583      0.0000
  rrtWT_uc007bjr.2_621          100      -9.2201      -9.2201      0.0000
  rrtWT_uc008hom.1_603          100     -10.4708     -10.4708      0.0000
  rrtWT_uc007wki.1_323          100     -11.5765     -11.5765      0.0000
  rrtWT_uc008fec.1_254          100      -9.0781      -9.0781      0.0000
  rrtWT_uc007wxx.1_716          100     -10.7460     -10.7460      0.0000
  rrtWT_uc009qex.2_2789         100     -10.5875     -10.5875      0.0000
  rrtWT_uc007xbv.1_1165         100      -9.8511      -9.8511      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.50    0.34        0  0.00000    0.00
#
# CPU time: 0.67u 0.01s 00:00:00.68 Elapsed: 00:00:01
