# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01795.cm
# date:    Fri May 13 22:04:32 2016
# seed:    1463177072
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  FourU                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:25.89       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -8.2442      -8.2442      0.0000
  QRF01739_AGJC01000011.1        62     -12.4435     -12.4435      0.0000
  QRF01739_AP012205.1            62      -8.6296      -8.6296      0.0000
  QRF01739_AEPQ01000180.1        85      -3.8978      -3.8978      0.0000
  QRF01739_AACY023065314.1       57      -8.7017      -8.7017      0.0000
  QRF01739_AACY020081009.1       57      -8.7017      -8.7017      0.0000
  QRF01739_ACSK01000180.1        92     -15.9439     -15.9439      0.0000
  QRF01739_BA000039.2           113     -12.9303     -14.7728      1.8424
  QRF01739_AACY023081145.1       53     -12.4956     -12.4956      0.0000
  QRF01739_AFSR01000238.1        99      -4.3050      -4.3050      0.0000
  QRF01739_AGJC01000003.1        76      -6.7440      -6.7440      0.0000
  QRF01739_AFSR01000146.1        92     -16.3192     -16.3192      0.0000
  QRF01739_CACA01000349.1        84     -14.8067     -14.8067      0.0000
  QRF01739_AACY022751187.1       52     -12.3464     -12.3464      0.0000
  QRF01739_AACY022283709.1       52     -12.3464     -12.3464      0.0000
  QRF01739_ABPS01003770.1       123     -14.9834     -14.9834      0.0000
  QRF01739_AFEJ01000345.1        83     -12.4515     -12.4515      0.0000
  QRF00005_CABR01000029.1        73     -13.6169     -13.6169      0.0000
  QRF00005_AFSR01002788.1        74     -13.3580     -13.3580      0.0000
  QRF00005_CP000927.1            72     -11.5594     -11.5594      0.0000
  QRF00005_AY741371.1            72     -12.3090     -12.3090      0.0000
  QRF00005_AEGR01000006.1        73     -14.3194     -14.3194      0.0000
  QRF00005_CP001189.1            73     -10.5266     -10.5266      0.0000
  QRF00005_CP000493.1            72     -13.3635     -13.3635      0.0000
  QRF00005_AP012159.1            73     -10.5266     -10.5266      0.0000
