# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01913.cm
# date:    Sat May 14 01:38:16 2016
# seed:    1463189896
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-2778                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:41.34       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.2463     -28.2463      0.0000
  QRF01739_AGJC01000011.1        62     -28.0361     -28.0361      0.0000
  QRF01739_AP012205.1            62     -27.2632     -27.2632      0.0000
  QRF01739_AEPQ01000180.1        85     -14.6056     -14.6056      0.0000
  QRF01739_AACY023065314.1       57     -25.2511     -25.2511      0.0000
  QRF01739_AACY020081009.1       57     -25.2511     -25.2511      0.0000
  QRF01739_ACSK01000180.1        92     -20.7776     -20.7776      0.0000
  QRF01739_BA000039.2           113     -15.4731     -15.4731      0.0000
  QRF01739_AACY023081145.1       53     -32.9914     -32.9914      0.0000
  QRF01739_AFSR01000238.1        99     -24.6472     -24.6472      0.0000
  QRF01739_AGJC01000003.1        76     -26.5808     -26.5808      0.0000
  QRF01739_AFSR01000146.1        92     -22.5104     -22.5104      0.0000
  QRF01739_CACA01000349.1        84     -23.0930     -23.0930      0.0000
  QRF01739_AACY022751187.1       52     -30.4217     -30.4217      0.0000
  QRF01739_AACY022283709.1       52     -30.4217     -30.4217      0.0000
  QRF01739_ABPS01003770.1       123     -20.8062     -20.8062      0.0000
  QRF01739_AFEJ01000345.1        83     -20.4541     -20.4541      0.0000
  QRF00005_CABR01000029.1        73     -28.4502     -28.4502      0.0000
  QRF00005_AFSR01002788.1        74     -21.0642     -21.0642      0.0000
  QRF00005_CP000927.1            72     -23.3915     -23.3915      0.0000
  QRF00005_AY741371.1            72     -26.3600     -26.7997      0.4396
  QRF00005_AEGR01000006.1        73     -24.8051     -24.8051      0.0000
  QRF00005_CP001189.1            73     -26.4494     -26.4494      0.0000
  QRF00005_CP000493.1            72     -26.0103     -26.0103      0.0000
  QRF00005_AP012159.1            73     -26.4494     -26.4494      0.0000
  QRF00005_AM889285.1            73     -26.4494     -26.4494      0.0000
  QRF00005_AGFR01000003.1        73     -24.3769     -24.3769      0.0000
  QRF00005_AFCH01000046.1        73     -26.4494     -26.4494      0.0000
  QRF00005_ADTV01000009.1        73     -26.4494     -26.4494      0.0000
  QRF00005_ABCE01000025.1        73     -22.8267     -22.8267      0.0000
  QRF00005_HM565909.1            72     -24.8288     -24.8288      0.0000
  QRF00005_CAFG01000441.1        73     -24.8051     -24.8051      0.0000
  QRF00005_AACY020656879.1       72     -25.8914     -25.8914      0.0000
  QRF00005_CP001744.1            73     -24.6495     -24.6495      0.0000
  QRF00005_CP000880.1            73     -28.9892     -28.9892      0.0000
  QRF00005_CACD01000012.1        73     -28.9892     -28.9892      0.0000
  QRF00005_CACD01000012.1        73     -28.9892     -28.9892      0.0000
  QRF00005_CACD01000012.1        73     -28.9892     -28.9892      0.0000
  QRF00005_AM849034.1            74     -21.1801     -21.1801      0.0000
  QRF00005_AM711867.1            74     -21.1801     -21.1801      0.0000
  QRF00005_AEQT01000005.1        73     -28.9892     -28.9892      0.0000
  QRF00005_AEQT01000005.1        73     -28.9892     -28.9892      0.0000
  QRF00005_ACDJ01000003.1        73     -28.9892     -28.9892      0.0000
  QRF00005_ABWL02000007.1        73     -28.9892     -28.9892      0.0000
  QRF00005_Z71579.1              73     -24.3243     -24.3243      0.0000
  QRF00005_X53782.1              73     -24.3243     -24.3243      0.0000
  QRF00005_M19391.1              73     -24.3243     -24.3243      0.0000
  QRF00005_M15314.1              73     -24.3243     -24.3243      0.0000
  QRF00005_L42023.1              73     -24.3243     -24.3243      0.0000
  QRF00005_L42023.1              73     -24.3243     -24.3243      0.0000
  QRF00005_L42023.1              73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670204.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670204.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670204.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670178.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670178.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670178.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ670178.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ312006.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ312006.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ312006.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ312002.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ312002.1            73     -24.3243     -24.3243      0.0000
  QRF00005_FQ312002.1            73     -24.3243     -24.3243      0.0000
  QRF00005_EF196803.1            73     -24.3243     -24.3243      0.0000
  QRF00005_EF196803.1            73     -24.3243     -24.3243      0.0000
  QRF00005_CP003022.1            73     -24.3243     -24.3243      0.0000
  QRF00001_EU093378.1           119     -11.2152     -11.2152      0.0000
  QRF00001_AAAA02047827.1       119     -16.9492     -16.9492      0.0000
  QRF00001_AAAA02043281.1       119     -17.3372     -17.3372      0.0000
  QRF00001_EF064700.1           119     -13.4852     -13.4852      0.0000
  QRF00001_EF064692.1           119     -13.4852     -13.4852      0.0000
  QRF00001_EF064687.1           119     -13.4852     -13.4852      0.0000
  QRF00001_EF064680.1           119     -13.4852     -13.4852      0.0000
  QRF00001_EF064678.1           119     -13.4852     -13.4852      0.0000
  QRF00001_EF064556.1           119     -13.4852     -13.4852      0.0000
  QRF00001_AJ390135.1           119     -13.4852     -13.4852      0.0000
  QRF00001_HQ270965.1           119     -16.9492     -16.9492      0.0000
  QRF00001_GQ324770.1           119     -16.9492     -16.9492      0.0000
  QRF00001_FJ882503.1           119     -16.9492     -16.9492      0.0000
  QRF00001_AF550740.1           119     -16.9492     -16.9492      0.0000
  QRF00001_HQ270648.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU924818.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU093153.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EF524209.1           119     -16.3482     -16.3482      0.0000
  QRF00001_AY316209.1           119     -16.3482     -16.3482      0.0000
  QRF00001_AY034674.1           119     -16.3482     -16.3482      0.0000
  QRF00001_AJ409525.1           119     -16.3482     -16.3482      0.0000
  QRF00001_AF550715.1           119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01010155.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01009775.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01009775.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01009775.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01009135.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01009119.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01009117.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005845.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005845.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005844.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005841.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005839.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005838.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005838.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005835.1       119     -16.3482     -16.3482      0.0000
  QRF00001_ABXC01005835.1       119     -16.3482     -16.3482      0.0000
  QRF00001_AAAA02039752.1       119     -16.3482     -16.3482      0.0000
  QRF00001_EU925066.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU093209.1           119     -16.3482     -16.3482      0.0000
  QRF00001_U02637.1             119     -16.3482     -16.3482      0.0000
  QRF00001_EU439291.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439286.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439284.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439282.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439280.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439279.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439278.1           119     -16.3482     -16.3482      0.0000
  QRF00001_EU439277.1           119     -16.3482     -16.3482      0.0000
  QRF01704_ACNY01000005.1        62     -26.2640     -26.2640      0.0000
  QRF01704_ADXL01000065.1        61     -26.5626     -26.5626      0.0000
  QRF01704_ADXL01000046.1        61     -18.8917     -18.8917      0.0000
  QRF01704_ADHP01001127.1        63     -20.8466     -20.8466      0.0000
  QRF01704_ADXM01000029.1        71     -24.2425     -24.2425      0.0000
  QRF01704_FJ869257.1            62     -26.8424     -26.8424      0.0000
  QRF01704_BX569692.1            62     -26.8424     -26.8424      0.0000
  QRF01704_AACY023835177.1       64     -26.2207     -26.2207      0.0000
  QRF01704_ACNY01000003.1        61     -32.3961     -32.3961      0.0000
