# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01998.cm
# date:    Tue May 10 02:38:02 2016
# seed:    1462847882
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  group-II-D1D4-1            search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.39       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -15.2960     -15.2960      0.0000
  RF00418_AAIY01556911.1        141     -13.5667     -13.5667      0.0000
  RF00418_AAYZ01244227.1        137     -10.1036     -10.1036      0.0000
  RF00418_AF357386.1            126     -12.3221     -12.3221      0.0000
  RF00418_AABR04001620.1        135     -11.2028     -11.2028      0.0000
  RF00418_AAQQ01789110.1        137     -12.9187     -12.9187      0.0000
  RF00418_AJ609450.1            137     -18.9031     -18.9031      0.0000
  RF00418_AL590431.11           136     -15.2452     -15.2452      0.0000
  RF00418_AL049745.9            136     -12.4009     -12.4009      0.0000
  RF00418_ABDC01240840.1        136     -10.1200     -10.1200      0.0000
  RF00418_AAQR01162064.1        136     -15.2219     -15.2219      0.0000
  RF00418_AAEX02026315.1        137      -8.2306      -8.2306      0.0000
  RF00418_AANG01021210.1        136     -19.9662     -19.9662      0.0000
  RF00418_AAFC03027776.1        135      -8.8302      -8.8302      0.0000
  RF00418_AAPE01281662.1        136     -15.7724     -15.7724      0.0000
  RF00418_AALT01368588.1        136     -14.4320     -14.4320      0.0000
  RF00418_AAWR02038694.1        136     -13.1380     -13.1380      0.0000
  RF00418_AAGV020286123.1       137      -6.8178      -6.8178      0.0000
  RF00418_AAFR03052180.1        134     -11.5086     -11.5086      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.60    0.65        0  0.00000    0.00
#
# CPU time: 0.99u 0.00s 00:00:00.99 Elapsed: 00:00:01
