# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00100.cm
# date:    Fri May 13 22:24:22 2016
# seed:    1463178262
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  7SK                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:27.49       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -132.4618    -132.4618      0.0000
  QRF01739_AGJC01000011.1        62    -140.2921    -140.2921      0.0000
  QRF01739_AP012205.1            62    -134.5299    -134.5299      0.0000
  QRF01739_AEPQ01000180.1        85    -124.1661    -124.1661      0.0000
  QRF01739_AACY023065314.1       57    -140.7298    -140.7298      0.0000
  QRF01739_AACY020081009.1       57    -140.7298    -140.7298      0.0000
  QRF01739_ACSK01000180.1        92    -120.1471    -120.1471      0.0000
  QRF01739_BA000039.2           113    -110.1941    -110.1941      0.0000
  QRF01739_AACY023081145.1       53    -143.4997    -143.4997      0.0000
  QRF01739_AFSR01000238.1        99    -119.1765    -119.1765      0.0000
  QRF01739_AGJC01000003.1        76    -131.9418    -131.9418      0.0000
  QRF01739_AFSR01000146.1        92    -125.4688    -125.4688      0.0000
  QRF01739_CACA01000349.1        84    -126.4335    -126.4335      0.0000
  QRF01739_AACY022751187.1       52    -146.3360    -146.3360      0.0000
  QRF01739_AACY022283709.1       52    -146.3360    -146.3360      0.0000
  QRF01739_ABPS01003770.1       123    -102.9008    -102.9008      0.0000
  QRF01739_AFEJ01000345.1        83    -124.5486    -124.5486      0.0000
  QRF00005_CABR01000029.1        73    -135.2059    -135.2059      0.0000
  QRF00005_AFSR01002788.1        74    -131.4268    -131.4268      0.0000
  QRF00005_CP000927.1            72    -130.2494    -130.2494      0.0000
  QRF00005_AY741371.1            72    -129.9740    -129.9740      0.0000
  QRF00005_AEGR01000006.1        73    -134.5925    -134.5925      0.0000
  QRF00005_CP001189.1            73    -131.7421    -131.7421      0.0000
  QRF00005_CP000493.1            72    -128.3571    -128.3571      0.0000
  QRF00005_AP012159.1            73    -131.7421    -131.7421      0.0000
  QRF00005_AM889285.1            73    -131.7421    -131.7421      0.0000
  QRF00005_AGFR01000003.1        73    -129.8318    -129.8318      0.0000
  QRF00005_AFCH01000046.1        73    -131.7421    -131.7421      0.0000
  QRF00005_ADTV01000009.1        73    -131.7421    -131.7421      0.0000
  QRF00005_ABCE01000025.1        73    -131.4443    -134.5253      3.0810
