# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01476.cm
# date:    Fri May 13 21:39:18 2016
# seed:    1463175558
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rliF                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:17.10       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -91.1962     -91.1962      0.0000
  QRF01739_AGJC01000011.1        62     -91.6398     -91.6398      0.0000
  QRF01739_AP012205.1            62     -91.2016     -91.2016      0.0000
  QRF01739_AEPQ01000180.1        85     -71.2786     -71.2786      0.0000
  QRF01739_AACY023065314.1       57     -93.6516     -93.6516      0.0000
  QRF01739_AACY020081009.1       57     -93.6516     -93.6516      0.0000
  QRF01739_ACSK01000180.1        92     -78.1851     -78.1851      0.0000
  QRF01739_BA000039.2           113     -76.6699     -76.6699      0.0000
  QRF01739_AACY023081145.1       53     -92.6356     -92.6356      0.0000
  QRF01739_AFSR01000238.1        99     -83.2019     -83.2019      0.0000
  QRF01739_AGJC01000003.1        76     -86.0953     -86.0953      0.0000
  QRF01739_AFSR01000146.1        92     -83.4073     -83.4073      0.0000
  QRF01739_CACA01000349.1        84     -84.6923     -84.6923      0.0000
  QRF01739_AACY022751187.1       52     -92.5846     -92.5846      0.0000
  QRF01739_AACY022283709.1       52     -92.5846     -92.5846      0.0000
