# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01718.cm
# date:    Sat May 14 03:41:51 2016
# seed:    1463197311
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Polynucleobacter-1         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:23.69       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -51.9182     -51.9182      0.0000
  QRF01739_AGJC01000011.1        62     -51.0580     -51.0580      0.0000
  QRF01739_AP012205.1            62     -49.8278     -49.8278      0.0000
  QRF01739_AEPQ01000180.1        85     -38.3828     -38.3828      0.0000
  QRF01739_AACY023065314.1       57     -58.0390     -58.0390      0.0000
  QRF01739_AACY020081009.1       57     -58.0390     -58.0390      0.0000
  QRF01739_ACSK01000180.1        92     -41.0666     -41.0666      0.0000
  QRF01739_BA000039.2           113     -39.2434     -39.2434      0.0000
  QRF01739_AACY023081145.1       53     -60.3497     -60.3497      0.0000
  QRF01739_AFSR01000238.1        99     -45.6267     -45.6267      0.0000
  QRF01739_AGJC01000003.1        76     -45.9650     -45.9650      0.0000
  QRF01739_AFSR01000146.1        92     -43.9151     -43.9151      0.0000
  QRF01739_CACA01000349.1        84     -45.1596     -45.1596      0.0000
  QRF01739_AACY022751187.1       52     -60.3331     -60.3331      0.0000
  QRF01739_AACY022283709.1       52     -60.3331     -60.3331      0.0000
  QRF01739_ABPS01003770.1       123     -37.8093     -37.8140      0.0047
  QRF01739_AFEJ01000345.1        83     -41.3224     -41.3224      0.0000
  QRF00005_CABR01000029.1        73     -50.7031     -50.7031      0.0000
  QRF00005_AFSR01002788.1        74     -42.6614     -42.6614      0.0000
  QRF00005_CP000927.1            72     -51.9439     -51.9439      0.0000
  QRF00005_AY741371.1            72     -48.6034     -48.6034      0.0000
  QRF00005_AEGR01000006.1        73     -51.7691     -51.7691      0.0000
  QRF00005_CP001189.1            73     -50.9338     -50.9338      0.0000
  QRF00005_CP000493.1            72     -49.1234     -49.1234      0.0000
  QRF00005_AP012159.1            73     -50.9338     -50.9338      0.0000
  QRF00005_AM889285.1            73     -50.9338     -50.9338      0.0000
  QRF00005_AGFR01000003.1        73     -51.0371     -51.0371      0.0000
  QRF00005_AFCH01000046.1        73     -50.9338     -50.9338      0.0000
  QRF00005_ADTV01000009.1        73     -50.9338     -50.9338      0.0000
  QRF00005_ABCE01000025.1        73     -54.3858     -54.3858      0.0000
  QRF00005_HM565909.1            72     -51.9851     -51.9851      0.0000
  QRF00005_CAFG01000441.1        73     -46.0451     -46.0451      0.0000
