# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01770.cm
# date:    Sat May 14 05:05:43 2016
# seed:    1463202343
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rimP                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:38.11       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -31.3154     -31.3154      0.0000
  QRF01739_AGJC01000011.1        62     -38.9684     -38.9684      0.0000
  QRF01739_AP012205.1            62     -27.7119     -27.7119      0.0000
  QRF01739_AEPQ01000180.1        85     -30.2391     -30.2391      0.0000
  QRF01739_AACY023065314.1       57     -40.2902     -40.2902      0.0000
  QRF01739_AACY020081009.1       57     -40.2902     -40.2902      0.0000
  QRF01739_ACSK01000180.1        92     -23.8855     -23.8855      0.0000
  QRF01739_BA000039.2           113     -15.3959     -15.3959      0.0000
  QRF01739_AACY023081145.1       53     -39.0862     -39.0862      0.0000
  QRF01739_AFSR01000238.1        99     -26.9285     -26.9285      0.0000
  QRF01739_AGJC01000003.1        76     -29.9228     -29.9228      0.0000
  QRF01739_AFSR01000146.1        92     -35.1984     -35.1984      0.0000
  QRF01739_CACA01000349.1        84     -28.5773     -28.5773      0.0000
  QRF01739_AACY022751187.1       52     -41.5018     -41.5018      0.0000
  QRF01739_AACY022283709.1       52     -41.5018     -41.5018      0.0000
  QRF01739_ABPS01003770.1       123     -21.8523     -21.8523      0.0000
  QRF01739_AFEJ01000345.1        83     -26.9395     -26.9395      0.0000
  QRF00005_CABR01000029.1        73     -29.9706     -29.9706      0.0000
  QRF00005_AFSR01002788.1        74     -29.6844     -29.6844      0.0000
  QRF00005_CP000927.1            72     -23.1063     -23.1063      0.0000
  QRF00005_AY741371.1            72     -32.5983     -32.5983      0.0000
  QRF00005_AEGR01000006.1        73     -32.0851     -32.0851      0.0000
  QRF00005_CP001189.1            73     -27.2157     -27.2157      0.0000
  QRF00005_CP000493.1            72     -31.2841     -31.2841      0.0000
  QRF00005_AP012159.1            73     -27.2157     -27.2157      0.0000
  QRF00005_AM889285.1            73     -27.2157     -27.2157      0.0000
  QRF00005_AGFR01000003.1        73     -26.0060     -26.0060      0.0000
  QRF00005_AFCH01000046.1        73     -27.2157     -27.2157      0.0000
  QRF00005_ADTV01000009.1        73     -27.2157     -27.2157      0.0000
  QRF00005_ABCE01000025.1        73     -25.4760     -25.4760      0.0000
  QRF00005_HM565909.1            72     -28.0008     -28.0008      0.0000
  QRF00005_CAFG01000441.1        73     -33.0990     -33.0990      0.0000
  QRF00005_AACY020656879.1       72     -32.8619     -32.8619      0.0000
  QRF00005_CP001744.1            73     -22.6921     -22.6921      0.0000
  QRF00005_CP000880.1            73     -31.5476     -31.5476      0.0000
  QRF00005_CACD01000012.1        73     -31.5476     -31.5476      0.0000
  QRF00005_CACD01000012.1        73     -31.5476     -31.5476      0.0000
  QRF00005_CACD01000012.1        73     -31.5476     -31.5476      0.0000
