# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01711.cm
# date:    Sat May 14 03:32:27 2016
# seed:    1463196747
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Lnt                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:18.95       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.1227     -19.1227      0.0000
  QRF01739_AGJC01000011.1        62     -17.3881     -17.3881      0.0000
  QRF01739_AP012205.1            62     -23.7397     -23.7397      0.0000
  QRF01739_AEPQ01000180.1        85     -13.6228     -13.6228      0.0000
  QRF01739_AACY023065314.1       57     -16.9366     -16.9366      0.0000
  QRF01739_AACY020081009.1       57     -16.9366     -16.9366      0.0000
  QRF01739_ACSK01000180.1        92     -24.3167     -24.3167      0.0000
  QRF01739_BA000039.2           113     -18.6679     -18.6679      0.0000
  QRF01739_AACY023081145.1       53     -16.2718     -16.2718      0.0000
  QRF01739_AFSR01000238.1        99     -26.8980     -26.8980      0.0000
  QRF01739_AGJC01000003.1        76     -22.0882     -22.0882      0.0000
  QRF01739_AFSR01000146.1        92     -24.3618     -24.3618      0.0000
  QRF01739_CACA01000349.1        84     -22.1817     -22.1817      0.0000
  QRF01739_AACY022751187.1       52     -21.5003     -21.5003      0.0000
  QRF01739_AACY022283709.1       52     -21.5003     -21.5003      0.0000
  QRF01739_ABPS01003770.1       123     -18.3458     -18.3458      0.0000
  QRF01739_AFEJ01000345.1        83     -24.1327     -24.1327      0.0000
  QRF00005_CABR01000029.1        73     -23.8250     -23.8250      0.0000
  QRF00005_AFSR01002788.1        74     -19.5031     -19.5031      0.0000
  QRF00005_CP000927.1            72     -23.9076     -23.9076      0.0000
  QRF00005_AY741371.1            72     -18.1407     -18.1407      0.0000
  QRF00005_AEGR01000006.1        73     -19.3620     -19.3620      0.0000
  QRF00005_CP001189.1            73     -21.3609     -21.3609      0.0000
  QRF00005_CP000493.1            72     -26.6877     -26.6877      0.0000
  QRF00005_AP012159.1            73     -21.3609     -21.3609      0.0000
  QRF00005_AM889285.1            73     -21.3609     -21.3609      0.0000
  QRF00005_AGFR01000003.1        73     -20.8001     -20.8001      0.0000
  QRF00005_AFCH01000046.1        73     -21.3609     -21.3609      0.0000
  QRF00005_ADTV01000009.1        73     -21.3609     -21.3609      0.0000
  QRF00005_ABCE01000025.1        73     -23.8842     -23.8842      0.0000
  QRF00005_HM565909.1            72     -12.4293     -12.4293      0.0000
  QRF00005_CAFG01000441.1        73     -19.3620     -19.3620      0.0000
  QRF00005_AACY020656879.1       72     -12.6683     -12.6683      0.0000
  QRF00005_CP001744.1            73     -24.7144     -24.7144      0.0000
  QRF00005_CP000880.1            73     -13.7545     -13.7545      0.0000
  QRF00005_CACD01000012.1        73     -13.7545     -13.7545      0.0000
  QRF00005_CACD01000012.1        73     -13.7545     -13.7545      0.0000
  QRF00005_CACD01000012.1        73     -13.7545     -13.7545      0.0000
  QRF00005_AM849034.1            74     -19.0831     -19.0831      0.0000
  QRF00005_AM711867.1            74     -19.0831     -19.0831      0.0000
  QRF00005_AEQT01000005.1        73     -13.7545     -13.7545      0.0000
  QRF00005_AEQT01000005.1        73     -13.7545     -13.7545      0.0000
  QRF00005_ACDJ01000003.1        73     -13.7545     -13.7545      0.0000
  QRF00005_ABWL02000007.1        73     -13.7545     -13.7545      0.0000
  QRF00005_Z71579.1              73     -21.4014     -21.4014      0.0000
  QRF00005_X53782.1              73     -21.4014     -21.4014      0.0000
  QRF00005_M19391.1              73     -21.4014     -21.4014      0.0000
  QRF00005_M15314.1              73     -21.4014     -21.4014      0.0000
  QRF00005_L42023.1              73     -21.4014     -21.4014      0.0000
  QRF00005_L42023.1              73     -21.4014     -21.4014      0.0000
  QRF00005_L42023.1              73     -21.4014     -21.4014      0.0000
  QRF00005_FQ670204.1            73     -21.4014     -21.4014      0.0000
