# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01138.cm
# date:    Sat May 14 02:12:20 2016
# seed:    1463191940
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sR23                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:14.30       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -12.8650     -12.8650      0.0000
  QRF01739_AGJC01000011.1        62     -21.3286     -21.3286      0.0000
  QRF01739_AP012205.1            62     -17.6876     -17.6876      0.0000
  QRF01739_AEPQ01000180.1        85      -9.6643      -9.6643      0.0000
  QRF01739_AACY023065314.1       57     -15.4300     -15.4300      0.0000
  QRF01739_AACY020081009.1       57     -15.4300     -15.4300      0.0000
  QRF01739_ACSK01000180.1        92     -16.4520     -16.4520      0.0000
  QRF01739_BA000039.2           113     -14.4883     -14.4883      0.0000
  QRF01739_AACY023081145.1       53     -20.7557     -20.7557      0.0000
  QRF01739_AFSR01000238.1        99     -14.1129     -14.1129      0.0000
  QRF01739_AGJC01000003.1        76     -16.3908     -16.3908      0.0000
  QRF01739_AFSR01000146.1        92      -9.8059      -9.8059      0.0000
  QRF01739_CACA01000349.1        84     -12.3407     -12.3407      0.0000
  QRF01739_AACY022751187.1       52     -21.5565     -21.5565      0.0000
  QRF01739_AACY022283709.1       52     -21.5565     -21.5565      0.0000
  QRF01739_ABPS01003770.1       123      -8.9958      -8.9958      0.0000
  QRF01739_AFEJ01000345.1        83     -15.8774     -15.8774      0.0000
  QRF00005_CABR01000029.1        73     -15.6835     -15.6835      0.0000
  QRF00005_AFSR01002788.1        74     -13.9451     -13.9451      0.0000
  QRF00005_CP000927.1            72     -19.7455     -19.7455      0.0000
  QRF00005_AY741371.1            72     -23.2010     -23.2010      0.0000
  QRF00005_AEGR01000006.1        73     -16.1794     -16.1794      0.0000
  QRF00005_CP001189.1            73     -21.2093     -21.2093      0.0000
  QRF00005_CP000493.1            72     -23.0073     -23.0073      0.0000
  QRF00005_AP012159.1            73     -21.2093     -21.2093      0.0000
  QRF00005_AM889285.1            73     -21.2093     -21.2093      0.0000
  QRF00005_AGFR01000003.1        73     -20.3215     -20.3215      0.0000
  QRF00005_AFCH01000046.1        73     -21.2093     -21.2093      0.0000
  QRF00005_ADTV01000009.1        73     -21.2093     -21.2093      0.0000
  QRF00005_ABCE01000025.1        73     -13.3941     -13.3941      0.0000
  QRF00005_HM565909.1            72     -23.2010     -23.2010      0.0000
  QRF00005_CAFG01000441.1        73     -20.5490     -20.5490      0.0000
  QRF00005_AACY020656879.1       72     -23.2010     -23.2010      0.0000
  QRF00005_CP001744.1            73     -17.6003     -17.6003      0.0000
  QRF00005_CP000880.1            73     -15.3130     -15.3130      0.0000
  QRF00005_CACD01000012.1        73     -15.3130     -15.3130      0.0000
  QRF00005_CACD01000012.1        73     -15.3130     -15.3130      0.0000
  QRF00005_CACD01000012.1        73     -15.3130     -15.3130      0.0000
  QRF00005_AM849034.1            74     -10.3710     -10.3710      0.0000
