# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01096.cm
# date:    Sun May  8 20:46:10 2016
# seed:    1462715170
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PK-HAV                     search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.18       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -16.3493     -16.3493      0.0000
  trna_2                         74     -23.8423     -23.8423      0.0000
  trna_3                         73     -17.9241     -17.9241      0.0000
  trna_4                         72     -17.3302     -17.3302      0.0000
  trna_5                         72     -21.5610     -21.5610      0.0000
  trna_6                         73     -16.8120     -16.8120      0.0000
  trna_7                         73     -21.9769     -21.9769      0.0000
  trna_8                         73     -24.4945     -24.4945      0.0000
  trna_9                         73     -15.6517     -15.6517      0.0000
  trna_10                        72     -16.9094     -16.9094      0.0000
  u5_1                          114      -7.4298      -7.4298      0.0000
  u5_2                          116      -0.3247      -0.3247      0.0000
  u5_3                          118       0.2627       0.2627      0.0000
  u5_4                          117       0.3578       0.3578      0.0000
  u5_5                          107      -4.1397      -4.1397      0.0000
  u5_6                          116      -1.6953      -1.6953      0.0000
  u5_7                          116      -1.2032      -1.2032      0.0000
  u5_8                          126      -1.2032      -1.2032      0.0000
  u5_9                          115      -3.9633      -3.9633      0.0000
  u5_10                         115      -6.1663      -6.1663      0.0000
  rrtWT_uc011zgd.1_2370         100      -4.1473      -4.1473      0.0000
  rrtWT_uc007ino.1_879          100     -12.4377     -12.4377      0.0000
  rrtWT_uc012dtn.1_1041         100      -5.6508      -5.6508      0.0000
  rrtWT_uc007bjr.2_621          100      -2.4041      -2.4041      0.0000
  rrtWT_uc008hom.1_603          100      -6.9661      -6.9661      0.0000
  rrtWT_uc007wki.1_323          100     -12.0029     -12.0029      0.0000
  rrtWT_uc008fec.1_254          100     -10.3508     -10.3508      0.0000
  rrtWT_uc007wxx.1_716          100     -11.0932     -11.0932      0.0000
  rrtWT_uc009qex.2_2789         100      -5.9392      -5.9392      0.0000
  rrtWT_uc007xbv.1_1165         100     -18.2095     -18.2095      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.48    0.38        0  0.00000    0.00
#
# CPU time: 0.66u 0.01s 00:00:00.67 Elapsed: 00:00:00
