# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01697.cm
# date:    Fri May 13 20:15:03 2016
# seed:    1463170503
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Chlorobi-RRM               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:30.48       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.8381     -18.8381      0.0000
  QRF01739_AGJC01000011.1        62     -24.4961     -24.4961      0.0000
  QRF01739_AP012205.1            62     -17.5586     -17.5586      0.0000
  QRF01739_AEPQ01000180.1        85     -13.9163     -13.9163      0.0000
  QRF01739_AACY023065314.1       57     -24.3444     -24.3444      0.0000
  QRF01739_AACY020081009.1       57     -24.3444     -24.3444      0.0000
  QRF01739_ACSK01000180.1        92     -18.7755     -18.7755      0.0000
  QRF01739_BA000039.2           113     -12.2541     -12.2541      0.0000
  QRF01739_AACY023081145.1       53     -20.4089     -20.4089      0.0000
  QRF01739_AFSR01000238.1        99     -20.4543     -20.4543      0.0000
  QRF01739_AGJC01000003.1        76     -20.9709     -20.9709      0.0000
  QRF01739_AFSR01000146.1        92     -22.1165     -22.1165      0.0000
  QRF01739_CACA01000349.1        84     -17.9420     -17.9420      0.0000
  QRF01739_AACY022751187.1       52     -21.6501     -21.6501      0.0000
  QRF01739_AACY022283709.1       52     -21.6501     -21.6501      0.0000
  QRF01739_ABPS01003770.1       123     -12.7437     -12.7437      0.0000
  QRF01739_AFEJ01000345.1        83     -11.8517     -11.8517      0.0000
  QRF00005_CABR01000029.1        73     -18.0687     -18.0687      0.0000
  QRF00005_AFSR01002788.1        74     -12.9886     -12.9886      0.0000
  QRF00005_CP000927.1            72     -10.0220     -10.0220      0.0000
  QRF00005_AY741371.1            72     -18.4813     -18.4813      0.0000
  QRF00005_AEGR01000006.1        73     -17.4027     -17.4027      0.0000
  QRF00005_CP001189.1            73     -11.8901     -11.8901      0.0000
  QRF00005_CP000493.1            72     -13.5358     -13.5358      0.0000
  QRF00005_AP012159.1            73     -11.8901     -11.8901      0.0000
  QRF00005_AM889285.1            73     -11.8901     -11.8901      0.0000
  QRF00005_AGFR01000003.1        73     -13.5905     -13.5905      0.0000
  QRF00005_AFCH01000046.1        73     -11.8901     -11.8901      0.0000
  QRF00005_ADTV01000009.1        73     -11.8901     -11.8901      0.0000
  QRF00005_ABCE01000025.1        73     -18.6428     -18.6428      0.0000
  QRF00005_HM565909.1            72     -15.4882     -15.4882      0.0000
  QRF00005_CAFG01000441.1        73     -16.8206     -16.8206      0.0000
