# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00216.cm
# date:    Fri May 13 21:26:38 2016
# seed:    1463174798
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_c-myc                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:50.16       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -140.4782    -140.4782      0.0000
  QRF01739_AGJC01000011.1        62    -139.4703    -139.4703      0.0000
  QRF01739_AP012205.1            62    -136.7965    -136.7965      0.0000
  QRF01739_AEPQ01000180.1        85    -115.5049    -115.5049      0.0000
  QRF01739_AACY023065314.1       57    -145.5160    -145.5160      0.0000
  QRF01739_AACY020081009.1       57    -145.5160    -145.5160      0.0000
  QRF01739_ACSK01000180.1        92    -123.8554    -123.8554      0.0000
  QRF01739_BA000039.2           113    -112.3929    -112.3929      0.0000
  QRF01739_AACY023081145.1       53    -142.5310    -142.5310      0.0000
  QRF01739_AFSR01000238.1        99    -114.7329    -114.7329      0.0000
  QRF01739_AGJC01000003.1        76    -132.3704    -132.3704      0.0000
  QRF01739_AFSR01000146.1        92    -128.7074    -128.7074      0.0000
  QRF01739_CACA01000349.1        84    -124.3922    -124.3922      0.0000
  QRF01739_AACY022751187.1       52    -146.7175    -146.7175      0.0000
  QRF01739_AACY022283709.1       52    -146.7175    -146.7175      0.0000
  QRF01739_ABPS01003770.1       123    -106.6122    -106.6122      0.0000
  QRF01739_AFEJ01000345.1        83    -131.5919    -131.5919      0.0000
  QRF00005_CABR01000029.1        73    -134.4197    -134.4197      0.0000
  QRF00005_AFSR01002788.1        74    -134.5403    -134.5403      0.0000
  QRF00005_CP000927.1            72    -129.8667    -129.8667      0.0000
  QRF00005_AY741371.1            72    -133.4273    -133.4273      0.0000
  QRF00005_AEGR01000006.1        73    -135.4986    -135.4986      0.0000
  QRF00005_CP001189.1            73    -133.9241    -133.9241      0.0000
  QRF00005_CP000493.1            72    -130.6277    -130.6277      0.0000
  QRF00005_AP012159.1            73    -133.9241    -133.9241      0.0000
  QRF00005_AM889285.1            73    -133.9241    -133.9241      0.0000
  QRF00005_AGFR01000003.1        73    -136.7460    -136.7460      0.0000
  QRF00005_AFCH01000046.1        73    -133.9241    -133.9241      0.0000
  QRF00005_ADTV01000009.1        73    -133.9241    -133.9241      0.0000
  QRF00005_ABCE01000025.1        73    -131.5919    -131.5919      0.0000
  QRF00005_HM565909.1            72    -131.5222    -131.5222      0.0000
  QRF00005_CAFG01000441.1        73    -134.1799    -134.1799      0.0000
  QRF00005_AACY020656879.1       72    -136.0063    -136.0063      0.0000
  QRF00005_CP001744.1            73    -128.4157    -128.4157      0.0000
  QRF00005_CP000880.1            73    -134.1811    -134.1811      0.0000
  QRF00005_CACD01000012.1        73    -134.1811    -134.1811      0.0000
  QRF00005_CACD01000012.1        73    -134.1811    -134.1811      0.0000
  QRF00005_CACD01000012.1        73    -134.1811    -134.1811      0.0000
  QRF00005_AM849034.1            74    -133.2290    -133.2290      0.0000
  QRF00005_AM711867.1            74    -133.2290    -133.2290      0.0000
  QRF00005_AEQT01000005.1        73    -134.1811    -134.1811      0.0000
  QRF00005_AEQT01000005.1        73    -134.1811    -134.1811      0.0000
  QRF00005_ACDJ01000003.1        73    -134.1811    -134.1811      0.0000
  QRF00005_ABWL02000007.1        73    -134.1811    -134.1811      0.0000
  QRF00005_Z71579.1              73    -132.0529    -132.0529      0.0000
  QRF00005_X53782.1              73    -132.0529    -132.0529      0.0000
  QRF00005_M19391.1              73    -132.0529    -132.0529      0.0000
  QRF00005_M15314.1              73    -132.0529    -132.0529      0.0000
  QRF00005_L42023.1              73    -132.0529    -132.0529      0.0000
  QRF00005_L42023.1              73    -132.0529    -132.0529      0.0000
  QRF00005_L42023.1              73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670204.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670204.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670204.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670178.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670178.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670178.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ670178.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ312006.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ312006.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ312006.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ312002.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ312002.1            73    -132.0529    -132.0529      0.0000
  QRF00005_FQ312002.1            73    -132.0529    -132.0529      0.0000
  QRF00005_EF196803.1            73    -132.0529    -132.0529      0.0000
  QRF00005_EF196803.1            73    -132.0529    -132.0529      0.0000
  QRF00005_CP003022.1            73    -132.0529    -132.0529      0.0000
  QRF00001_EU093378.1           119    -113.4268    -113.4268      0.0000
  QRF00001_AAAA02047827.1       119    -114.6738    -114.6738      0.0000
  QRF00001_AAAA02043281.1       119    -114.8948    -114.8948      0.0000
  QRF00001_EF064700.1           119    -112.1180    -112.1180      0.0000
  QRF00001_EF064692.1           119    -112.1180    -112.1180      0.0000
  QRF00001_EF064687.1           119    -112.1180    -112.1180      0.0000
  QRF00001_EF064680.1           119    -112.1180    -112.1180      0.0000
  QRF00001_EF064678.1           119    -112.1180    -112.1180      0.0000
  QRF00001_EF064556.1           119    -112.1180    -112.1180      0.0000
  QRF00001_AJ390135.1           119    -112.1180    -112.1180      0.0000
  QRF00001_HQ270965.1           119    -115.5858    -115.5858      0.0000
  QRF00001_GQ324770.1           119    -115.5858    -115.5858      0.0000
  QRF00001_FJ882503.1           119    -115.5858    -115.5858      0.0000
  QRF00001_AF550740.1           119    -115.5858    -115.5858      0.0000
  QRF00001_HQ270648.1           119    -113.2070    -113.2070      0.0000
  QRF00001_EU924818.1           119    -113.2070    -113.2070      0.0000
  QRF00001_EU093153.1           119    -113.2070    -113.2070      0.0000
  QRF00001_EF524209.1           119    -113.2070    -113.2070      0.0000
  QRF00001_AY316209.1           119    -113.2070    -113.2070      0.0000
  QRF00001_AY034674.1           119    -113.2070    -113.2070      0.0000
  QRF00001_AJ409525.1           119    -113.2070    -113.2070      0.0000
  QRF00001_AF550715.1           119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01010155.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01009775.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01009775.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01009775.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01009135.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01009119.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01009117.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005845.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005845.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005844.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005841.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005839.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005838.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005838.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005835.1       119    -113.2070    -113.2070      0.0000
  QRF00001_ABXC01005835.1       119    -113.2070    -113.2070      0.0000
  QRF00001_AAAA02039752.1       119    -113.8338    -113.8338      0.0000
  QRF00001_EU925066.1           119    -114.1168    -114.1168      0.0000
  QRF00001_EU093209.1           119    -114.1168    -114.1168      0.0000
  QRF00001_U02637.1             119    -114.6738    -114.6738      0.0000
  QRF00001_EU439291.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439286.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439284.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439282.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439280.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439279.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439278.1           119    -114.6738    -114.6738      0.0000
  QRF00001_EU439277.1           119    -114.6738    -114.6738      0.0000
  QRF01704_ACNY01000005.1        62    -142.2525    -142.2525      0.0000
  QRF01704_ADXL01000065.1        61    -137.3397    -137.3397      0.0000
  QRF01704_ADXL01000046.1        61    -141.6959    -141.6959      0.0000
  QRF01704_ADHP01001127.1        63    -136.5033    -136.5033      0.0000
  QRF01704_ADXM01000029.1        71    -134.8871    -135.2683      0.3812
  QRF01704_FJ869257.1            62    -146.0073    -146.0073      0.0000
  QRF01704_BX569692.1            62    -146.0073    -146.0073      0.0000
  QRF01704_AACY023835177.1       64    -141.9175    -141.9175      0.0000
  QRF01704_ACNY01000003.1        61    -145.4137    -145.4137      0.0000
  QRF01704_AACY020212823.1       62    -139.4367    -139.4367      0.0000
  QRF01704_GQ237222.1            58    -141.0263    -141.0263      0.0000
  QRF01704_ADHP01000860.1        64    -140.7495    -140.7495      0.0000
  QRF01704_AACY020313707.1       62    -138.4443    -138.4443      0.0000
  QRF01704_ACDW01000004.1        62    -140.2761    -140.2761      0.0000
  QRF01704_AACY022014507.1       62    -137.5161    -137.5161      0.0000
  QRF01704_ADHP01000878.1        59    -147.2675    -147.2675      0.0000
  QRF01704_AACY022415810.1       58    -148.5960    -148.5960      0.0000
  QRF01704_AACY020575673.1       58    -148.5960    -148.5960      0.0000
  QRF01704_ACNY01000005.1        59    -142.4742    -142.4742      0.0000
  QRF01704_ADHP01000854.1        63    -142.8038    -142.8038      0.0000
  QRF01704_GU936714.1            59    -149.0829    -149.0829      0.0000
  QRF01704_AACY021622950.1       62    -139.6166    -139.6166      0.0000
  QRF01704_CP000825.1            58    -148.7807    -148.7807      0.0000
  QRF01704_EU795157.1            64    -142.9492    -142.9492      0.0000
  QRF01704_ABVN01004790.1        61    -148.3993    -148.3993      0.0000
  QRF01704_ABMN01086741.1        60    -146.5411    -146.5411      0.0000
  QRF01704_DQ325539.1            60    -142.0482    -142.0482      0.0000
  QRF01704_ACNY01000005.1        62    -143.0906    -143.0906      0.0000
  QRF01704_ACNY01000004.1        60    -142.3000    -142.3000      0.0000
  QRF01704_ABVT01000061.1        57    -151.0762    -151.0762      0.0000
  QRF00023_CP001665.1           363     -59.2173     -59.2173      0.0000
  QRF00023_CP001509.3           363     -59.2173     -59.2173      0.0000
  QRF00023_CP000819.1           363     -59.2173     -59.2173      0.0000
  QRF00023_AM946981.2           363     -59.2173     -59.2173      0.0000
  QRF00023_ADTQ01000184.1       363     -59.2173     -59.2173      0.0000
  QRF00023_ADBT01000188.1       363     -59.2173     -59.2173      0.0000
  QRF00023_FN543093.2           364     -56.4022     -56.4022      0.0000
