# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00813.cm
# date:    Sat May 14 01:04:30 2016
# seed:    1463187870
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-11                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:34.79       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -17.6356     -17.6356      0.0000
  QRF01739_AGJC01000011.1        62     -10.2628     -10.2628      0.0000
  QRF01739_AP012205.1            62     -12.8366     -12.8366      0.0000
  QRF01739_AEPQ01000180.1        85      -9.9881      -9.9881      0.0000
  QRF01739_AACY023065314.1       57     -13.9255     -13.9255      0.0000
  QRF01739_AACY020081009.1       57     -13.9255     -13.9255      0.0000
  QRF01739_ACSK01000180.1        92      -7.7207      -7.7207      0.0000
  QRF01739_BA000039.2           113      -6.0094      -6.0094      0.0000
  QRF01739_AACY023081145.1       53     -17.2541     -17.2541      0.0000
  QRF01739_AFSR01000238.1        99      -3.8489      -3.8489      0.0000
  QRF01739_AGJC01000003.1        76     -16.2395     -16.2395      0.0000
  QRF01739_AFSR01000146.1        92       2.1712       2.1712      0.0000
  QRF01739_CACA01000349.1        84     -14.5690     -14.5690      0.0000
  QRF01739_AACY022751187.1       52     -10.4115     -10.4115      0.0000
  QRF01739_AACY022283709.1       52     -10.4115     -10.4115      0.0000
  QRF01739_ABPS01003770.1       123     -12.0555     -12.0555      0.0000
  QRF01739_AFEJ01000345.1        83      -9.0543      -9.0543      0.0000
  QRF00005_CABR01000029.1        73     -12.3046     -12.3046      0.0000
  QRF00005_AFSR01002788.1        74     -14.0885     -14.0885      0.0000
  QRF00005_CP000927.1            72     -11.5099     -11.5099      0.0000
  QRF00005_AY741371.1            72     -18.0791     -18.0791      0.0000
  QRF00005_AEGR01000006.1        73     -17.0775     -17.0775      0.0000
  QRF00005_CP001189.1            73     -12.8355     -12.8355      0.0000
  QRF00005_CP000493.1            72     -15.5079     -15.5079      0.0000
  QRF00005_AP012159.1            73     -12.8355     -12.8355      0.0000
  QRF00005_AM889285.1            73     -12.8355     -12.8355      0.0000
  QRF00005_AGFR01000003.1        73     -16.6019     -16.6019      0.0000
  QRF00005_AFCH01000046.1        73     -12.8355     -12.8355      0.0000
  QRF00005_ADTV01000009.1        73     -12.8355     -12.8355      0.0000
  QRF00005_ABCE01000025.1        73     -16.1109     -16.1109      0.0000
