# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01800.cm
# date:    Sat May 14 05:21:35 2016
# seed:    1463203295
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  gadd7                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:06:13.32       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -405.3048    -405.3048      0.0000
  QRF01739_AGJC01000011.1        62    -404.4926    -404.4926      0.0000
  QRF01739_AP012205.1            62    -412.3962    -412.3962      0.0000
  QRF01739_AEPQ01000180.1        85    -377.2499    -377.2499      0.0000
  QRF01739_AACY023065314.1       57    -409.7492    -409.7492      0.0000
  QRF01739_AACY020081009.1       57    -409.7492    -409.7492      0.0000
  QRF01739_ACSK01000180.1        92    -385.5216    -385.5216      0.0000
  QRF01739_BA000039.2           113    -368.1341    -368.1341      0.0000
  QRF01739_AACY023081145.1       53    -419.1724    -419.1724      0.0000
  QRF01739_AFSR01000238.1        99    -375.1225    -375.1225      0.0000
  QRF01739_AGJC01000003.1        76    -396.7061    -396.7061      0.0000
  QRF01739_AFSR01000146.1        92    -384.8919    -384.8919      0.0000
  QRF01739_CACA01000349.1        84    -390.0168    -390.0168      0.0000
  QRF01739_AACY022751187.1       52    -416.0592    -416.0592      0.0000
  QRF01739_AACY022283709.1       52    -416.0592    -416.0592      0.0000
  QRF01739_ABPS01003770.1       123    -356.8133    -356.8133      0.0000
  QRF01739_AFEJ01000345.1        83    -392.4983    -392.4983      0.0000
  QRF00005_CABR01000029.1        73    -403.5944    -403.5944      0.0000
  QRF00005_AFSR01002788.1        74    -392.9539    -392.9539      0.0000
  QRF00005_CP000927.1            72    -401.3668    -401.3668      0.0000
  QRF00005_AY741371.1            72    -396.5878    -396.5878      0.0000
  QRF00005_AEGR01000006.1        73    -400.6033    -400.6033      0.0000
  QRF00005_CP001189.1            73    -400.6686    -400.6686      0.0000
  QRF00005_CP000493.1            72    -396.2588    -396.2588      0.0000
  QRF00005_AP012159.1            73    -400.6686    -400.6686      0.0000
  QRF00005_AM889285.1            73    -400.6686    -400.6686      0.0000
  QRF00005_AGFR01000003.1        73    -401.2321    -401.2321      0.0000
  QRF00005_AFCH01000046.1        73    -400.6686    -400.6686      0.0000
  QRF00005_ADTV01000009.1        73    -400.6686    -400.6686      0.0000
  QRF00005_ABCE01000025.1        73    -398.4351    -398.4351      0.0000
  QRF00005_HM565909.1            72    -396.2535    -396.2535      0.0000
  QRF00005_CAFG01000441.1        73    -401.1193    -401.1193      0.0000
  QRF00005_AACY020656879.1       72    -394.8836    -394.8836      0.0000
  QRF00005_CP001744.1            73    -402.7259    -402.7259      0.0000
  QRF00005_CP000880.1            73    -393.4784    -393.4784      0.0000
  QRF00005_CACD01000012.1        73    -393.4784    -393.4784      0.0000
  QRF00005_CACD01000012.1        73    -393.4784    -393.4784      0.0000
  QRF00005_CACD01000012.1        73    -393.4784    -393.4784      0.0000
  QRF00005_AM849034.1            74    -392.2230    -392.2230      0.0000
  QRF00005_AM711867.1            74    -392.2230    -392.2230      0.0000
  QRF00005_AEQT01000005.1        73    -393.4784    -393.4784      0.0000
  QRF00005_AEQT01000005.1        73    -393.4784    -393.4784      0.0000
  QRF00005_ACDJ01000003.1        73    -393.4784    -393.4784      0.0000
