# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01918.cm
# date:    Sun May  8 20:49:17 2016
# seed:    1462715357
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-1249                   search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -21.8716     -21.8716      0.0000
  trna_2                         74     -22.1852     -22.1852      0.0000
  trna_3                         73     -23.4480     -23.4480      0.0000
  trna_4                         72     -23.4231     -23.4231      0.0000
  trna_5                         72     -21.6612     -21.6612      0.0000
  trna_6                         73     -24.8218     -24.8218      0.0000
  trna_7                         73     -25.6185     -25.6185      0.0000
  trna_8                         73     -28.1505     -28.1505      0.0000
  trna_9                         73     -24.6918     -24.6918      0.0000
  trna_10                        72     -27.3726     -27.3726      0.0000
  u5_1                          114     -14.8261     -14.8261      0.0000
  u5_2                          116      -7.8595      -7.8595      0.0000
  u5_3                          118     -15.7873     -15.7873      0.0000
  u5_4                          117      -7.6113      -7.6113      0.0000
  u5_5                          107     -18.4596     -18.4596      0.0000
  u5_6                          116     -11.1526     -11.1526      0.0000
  u5_7                          116     -16.2702     -16.2702      0.0000
  u5_8                          126     -15.0442     -15.0442      0.0000
  u5_9                          115     -15.5973     -15.5973      0.0000
  u5_10                         115     -12.4536     -12.4536      0.0000
  rrtWT_uc011zgd.1_2370         100     -21.2586     -21.2586      0.0000
  rrtWT_uc007ino.1_879          100     -17.7475     -17.7475      0.0000
  rrtWT_uc012dtn.1_1041         100     -19.5283     -19.5283      0.0000
  rrtWT_uc007bjr.2_621          100     -15.3741     -15.3741      0.0000
  rrtWT_uc008hom.1_603          100     -27.3219     -27.3219      0.0000
  rrtWT_uc007wki.1_323          100     -22.3657     -22.3657      0.0000
  rrtWT_uc008fec.1_254          100     -22.6579     -22.6579      0.0000
  rrtWT_uc007wxx.1_716          100     -11.6941     -11.6941      0.0000
  rrtWT_uc009qex.2_2789         100     -18.8128     -18.8128      0.0000
  rrtWT_uc007xbv.1_1165         100     -18.0716     -18.0716      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.66    0.64        0  0.00000    0.00
#
# CPU time: 1.08u 0.01s 00:00:01.09 Elapsed: 00:00:02
