# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00387.cm
# date:    Sat May 14 00:49:43 2016
# seed:    1463186983
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_FGF1                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:35.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -62.5088     -62.5088      0.0000
  QRF01739_AGJC01000011.1        62     -63.4110     -63.4110      0.0000
  QRF01739_AP012205.1            62     -58.1860     -58.1860      0.0000
  QRF01739_AEPQ01000180.1        85     -52.6438     -52.6438      0.0000
  QRF01739_AACY023065314.1       57     -64.7424     -64.7424      0.0000
  QRF01739_AACY020081009.1       57     -64.7424     -64.7424      0.0000
  QRF01739_ACSK01000180.1        92     -49.8840     -49.8840      0.0000
  QRF01739_BA000039.2           113     -40.1965     -40.1965      0.0000
  QRF01739_AACY023081145.1       53     -62.6310     -62.6310      0.0000
  QRF01739_AFSR01000238.1        99     -46.9370     -46.9370      0.0000
  QRF01739_AGJC01000003.1        76     -54.4100     -54.4100      0.0000
  QRF01739_AFSR01000146.1        92     -50.8590     -50.8590      0.0000
  QRF01739_CACA01000349.1        84     -53.9300     -53.9300      0.0000
  QRF01739_AACY022751187.1       52     -66.6807     -66.6807      0.0000
  QRF01739_AACY022283709.1       52     -66.6807     -66.6807      0.0000
  QRF01739_ABPS01003770.1       123     -35.5434     -35.5434      0.0000
  QRF01739_AFEJ01000345.1        83     -50.8245     -50.8245      0.0000
  QRF00005_CABR01000029.1        73     -53.4817     -53.4817      0.0000
  QRF00005_AFSR01002788.1        74     -58.0750     -58.0750      0.0000
  QRF00005_CP000927.1            72     -51.6916     -51.6916      0.0000
  QRF00005_AY741371.1            72     -58.7695     -58.7695      0.0000
  QRF00005_AEGR01000006.1        73     -55.8736     -55.8736      0.0000
  QRF00005_CP001189.1            73     -55.9198     -55.9198      0.0000
  QRF00005_CP000493.1            72     -54.4483     -54.4483      0.0000
  QRF00005_AP012159.1            73     -55.9198     -55.9198      0.0000
  QRF00005_AM889285.1            73     -55.9198     -55.9198      0.0000
  QRF00005_AGFR01000003.1        73     -53.8558     -53.8558      0.0000
  QRF00005_AFCH01000046.1        73     -55.9198     -55.9198      0.0000
  QRF00005_ADTV01000009.1        73     -55.9198     -55.9198      0.0000
  QRF00005_ABCE01000025.1        73     -55.5827     -55.5827      0.0000
  QRF00005_HM565909.1            72     -58.3378     -58.3378      0.0000
  QRF00005_CAFG01000441.1        73     -55.2656     -55.2656      0.0000
  QRF00005_AACY020656879.1       72     -58.7488     -58.7488      0.0000
  QRF00005_CP001744.1            73     -60.3724     -60.3724      0.0000
  QRF00005_CP000880.1            73     -56.2324     -56.2324      0.0000
  QRF00005_CACD01000012.1        73     -56.2324     -56.2324      0.0000
  QRF00005_CACD01000012.1        73     -56.2324     -56.2324      0.0000
  QRF00005_CACD01000012.1        73     -56.2324     -56.2324      0.0000
  QRF00005_AM849034.1            74     -54.1105     -54.1105      0.0000
  QRF00005_AM711867.1            74     -54.1105     -54.1105      0.0000
  QRF00005_AEQT01000005.1        73     -56.2324     -56.2324      0.0000
  QRF00005_AEQT01000005.1        73     -56.2324     -56.2324      0.0000
  QRF00005_ACDJ01000003.1        73     -56.2324     -56.2324      0.0000
  QRF00005_ABWL02000007.1        73     -56.2324     -56.2324      0.0000
  QRF00005_Z71579.1              73     -56.2957     -56.2957      0.0000
  QRF00005_X53782.1              73     -56.2957     -56.2957      0.0000
  QRF00005_M19391.1              73     -56.2957     -56.2957      0.0000
  QRF00005_M15314.1              73     -56.2957     -56.2957      0.0000
  QRF00005_L42023.1              73     -56.2957     -56.2957      0.0000
  QRF00005_L42023.1              73     -56.2957     -56.2957      0.0000
  QRF00005_L42023.1              73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670204.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670204.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670204.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670178.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670178.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670178.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ670178.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ312006.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ312006.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ312006.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ312002.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ312002.1            73     -56.2957     -56.2957      0.0000
  QRF00005_FQ312002.1            73     -56.2957     -56.2957      0.0000
  QRF00005_EF196803.1            73     -56.2957     -56.2957      0.0000
  QRF00005_EF196803.1            73     -56.2957     -56.2957      0.0000
  QRF00005_CP003022.1            73     -56.2957     -56.2957      0.0000
  QRF00001_EU093378.1           119     -41.4929     -41.4929      0.0000
  QRF00001_AAAA02047827.1       119     -41.9814     -41.9814      0.0000
  QRF00001_AAAA02043281.1       119     -41.5825     -41.5825      0.0000
  QRF00001_EF064700.1           119     -39.5028     -39.5028      0.0000
  QRF00001_EF064692.1           119     -39.5028     -39.5028      0.0000
  QRF00001_EF064687.1           119     -39.5028     -39.5028      0.0000
  QRF00001_EF064680.1           119     -39.5028     -39.5028      0.0000
  QRF00001_EF064678.1           119     -39.5028     -39.5028      0.0000
  QRF00001_EF064556.1           119     -39.5028     -39.5028      0.0000
  QRF00001_AJ390135.1           119     -39.5028     -39.5028      0.0000
  QRF00001_HQ270965.1           119     -44.8896     -44.8896      0.0000
  QRF00001_GQ324770.1           119     -44.8896     -44.8896      0.0000
  QRF00001_FJ882503.1           119     -44.8896     -44.8896      0.0000
  QRF00001_AF550740.1           119     -44.8896     -44.8896      0.0000
  QRF00001_HQ270648.1           119     -43.9714     -43.9714      0.0000
  QRF00001_EU924818.1           119     -43.9714     -43.9714      0.0000
  QRF00001_EU093153.1           119     -43.9714     -43.9714      0.0000
  QRF00001_EF524209.1           119     -43.9714     -43.9714      0.0000
