# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00302.cm
# date:    Sat May 14 05:09:26 2016
# seed:    1463202566
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORA65                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:46.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -31.4926     -31.4926      0.0000
  QRF01739_AGJC01000011.1        62     -35.5196     -35.5196      0.0000
  QRF01739_AP012205.1            62     -35.4891     -35.4891      0.0000
  QRF01739_AEPQ01000180.1        85     -26.5736     -26.5736      0.0000
  QRF01739_AACY023065314.1       57     -40.4089     -40.4089      0.0000
  QRF01739_AACY020081009.1       57     -40.4089     -40.4089      0.0000
  QRF01739_ACSK01000180.1        92     -32.0767     -32.0767      0.0000
  QRF01739_BA000039.2           113     -19.2673     -19.2673      0.0000
  QRF01739_AACY023081145.1       53     -43.7259     -43.7259      0.0000
  QRF01739_AFSR01000238.1        99     -30.5502     -30.5502      0.0000
  QRF01739_AGJC01000003.1        76     -37.7588     -37.7588      0.0000
  QRF01739_AFSR01000146.1        92     -29.4664     -29.4664      0.0000
  QRF01739_CACA01000349.1        84     -30.8097     -30.8097      0.0000
  QRF01739_AACY022751187.1       52     -39.5902     -39.5902      0.0000
  QRF01739_AACY022283709.1       52     -39.5902     -39.5902      0.0000
  QRF01739_ABPS01003770.1       123     -10.5385     -10.5385      0.0000
  QRF01739_AFEJ01000345.1        83     -30.7873     -30.7873      0.0000
  QRF00005_CABR01000029.1        73     -38.5204     -38.5204      0.0000
  QRF00005_AFSR01002788.1        74     -41.9016     -41.9016      0.0000
  QRF00005_CP000927.1            72     -36.9754     -36.9754      0.0000
  QRF00005_AY741371.1            72     -25.5135     -25.5135      0.0000
  QRF00005_AEGR01000006.1        73     -39.3767     -39.3767      0.0000
  QRF00005_CP001189.1            73     -35.5292     -35.5292      0.0000
  QRF00005_CP000493.1            72     -34.0755     -34.0755      0.0000
  QRF00005_AP012159.1            73     -35.5292     -35.5292      0.0000
  QRF00005_AM889285.1            73     -35.5292     -35.5292      0.0000
  QRF00005_AGFR01000003.1        73     -30.9072     -30.9072      0.0000
  QRF00005_AFCH01000046.1        73     -35.5292     -35.5292      0.0000
  QRF00005_ADTV01000009.1        73     -35.5292     -35.5292      0.0000
  QRF00005_ABCE01000025.1        73     -41.1960     -41.1960      0.0000
  QRF00005_HM565909.1            72     -22.6745     -22.6745      0.0000
  QRF00005_CAFG01000441.1        73     -36.6746     -36.6746      0.0000
  QRF00005_AACY020656879.1       72     -23.2275     -23.2275      0.0000
  QRF00005_CP001744.1            73     -36.9484     -36.9484      0.0000
  QRF00005_CP000880.1            73     -41.2545     -41.2545      0.0000
  QRF00005_CACD01000012.1        73     -41.2545     -41.2545      0.0000
  QRF00005_CACD01000012.1        73     -41.2545     -41.2545      0.0000
  QRF00005_CACD01000012.1        73     -41.2545     -41.2545      0.0000
  QRF00005_AM849034.1            74     -33.3078     -33.3078      0.0000
  QRF00005_AM711867.1            74     -33.3078     -33.3078      0.0000
  QRF00005_AEQT01000005.1        73     -41.2545     -41.2545      0.0000
  QRF00005_AEQT01000005.1        73     -41.2545     -41.2545      0.0000
  QRF00005_ACDJ01000003.1        73     -41.2545     -41.2545      0.0000
  QRF00005_ABWL02000007.1        73     -41.2545     -41.2545      0.0000
  QRF00005_Z71579.1              73     -37.8177     -37.8177      0.0000
  QRF00005_X53782.1              73     -37.8177     -37.8177      0.0000
  QRF00005_M19391.1              73     -37.8177     -37.8177      0.0000
  QRF00005_M15314.1              73     -37.8177     -37.8177      0.0000
  QRF00005_L42023.1              73     -37.8177     -37.8177      0.0000
  QRF00005_L42023.1              73     -37.8177     -37.8177      0.0000
  QRF00005_L42023.1              73     -37.8177     -37.8177      0.0000
  QRF00005_FQ670204.1            73     -37.8177     -37.8177      0.0000
