# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01771.cm
# date:    Sat May 14 00:25:30 2016
# seed:    1463185530
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rnk_leader                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:46.85       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -34.3551     -34.3551      0.0000
  QRF01739_AGJC01000011.1        62     -32.3061     -32.3061      0.0000
  QRF01739_AP012205.1            62     -31.2323     -31.2323      0.0000
  QRF01739_AEPQ01000180.1        85     -23.4054     -23.4054      0.0000
  QRF01739_AACY023065314.1       57     -34.0046     -34.0046      0.0000
  QRF01739_AACY020081009.1       57     -34.0046     -34.0046      0.0000
  QRF01739_ACSK01000180.1        92     -21.5004     -21.5004      0.0000
  QRF01739_BA000039.2           113     -16.9535     -16.9535      0.0000
  QRF01739_AACY023081145.1       53     -40.4191     -40.4191      0.0000
  QRF01739_AFSR01000238.1        99     -30.5641     -30.5641      0.0000
  QRF01739_AGJC01000003.1        76     -19.4480     -19.4480      0.0000
  QRF01739_AFSR01000146.1        92     -29.1998     -29.1998      0.0000
  QRF01739_CACA01000349.1        84     -34.3559     -34.3559      0.0000
  QRF01739_AACY022751187.1       52     -40.8067     -40.8067      0.0000
  QRF01739_AACY022283709.1       52     -40.8067     -40.8067      0.0000
  QRF01739_ABPS01003770.1       123     -25.5922     -25.5922      0.0000
  QRF01739_AFEJ01000345.1        83     -30.0694     -30.0694      0.0000
  QRF00005_CABR01000029.1        73     -35.5128     -35.5128      0.0000
  QRF00005_AFSR01002788.1        74     -31.4173     -31.4173      0.0000
  QRF00005_CP000927.1            72     -34.1819     -34.1819      0.0000
  QRF00005_AY741371.1            72     -31.6602     -31.6602      0.0000
  QRF00005_AEGR01000006.1        73     -34.1816     -34.1816      0.0000
  QRF00005_CP001189.1            73     -32.9939     -32.9939      0.0000
  QRF00005_CP000493.1            72     -37.3018     -37.3018      0.0000
  QRF00005_AP012159.1            73     -32.9939     -32.9939      0.0000
  QRF00005_AM889285.1            73     -32.9939     -32.9939      0.0000
  QRF00005_AGFR01000003.1        73     -31.4139     -31.4139      0.0000
  QRF00005_AFCH01000046.1        73     -32.9939     -32.9939      0.0000
  QRF00005_ADTV01000009.1        73     -32.9939     -32.9939      0.0000
  QRF00005_ABCE01000025.1        73     -33.0879     -33.0879      0.0000
  QRF00005_HM565909.1            72     -28.5678     -28.5678      0.0000
  QRF00005_CAFG01000441.1        73     -34.1816     -34.1816      0.0000
  QRF00005_AACY020656879.1       72     -27.5558     -27.5558      0.0000
  QRF00005_CP001744.1            73     -33.0835     -33.0835      0.0000
  QRF00005_CP000880.1            73     -29.9640     -29.9640      0.0000
  QRF00005_CACD01000012.1        73     -29.9640     -29.9640      0.0000
  QRF00005_CACD01000012.1        73     -29.9640     -29.9640      0.0000
  QRF00005_CACD01000012.1        73     -29.9640     -29.9640      0.0000
  QRF00005_AM849034.1            74     -29.1151     -29.1151      0.0000
  QRF00005_AM711867.1            74     -29.1151     -29.1151      0.0000
  QRF00005_AEQT01000005.1        73     -29.9640     -29.9640      0.0000
  QRF00005_AEQT01000005.1        73     -29.9640     -29.9640      0.0000
  QRF00005_ACDJ01000003.1        73     -29.9640     -29.9640      0.0000
  QRF00005_ABWL02000007.1        73     -29.9640     -29.9640      0.0000
  QRF00005_Z71579.1              73     -32.1308     -32.1308      0.0000
  QRF00005_X53782.1              73     -32.1308     -32.1308      0.0000
  QRF00005_M19391.1              73     -32.1308     -32.1308      0.0000
  QRF00005_M15314.1              73     -32.1308     -32.1308      0.0000
  QRF00005_L42023.1              73     -32.1308     -32.1308      0.0000
  QRF00005_L42023.1              73     -32.1308     -32.1308      0.0000
  QRF00005_L42023.1              73     -32.1308     -32.1308      0.0000
  QRF00005_FQ670204.1            73     -32.1308     -32.1308      0.0000
  QRF00005_FQ670204.1            73     -32.1308     -32.1308      0.0000
  QRF00005_FQ670204.1            73     -32.1308     -32.1308      0.0000
  QRF00005_FQ670178.1            73     -32.1308     -32.1308      0.0000
  QRF00005_FQ670178.1            73     -32.1308     -32.1308      0.0000
  QRF00005_FQ670178.1            73     -32.1308     -32.1308      0.0000
