# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01744.cm
# date:    Fri May 13 23:19:44 2016
# seed:    1463181584
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  livK                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:39.29       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -12.7435     -12.7435      0.0000
  QRF01739_AGJC01000011.1        62     -15.5407     -15.5407      0.0000
  QRF01739_AP012205.1            62     -11.9942     -11.9942      0.0000
  QRF01739_AEPQ01000180.1        85     -16.1476     -16.1476      0.0000
  QRF01739_AACY023065314.1       57     -22.7308     -22.7308      0.0000
  QRF01739_AACY020081009.1       57     -22.7308     -22.7308      0.0000
  QRF01739_ACSK01000180.1        92     -15.8133     -15.8133      0.0000
  QRF01739_BA000039.2           113     -14.9262     -14.9262      0.0000
  QRF01739_AACY023081145.1       53     -21.2938     -21.2938      0.0000
  QRF01739_AFSR01000238.1        99     -18.6790     -18.6790      0.0000
  QRF01739_AGJC01000003.1        76      -6.2096      -6.2096      0.0000
  QRF01739_AFSR01000146.1        92     -10.8208     -10.8208      0.0000
  QRF01739_CACA01000349.1        84     -13.9136     -13.9136      0.0000
  QRF01739_AACY022751187.1       52     -22.3001     -22.3001      0.0000
  QRF01739_AACY022283709.1       52     -22.3001     -22.3001      0.0000
  QRF01739_ABPS01003770.1       123      -7.0634      -7.0634      0.0000
  QRF01739_AFEJ01000345.1        83      -9.6677      -9.6677      0.0000
  QRF00005_CABR01000029.1        73      -9.0959      -9.0959      0.0000
  QRF00005_AFSR01002788.1        74     -11.4742     -11.4742      0.0000
  QRF00005_CP000927.1            72      -9.7599      -9.7599      0.0000
  QRF00005_AY741371.1            72      -9.5286      -9.5286      0.0000
  QRF00005_AEGR01000006.1        73     -12.9597     -12.9597      0.0000
  QRF00005_CP001189.1            73     -10.0549     -10.0549      0.0000
  QRF00005_CP000493.1            72      -5.5162      -5.5162      0.0000
  QRF00005_AP012159.1            73     -10.0549     -10.0549      0.0000
  QRF00005_AM889285.1            73     -10.0549     -10.0549      0.0000
  QRF00005_AGFR01000003.1        73      -9.6419      -9.6419      0.0000
  QRF00005_AFCH01000046.1        73     -10.0549     -10.0549      0.0000
  QRF00005_ADTV01000009.1        73     -10.0549     -10.0549      0.0000
  QRF00005_ABCE01000025.1        73     -14.9458     -14.9458      0.0000
  QRF00005_HM565909.1            72     -11.3646     -11.3646      0.0000
  QRF00005_CAFG01000441.1        73     -12.9597     -12.9597      0.0000
  QRF00005_AACY020656879.1       72     -11.8066     -11.8066      0.0000
  QRF00005_CP001744.1            73     -11.8043     -11.8043      0.0000
  QRF00005_CP000880.1            73     -14.5777     -14.5777      0.0000
  QRF00005_CACD01000012.1        73     -14.5777     -14.5777      0.0000
  QRF00005_CACD01000012.1        73     -14.5777     -14.5777      0.0000
  QRF00005_CACD01000012.1        73     -14.5777     -14.5777      0.0000
  QRF00005_AM849034.1            74     -18.9390     -18.9390      0.0000
  QRF00005_AM711867.1            74     -18.9390     -18.9390      0.0000
  QRF00005_AEQT01000005.1        73     -14.5777     -14.5777      0.0000
  QRF00005_AEQT01000005.1        73     -14.5777     -14.5777      0.0000
  QRF00005_ACDJ01000003.1        73     -14.5777     -14.5777      0.0000
  QRF00005_ABWL02000007.1        73     -14.5777     -14.5777      0.0000
  QRF00005_Z71579.1              73     -15.6256     -15.6256      0.0000
  QRF00005_X53782.1              73     -15.6256     -15.6256      0.0000
  QRF00005_M19391.1              73     -15.6256     -15.6256      0.0000
  QRF00005_M15314.1              73     -15.6256     -15.6256      0.0000
  QRF00005_L42023.1              73     -15.6256     -15.6256      0.0000
  QRF00005_L42023.1              73     -15.6256     -15.6256      0.0000
  QRF00005_L42023.1              73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670204.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670204.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670204.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670178.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670178.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670178.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ670178.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ312006.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ312006.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ312006.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ312002.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ312002.1            73     -15.6256     -15.6256      0.0000
  QRF00005_FQ312002.1            73     -15.6256     -15.6256      0.0000
  QRF00005_EF196803.1            73     -15.6256     -15.6256      0.0000
  QRF00005_EF196803.1            73     -15.6256     -15.6256      0.0000
  QRF00005_CP003022.1            73     -15.6256     -15.6256      0.0000
  QRF00001_EU093378.1           119     -17.8806     -17.8806      0.0000
  QRF00001_AAAA02047827.1       119     -17.8697     -17.8697      0.0000
  QRF00001_AAAA02043281.1       119     -14.0220     -14.0220      0.0000
  QRF00001_EF064700.1           119     -16.5175     -16.5175      0.0000
  QRF00001_EF064692.1           119     -16.5175     -16.5175      0.0000
  QRF00001_EF064687.1           119     -16.5175     -16.5175      0.0000
  QRF00001_EF064680.1           119     -16.5175     -16.5175      0.0000
  QRF00001_EF064678.1           119     -16.5175     -16.5175      0.0000
  QRF00001_EF064556.1           119     -16.5175     -16.5175      0.0000
  QRF00001_AJ390135.1           119     -16.5175     -16.5175      0.0000
  QRF00001_HQ270965.1           119     -17.8697     -17.8697      0.0000
  QRF00001_GQ324770.1           119     -17.8697     -17.8697      0.0000
  QRF00001_FJ882503.1           119     -17.8697     -17.8697      0.0000
  QRF00001_AF550740.1           119     -17.8697     -17.8697      0.0000
  QRF00001_HQ270648.1           119     -17.8697     -17.8697      0.0000
  QRF00001_EU924818.1           119     -17.8697     -17.8697      0.0000
  QRF00001_EU093153.1           119     -17.8697     -17.8697      0.0000
  QRF00001_EF524209.1           119     -17.8697     -17.8697      0.0000
  QRF00001_AY316209.1           119     -17.8697     -17.8697      0.0000
  QRF00001_AY034674.1           119     -17.8697     -17.8697      0.0000
  QRF00001_AJ409525.1           119     -17.8697     -17.8697      0.0000
  QRF00001_AF550715.1           119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01010155.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01009775.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01009775.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01009775.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01009135.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01009119.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01009117.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005845.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005845.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005844.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005841.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005839.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005838.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005838.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005835.1       119     -17.8697     -17.8697      0.0000
  QRF00001_ABXC01005835.1       119     -17.8697     -17.8697      0.0000
  QRF00001_AAAA02039752.1       119     -16.7054     -16.7054      0.0000
  QRF00001_EU925066.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU093209.1           119     -16.7054     -16.7054      0.0000
  QRF00001_U02637.1             119     -16.7054     -16.7054      0.0000
  QRF00001_EU439291.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439286.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439284.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439282.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439280.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439279.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439278.1           119     -16.7054     -16.7054      0.0000
  QRF00001_EU439277.1           119     -16.7054     -16.7054      0.0000
  QRF01704_ACNY01000005.1        62     -18.4846     -18.4846      0.0000
  QRF01704_ADXL01000065.1        61     -12.3691     -12.3691      0.0000
  QRF01704_ADXL01000046.1        61     -14.8747     -14.8747      0.0000
  QRF01704_ADHP01001127.1        63     -23.6093     -23.6093      0.0000
  QRF01704_ADXM01000029.1        71     -16.4754     -16.4754      0.0000
  QRF01704_FJ869257.1            62     -19.7656     -19.7656      0.0000
  QRF01704_BX569692.1            62     -19.7656     -19.7656      0.0000
  QRF01704_AACY023835177.1       64     -12.5925     -12.5925      0.0000
  QRF01704_ACNY01000003.1        61     -21.7584     -21.7584      0.0000
  QRF01704_AACY020212823.1       62     -25.0967     -25.0967      0.0000
  QRF01704_GQ237222.1            58     -17.5585     -17.5585      0.0000
  QRF01704_ADHP01000860.1        64     -23.0924     -23.0924      0.0000
  QRF01704_AACY020313707.1       62     -14.9097     -14.9097      0.0000
  QRF01704_ACDW01000004.1        62     -23.4360     -23.4360      0.0000
  QRF01704_AACY022014507.1       62     -22.2952     -22.2952      0.0000
  QRF01704_ADHP01000878.1        59     -23.4278     -23.4278      0.0000
  QRF01704_AACY022415810.1       58     -24.7101     -24.7101      0.0000
  QRF01704_AACY020575673.1       58     -24.7101     -24.7101      0.0000
  QRF01704_ACNY01000005.1        59     -17.9878     -17.9878      0.0000
  QRF01704_ADHP01000854.1        63     -21.1576     -21.1576      0.0000
  QRF01704_GU936714.1            59     -19.9342     -19.9342      0.0000
  QRF01704_AACY021622950.1       62     -25.0967     -25.0967      0.0000
  QRF01704_CP000825.1            58     -25.7024     -25.7024      0.0000
  QRF01704_EU795157.1            64     -15.0285     -15.0285      0.0000
  QRF01704_ABVN01004790.1        61     -17.1905     -17.1905      0.0000
  QRF01704_ABMN01086741.1        60     -19.7072     -19.7072      0.0000
  QRF01704_DQ325539.1            60     -20.6063     -20.6063      0.0000
  QRF01704_ACNY01000005.1        62     -19.4586     -19.4586      0.0000
  QRF01704_ACNY01000004.1        60     -16.8709     -16.8709      0.0000
  QRF01704_ABVT01000061.1        57     -12.3926     -12.3926      0.0000
  QRF00023_CP001665.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001509.3           363      -8.6443      -8.6443      0.0000
  QRF00023_CP000819.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AM946981.2           363      -8.6443      -8.6443      0.0000
  QRF00023_ADTQ01000184.1       363      -8.6443      -8.6443      0.0000
  QRF00023_ADBT01000188.1       363      -8.6443      -8.6443      0.0000
  QRF00023_FN543093.2           364      -9.4236      -9.4236      0.0000
  QRF00023_AFAG01000033.1       363      -8.6443      -8.6443      0.0000
  QRF00023_AFAF01000014.1       363      -8.6443      -8.6443      0.0000
  QRF00023_ADUS01000034.1       363      -8.6443      -8.6443      0.0000
  QRF00023_U36840.1             363      -8.6443      -8.6443      0.0000
  QRF00023_FN649414.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CU928162.2           363      -8.6443      -8.6443      0.0000
  QRF00023_CU928161.2           363      -8.6443      -8.6443      0.0000
  QRF00023_CU928158.2           363      -8.6443      -8.6443      0.0000
  QRF00023_CU651637.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP003034.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002797.2           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002729.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002516.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002212.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002211.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002185.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP002167.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001969.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001855.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001671.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001637.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001396.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP001383.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP000970.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP000948.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP000802.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP000243.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CP000038.1           363      -8.6443      -8.6443      0.0000
  QRF00023_CAFL01000074.1       363      -8.6443      -8.6443      0.0000
  QRF00023_CADZ01000057.1       363      -8.6443      -8.6443      0.0000
  QRF00023_BAAV01002786.1       363      -8.6443      -8.6443      0.0000
  QRF00023_AP012030.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AP010960.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AP010958.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AP010953.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AP009378.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AP009240.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AP009048.1           363      -8.6443      -8.6443      0.0000
  QRF00023_AJ304858.2           363      -8.6443      -8.6443      0.0000
  QRF00023_AGTK01000236.1       363      -8.6443      -8.6443      0.0000
  QRF00023_AGTJ01000345.1       363      -8.6443      -8.6443      0.0000
  QRF00023_AGTI01000029.1       363      -8.6443      -8.6443      0.0000
  QRF00023_AGTH01000033.1       363      -8.6443      -8.6443      0.0000
  QRF00010_CP002738.1           351      -7.6006      -7.6006      0.0000
  QRF00010_ABSP01001676.1       350      -7.8779      -7.8779      0.0000
  QRF00010_FO082060.1           365      -6.9130      -6.9130      0.0000
  QRF00010_AFJF01000001.1       394      -3.0830      -3.0830      0.0000
  QRF00010_AEGW02000003.1       350      -7.8779      -7.8779      0.0000
  QRF00010_CP002086.1           354      -6.6680      -6.6680      0.0000
  QRF00010_ACJN02000001.1       533      -3.9376      -3.9376      0.0000
  QRF00010_CP002881.1           360      -0.1036      -0.1036      0.0000
  QRF00010_AFOH01000117.1       345      -5.6298      -5.6298      0.0000
  QRF00010_AACY020185705.1      350      -3.5751      -3.5751      0.0000
  QRF00010_AGSX01000193.1       359      -0.8584      -0.8584      0.0000
  QRF00010_AFWT01000009.1       368      -5.4735      -5.4735      0.0000
  QRF00010_FM209186.1           350      -5.9693      -5.9693      0.0000
  QRF00010_CP002496.1           350      -5.9693      -5.9693      0.0000
  QRF00010_CP000438.1           350      -5.9693      -5.9693      0.0000
  QRF00010_BADP01000198.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AP012280.1           350      -5.9693      -5.9693      0.0000
  QRF00010_AFXK01000001.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AFXJ01000001.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AFXI01000001.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AFNF01000315.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AEVW01000050.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AEVV01000076.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AEEX01000069.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AE004091.2           350      -5.9693      -5.9693      0.0000
  QRF00010_ACWU01000204.1       350      -5.9693      -5.9693      0.0000
  QRF00010_ABKZ01000485.1       350      -5.9693      -5.9693      0.0000
  QRF00010_CP002622.1           360      -0.1036      -0.1036      0.0000
  QRF00010_ABYY01000008.1       344      -7.6999      -7.6999      0.0000
  QRF00010_AACY020062040.1      355      -8.9003      -8.9003      0.0000
  QRF00010_AACY023745699.1      347      -2.4418      -2.4418      0.0000
  QRF00010_AGTR01000084.1       350      -7.5254      -7.5254      0.0000
  QRF00010_CP000937.1           344      -7.6999      -7.6999      0.0000
  QRF00010_ACKY01000130.1       336     -10.2979     -10.2979      0.0000
  QRF00010_AAQW01000001.1       350      -5.9693      -5.9693      0.0000
  QRF00010_AFZB01000010.1       349      -8.5429      -8.5429      0.0000
  QRF00010_AFOC01000030.1       349      -8.5429      -8.5429      0.0000
  QRF00010_ABSG01000028.1       354      -8.9265      -8.9265      0.0000
  QRF00010_ABSP01006958.1       367      -1.6870      -1.6870      0.0000
  QRF00010_CP000744.1           350      -5.9693      -5.9693      0.0000
  QRF00010_CP001978.1           350      -7.0540      -7.0540      0.0000
  QRF00010_AP011529.1           404      -4.1202      -4.1202      0.0000
  QRF00010_AGBG01000003.1       351      -8.2063      -8.2063      0.0000
  QRF00010_CR628336.1           373      -6.7927      -6.7927      0.0000
  QRF00010_CP001649.1           366      -2.8350      -2.8350      0.0000
  QRF00010_CP002870.1           360       0.4666       0.4666      0.0000
  QRF00010_AFFX01000011.1       358      -3.4776      -3.4776      0.0000
  QRF00010_CP002727.1           350      -2.8851      -2.8851      0.0000
  QRF00010_CP001798.1           351      -5.5880      -5.5880      0.0000
  QRF00010_AATN01000057.1       365      -2.5081      -2.5081      0.0000
  QRF01695_CP001875.2            88      -3.5874      -3.5874      0.0000
  QRF01695_AEAF01000460.1        87     -15.2584     -15.2584      0.0000
  QRF01695_AGAS01001096.1        87     -15.2364     -15.2364      0.0000
  QRF01695_AEAI01001819.1        87     -15.2364     -15.2364      0.0000
  QRF01695_AEAI01000880.1        87     -15.2364     -15.2364      0.0000
  QRF01695_ADMI01000085.1        87     -15.2364     -15.2364      0.0000
  QRF01695_BAEF01000009.1        88      -3.5874      -3.5874      0.0000
  QRF01695_AFTG01000340.1        87     -16.1163     -16.1163      0.0000
  QRF01695_HM236454.1            88      -7.1481      -7.1481      0.0000
  QRF01695_AM181176.4            87     -20.7593     -20.7593      0.0000
  QRF01695_AGFS01032870.1        87     -13.2780     -13.2780      0.0000
  QRF01695_AGCS01000002.1        87     -15.3999     -15.3999      0.0000
  QRF01695_AGCS01000002.1        87     -13.2077     -13.2077      0.0000
  QRF01695_CP002154.1            87      -6.6928      -6.6928      0.0000
  QRF01695_AEDL01000013.1        88      -6.8862      -6.8862      0.0000
  QRF01695_AGFS01106545.1        85     -14.0201     -14.0201      0.0000
  QRF01695_AGFS01092185.1        85     -14.0201     -14.0201      0.0000
  QRF01695_AFTG01000021.1        87     -15.5221     -15.5221      0.0000
  QRF01695_AM181176.4            87     -13.1220     -13.1220      0.0000
  QRF01695_HM752578.1            87     -16.5521     -16.5521      0.0000
  QRF01695_AGCS01000012.1        87     -16.8642     -16.8642      0.0000
  QRF01695_CADX01000041.1        88      -8.0611      -8.0611      0.0000
  QRF01695_CADW01000337.1        88      -8.0611      -8.0611      0.0000
  QRF01695_AGFS01169096.1        87     -12.6076     -12.6076      0.0000
  QRF01695_ACOQ01000013.1        87      -6.9865      -6.9865      0.0000
  QRF01695_AFOY01000061.1        86     -18.7013     -18.7013      0.0000
  QRF01695_AFOY01000051.1        87     -12.7766     -12.7766      0.0000
  QRF01695_AFOY01000012.1        86      -9.9402      -9.9402      0.0000
  QRF01695_CADX01000050.1        87      -9.7594      -9.7594      0.0000
  QRF01695_CADW01000142.1        87      -9.7594      -9.7594      0.0000
  QRF01695_BABY01000089.1        88      -8.7462      -8.7462      0.0000
  QRF01695_AFOY01000127.1        87     -15.1993     -15.1993      0.0000
  QRF01695_AF074874.1            88     -11.5270     -11.5270      0.0000
  QRF01695_AEAZ01000014.1        87     -13.4367     -13.4367      0.0000
  QRF01695_AFDY01000012.1        88     -12.5204     -12.5204      0.0000
  QRF01695_AELB01000018.1        88     -12.5204     -12.5204      0.0000
  QRF01695_AEAH01001308.1        87     -11.8809     -11.8809      0.0000
  QRF01695_CP002870.1            87     -15.9833     -15.9833      0.0000
  QRF01695_CADX01000071.1        86     -16.9949     -16.9949      0.0000
  QRF01695_CADW01000082.1        86     -16.9949     -16.9949      0.0000
  QRF01695_AGFS01033379.1        87     -17.4252     -17.4252      0.0000
  QRF01695_ADWS01000024.1        88      -0.1316      -0.1316      0.0000
