# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01821.cm
# date:    Sat May 14 01:56:30 2016
# seed:    1463190990
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RsaH                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:06.63       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -43.6228     -43.6228      0.0000
  QRF01739_AGJC01000011.1        62     -45.2685     -45.2685      0.0000
  QRF01739_AP012205.1            62     -46.4508     -46.4508      0.0000
  QRF01739_AEPQ01000180.1        85     -28.3095     -28.3095      0.0000
  QRF01739_AACY023065314.1       57     -43.0338     -43.0338      0.0000
  QRF01739_AACY020081009.1       57     -43.0338     -43.0338      0.0000
  QRF01739_ACSK01000180.1        92     -39.1382     -39.1382      0.0000
  QRF01739_BA000039.2           113     -26.4308     -26.4308      0.0000
  QRF01739_AACY023081145.1       53     -49.0040     -49.0040      0.0000
  QRF01739_AFSR01000238.1        99     -34.4097     -34.4097      0.0000
  QRF01739_AGJC01000003.1        76     -39.0101     -39.0101      0.0000
  QRF01739_AFSR01000146.1        92     -43.5889     -43.5889      0.0000
  QRF01739_CACA01000349.1        84     -40.7445     -40.7445      0.0000
  QRF01739_AACY022751187.1       52     -49.5962     -49.5962      0.0000
  QRF01739_AACY022283709.1       52     -49.5962     -49.5962      0.0000
  QRF01739_ABPS01003770.1       123     -30.1584     -30.1584      0.0000
  QRF01739_AFEJ01000345.1        83     -40.6886     -40.6886      0.0000
  QRF00005_CABR01000029.1        73     -40.0297     -40.0297      0.0000
  QRF00005_AFSR01002788.1        74     -33.8170     -33.8170      0.0000
  QRF00005_CP000927.1            72     -44.0902     -44.0902      0.0000
  QRF00005_AY741371.1            72     -41.5918     -41.5918      0.0000
  QRF00005_AEGR01000006.1        73     -40.4755     -40.4755      0.0000
  QRF00005_CP001189.1            73     -40.7256     -40.7256      0.0000
  QRF00005_CP000493.1            72     -40.3070     -40.3070      0.0000
  QRF00005_AP012159.1            73     -40.7256     -40.7256      0.0000
  QRF00005_AM889285.1            73     -40.7256     -40.7256      0.0000
  QRF00005_AGFR01000003.1        73     -42.9837     -42.9837      0.0000
  QRF00005_AFCH01000046.1        73     -40.7256     -40.7256      0.0000
  QRF00005_ADTV01000009.1        73     -40.7256     -40.7256      0.0000
  QRF00005_ABCE01000025.1        73     -38.9356     -38.9356      0.0000
  QRF00005_HM565909.1            72     -42.2550     -42.2550      0.0000
  QRF00005_CAFG01000441.1        73     -40.3821     -40.3821      0.0000
  QRF00005_AACY020656879.1       72     -44.2971     -44.2971      0.0000
  QRF00005_CP001744.1            73     -41.6695     -41.6695      0.0000
  QRF00005_CP000880.1            73     -38.8309     -38.8309      0.0000
  QRF00005_CACD01000012.1        73     -38.8309     -38.8309      0.0000
  QRF00005_CACD01000012.1        73     -38.8309     -38.8309      0.0000
  QRF00005_CACD01000012.1        73     -38.8309     -38.8309      0.0000
  QRF00005_AM849034.1            74     -41.6918     -41.6918      0.0000
  QRF00005_AM711867.1            74     -41.6918     -41.6918      0.0000
  QRF00005_AEQT01000005.1        73     -38.8309     -38.8309      0.0000
  QRF00005_AEQT01000005.1        73     -38.8309     -38.8309      0.0000
  QRF00005_ACDJ01000003.1        73     -38.8309     -38.8309      0.0000
  QRF00005_ABWL02000007.1        73     -38.8309     -38.8309      0.0000
  QRF00005_Z71579.1              73     -38.7248     -38.7248      0.0000
  QRF00005_X53782.1              73     -38.7248     -38.7248      0.0000
  QRF00005_M19391.1              73     -38.7248     -38.7248      0.0000
  QRF00005_M15314.1              73     -38.7248     -38.7248      0.0000
  QRF00005_L42023.1              73     -38.7248     -38.7248      0.0000
  QRF00005_L42023.1              73     -38.7248     -38.7248      0.0000
  QRF00005_L42023.1              73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670204.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670204.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670204.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670178.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670178.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670178.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ670178.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ312006.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ312006.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ312006.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ312002.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ312002.1            73     -38.7248     -38.7248      0.0000
  QRF00005_FQ312002.1            73     -38.7248     -38.7248      0.0000
  QRF00005_EF196803.1            73     -38.7248     -38.7248      0.0000
  QRF00005_EF196803.1            73     -38.7248     -38.7248      0.0000
  QRF00005_CP003022.1            73     -38.7248     -38.7248      0.0000
  QRF00001_EU093378.1           119     -29.9756     -29.9756      0.0000
  QRF00001_AAAA02047827.1       119     -29.5616     -29.5616      0.0000
  QRF00001_AAAA02043281.1       119     -29.4916     -29.4916      0.0000
  QRF00001_EF064700.1           119     -25.4363     -25.4363      0.0000
  QRF00001_EF064692.1           119     -25.4363     -25.4363      0.0000
  QRF00001_EF064687.1           119     -25.4363     -25.4363      0.0000
  QRF00001_EF064680.1           119     -25.4363     -25.4363      0.0000
  QRF00001_EF064678.1           119     -25.4363     -25.4363      0.0000
  QRF00001_EF064556.1           119     -25.4363     -25.4363      0.0000
  QRF00001_AJ390135.1           119     -25.4363     -25.4363      0.0000
  QRF00001_HQ270965.1           119     -29.5616     -29.5616      0.0000
