# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01719.cm
# date:    Sat May 14 01:13:38 2016
# seed:    1463188418
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pseudomon-1                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:51.14       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -32.0977     -32.0977      0.0000
  QRF01739_AGJC01000011.1        62     -28.3184     -28.3184      0.0000
  QRF01739_AP012205.1            62     -30.3893     -30.3893      0.0000
  QRF01739_AEPQ01000180.1        85     -28.3447     -28.3447      0.0000
  QRF01739_AACY023065314.1       57     -36.7059     -36.7059      0.0000
  QRF01739_AACY020081009.1       57     -36.7059     -36.7059      0.0000
  QRF01739_ACSK01000180.1        92     -30.7059     -30.7059      0.0000
  QRF01739_BA000039.2           113     -19.0023     -19.0023      0.0000
  QRF01739_AACY023081145.1       53     -37.2089     -37.2089      0.0000
  QRF01739_AFSR01000238.1        99     -23.7813     -23.7813      0.0000
  QRF01739_AGJC01000003.1        76     -26.7595     -26.7595      0.0000
  QRF01739_AFSR01000146.1        92     -32.4337     -32.4337      0.0000
  QRF01739_CACA01000349.1        84     -31.5612     -31.5612      0.0000
  QRF01739_AACY022751187.1       52     -32.2729     -32.2729      0.0000
  QRF01739_AACY022283709.1       52     -32.2729     -32.2729      0.0000
  QRF01739_ABPS01003770.1       123     -24.0031     -24.0031      0.0000
  QRF01739_AFEJ01000345.1        83     -22.1284     -22.1284      0.0000
  QRF00005_CABR01000029.1        73     -28.8964     -28.8964      0.0000
  QRF00005_AFSR01002788.1        74     -24.4190     -24.4190      0.0000
  QRF00005_CP000927.1            72     -25.0848     -25.0848      0.0000
  QRF00005_AY741371.1            72     -23.1099     -23.1099      0.0000
  QRF00005_AEGR01000006.1        73     -28.5018     -28.5018      0.0000
  QRF00005_CP001189.1            73     -27.4255     -27.4255      0.0000
  QRF00005_CP000493.1            72     -27.8484     -27.8484      0.0000
  QRF00005_AP012159.1            73     -27.4255     -27.4255      0.0000
  QRF00005_AM889285.1            73     -27.4255     -27.4255      0.0000
  QRF00005_AGFR01000003.1        73     -24.5355     -24.5355      0.0000
  QRF00005_AFCH01000046.1        73     -27.4255     -27.4255      0.0000
  QRF00005_ADTV01000009.1        73     -27.4255     -27.4255      0.0000
  QRF00005_ABCE01000025.1        73     -30.4433     -30.4433      0.0000
  QRF00005_HM565909.1            72     -20.9440     -20.9440      0.0000
  QRF00005_CAFG01000441.1        73     -28.6082     -28.6082      0.0000
  QRF00005_AACY020656879.1       72     -20.1712     -20.1712      0.0000
  QRF00005_CP001744.1            73     -32.7072     -32.7072      0.0000
  QRF00005_CP000880.1            73     -28.2025     -28.2025      0.0000
  QRF00005_CACD01000012.1        73     -28.2025     -28.2025      0.0000
  QRF00005_CACD01000012.1        73     -28.2025     -28.2025      0.0000
  QRF00005_CACD01000012.1        73     -28.2025     -28.2025      0.0000
  QRF00005_AM849034.1            74     -27.8634     -27.8634      0.0000
  QRF00005_AM711867.1            74     -27.8634     -27.8634      0.0000
  QRF00005_AEQT01000005.1        73     -28.2025     -28.2025      0.0000
  QRF00005_AEQT01000005.1        73     -28.2025     -28.2025      0.0000
  QRF00005_ACDJ01000003.1        73     -28.2025     -28.2025      0.0000
  QRF00005_ABWL02000007.1        73     -28.2025     -28.2025      0.0000
  QRF00005_Z71579.1              73     -25.0061     -25.0061      0.0000
  QRF00005_X53782.1              73     -25.0061     -25.0061      0.0000
  QRF00005_M19391.1              73     -25.0061     -25.0061      0.0000
  QRF00005_M15314.1              73     -25.0061     -25.0061      0.0000
  QRF00005_L42023.1              73     -25.0061     -25.0061      0.0000
  QRF00005_L42023.1              73     -25.0061     -25.0061      0.0000
  QRF00005_L42023.1              73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670204.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670204.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670204.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670178.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670178.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670178.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ670178.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ312006.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ312006.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ312006.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ312002.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ312002.1            73     -25.0061     -25.0061      0.0000
  QRF00005_FQ312002.1            73     -25.0061     -25.0061      0.0000
  QRF00005_EF196803.1            73     -25.0061     -25.0061      0.0000
  QRF00005_EF196803.1            73     -25.0061     -25.0061      0.0000
  QRF00005_CP003022.1            73     -25.0061     -25.0061      0.0000
  QRF00001_EU093378.1           119     -27.0018     -27.0018      0.0000
  QRF00001_AAAA02047827.1       119     -27.0018     -27.0018      0.0000
  QRF00001_AAAA02043281.1       119     -27.2683     -27.2683      0.0000
  QRF00001_EF064700.1           119     -24.8467     -24.8467      0.0000
  QRF00001_EF064692.1           119     -24.8467     -24.8467      0.0000
  QRF00001_EF064687.1           119     -24.8467     -24.8467      0.0000
  QRF00001_EF064680.1           119     -24.8467     -24.8467      0.0000
  QRF00001_EF064678.1           119     -24.8467     -24.8467      0.0000
  QRF00001_EF064556.1           119     -24.8467     -24.8467      0.0000
  QRF00001_AJ390135.1           119     -24.8467     -24.8467      0.0000
  QRF00001_HQ270965.1           119     -27.0018     -27.0018      0.0000
  QRF00001_GQ324770.1           119     -27.0018     -27.0018      0.0000
  QRF00001_FJ882503.1           119     -27.0018     -27.0018      0.0000
  QRF00001_AF550740.1           119     -27.0018     -27.0018      0.0000
  QRF00001_HQ270648.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU924818.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU093153.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EF524209.1           119     -27.0018     -27.0018      0.0000
  QRF00001_AY316209.1           119     -27.0018     -27.0018      0.0000
  QRF00001_AY034674.1           119     -27.0018     -27.0018      0.0000
  QRF00001_AJ409525.1           119     -27.0018     -27.0018      0.0000
  QRF00001_AF550715.1           119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01010155.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01009775.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01009775.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01009775.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01009135.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01009119.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01009117.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005845.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005845.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005844.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005841.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005839.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005838.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005838.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005835.1       119     -27.0018     -27.0018      0.0000
  QRF00001_ABXC01005835.1       119     -27.0018     -27.0018      0.0000
  QRF00001_AAAA02039752.1       119     -26.1728     -26.1728      0.0000
  QRF00001_EU925066.1           119     -26.6762     -26.6762      0.0000
  QRF00001_EU093209.1           119     -26.6762     -26.6762      0.0000
  QRF00001_U02637.1             119     -27.0018     -27.0018      0.0000
  QRF00001_EU439291.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439286.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439284.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439282.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439280.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439279.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439278.1           119     -27.0018     -27.0018      0.0000
  QRF00001_EU439277.1           119     -27.0018     -27.0018      0.0000
  QRF01704_ACNY01000005.1        62     -38.1380     -38.1380      0.0000
  QRF01704_ADXL01000065.1        61     -33.5143     -33.5143      0.0000
  QRF01704_ADXL01000046.1        61     -34.8161     -34.8161      0.0000
  QRF01704_ADHP01001127.1        63     -27.3995     -27.3995      0.0000
  QRF01704_ADXM01000029.1        71     -33.7803     -33.7803      0.0000
  QRF01704_FJ869257.1            62     -37.4423     -37.4423      0.0000
  QRF01704_BX569692.1            62     -37.4423     -37.4423      0.0000
  QRF01704_AACY023835177.1       64     -33.2479     -33.2479      0.0000
  QRF01704_ACNY01000003.1        61     -34.0058     -38.4210      4.4152
  QRF01704_AACY020212823.1       62     -31.2147     -31.2147      0.0000
  QRF01704_GQ237222.1            58     -36.7081     -36.7081      0.0000
  QRF01704_ADHP01000860.1        64     -29.2508     -29.2508      0.0000
  QRF01704_AACY020313707.1       62     -37.4361     -37.4361      0.0000
  QRF01704_ACDW01000004.1        62     -33.2577     -33.2577      0.0000
  QRF01704_AACY022014507.1       62     -29.9427     -29.9427      0.0000
  QRF01704_ADHP01000878.1        59     -38.3448     -38.3448      0.0000
  QRF01704_AACY022415810.1       58     -37.0300     -37.0300      0.0000
  QRF01704_AACY020575673.1       58     -37.0300     -37.0300      0.0000
  QRF01704_ACNY01000005.1        59     -34.5640     -34.5640      0.0000
  QRF01704_ADHP01000854.1        63     -31.7512     -31.7512      0.0000
  QRF01704_GU936714.1            59     -41.1859     -41.1859      0.0000
  QRF01704_AACY021622950.1       62     -28.9017     -28.9017      0.0000
  QRF01704_CP000825.1            58     -39.0737     -39.0737      0.0000
  QRF01704_EU795157.1            64     -37.0191     -37.0191      0.0000
  QRF01704_ABVN01004790.1        61     -37.4928     -39.6486      2.1559
  QRF01704_ABMN01086741.1        60     -36.7280     -36.7280      0.0000
  QRF01704_DQ325539.1            60     -37.7018     -37.7018      0.0000
  QRF01704_ACNY01000005.1        62     -34.8910     -34.8910      0.0000
  QRF01704_ACNY01000004.1        60     -34.6126     -34.6126      0.0000
  QRF01704_ABVT01000061.1        57     -35.2363     -35.2363      0.0000
  QRF00023_CP001665.1           363     -17.9601     -17.9601      0.0000
  QRF00023_CP001509.3           363     -17.9601     -17.9601      0.0000
  QRF00023_CP000819.1           363     -17.9601     -17.9601      0.0000
  QRF00023_AM946981.2           363     -17.9601     -17.9601      0.0000
  QRF00023_ADTQ01000184.1       363     -17.9601     -17.9601      0.0000
  QRF00023_ADBT01000188.1       363     -17.9601     -17.9601      0.0000
  QRF00023_FN543093.2           364     -13.0336     -13.0336      0.0000
  QRF00023_AFAG01000033.1       363     -16.6494     -16.6494      0.0000
  QRF00023_AFAF01000014.1       363     -16.6494     -16.6494      0.0000
  QRF00023_ADUS01000034.1       363     -16.6494     -16.6494      0.0000
  QRF00023_U36840.1             363     -16.4343     -16.4343      0.0000
  QRF00023_FN649414.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CU928162.2           363     -16.4343     -16.4343      0.0000
  QRF00023_CU928161.2           363     -16.4343     -16.4343      0.0000
  QRF00023_CU928158.2           363     -16.4343     -16.4343      0.0000
  QRF00023_CU651637.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP003034.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002797.2           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002729.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002516.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002212.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002211.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002185.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP002167.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP001969.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP001855.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP001671.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP001637.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP001396.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP001383.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP000970.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP000948.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP000802.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP000243.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CP000038.1           363     -16.4343     -16.4343      0.0000
  QRF00023_CAFL01000074.1       363     -16.4343     -16.4343      0.0000
  QRF00023_CADZ01000057.1       363     -16.4343     -16.4343      0.0000
  QRF00023_BAAV01002786.1       363     -16.4343     -16.4343      0.0000
  QRF00023_AP012030.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AP010960.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AP010958.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AP010953.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AP009378.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AP009240.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AP009048.1           363     -16.4343     -16.4343      0.0000
  QRF00023_AJ304858.2           363     -16.4343     -16.4343      0.0000
  QRF00023_AGTK01000236.1       363     -16.4343     -16.4343      0.0000
  QRF00023_AGTJ01000345.1       363     -16.4343     -16.4343      0.0000
  QRF00023_AGTI01000029.1       363     -16.4343     -16.4343      0.0000
  QRF00023_AGTH01000033.1       363     -16.4343     -16.4343      0.0000
  QRF00010_CP002738.1           351     -17.7640     -17.7640      0.0000
  QRF00010_ABSP01001676.1       350     -17.1367     -17.1367      0.0000
  QRF00010_FO082060.1           365      -9.6046      -9.6046      0.0000
  QRF00010_AFJF01000001.1       394     -18.9955     -18.9955      0.0000
  QRF00010_AEGW02000003.1       350     -17.1367     -17.1367      0.0000
  QRF00010_CP002086.1           354     -17.5407     -17.5407      0.0000
  QRF00010_ACJN02000001.1       533     -20.5035     -20.5035      0.0000
