# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01378.cm
# date:    Sat May 14 00:26:26 2016
# seed:    1463185586
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CRISPR-DR65                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:08.99       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -10.3341     -10.3341      0.0000
  QRF01739_AGJC01000011.1        62     -13.7341     -13.7341      0.0000
  QRF01739_AP012205.1            62      -9.0289      -9.0289      0.0000
  QRF01739_AEPQ01000180.1        85      -5.0844      -5.0844      0.0000
  QRF01739_AACY023065314.1       57       0.4021       0.4021      0.0000
  QRF01739_AACY020081009.1       57       0.4021       0.4021      0.0000
  QRF01739_ACSK01000180.1        92      -9.1597      -9.1597      0.0000
  QRF01739_BA000039.2           113      -1.7677      -1.7677      0.0000
  QRF01739_AACY023081145.1       53      -8.5094      -8.5094      0.0000
  QRF01739_AFSR01000238.1        99     -12.9933     -12.9933      0.0000
  QRF01739_AGJC01000003.1        76      -8.3635      -8.3635      0.0000
  QRF01739_AFSR01000146.1        92      -6.3761      -6.3761      0.0000
  QRF01739_CACA01000349.1        84      -4.6429      -4.6429      0.0000
  QRF01739_AACY022751187.1       52      -7.2894      -7.2894      0.0000
  QRF01739_AACY022283709.1       52      -7.2894      -7.2894      0.0000
  QRF01739_ABPS01003770.1       123      -8.6764      -8.6764      0.0000
  QRF01739_AFEJ01000345.1        83      -8.5936      -8.5936      0.0000
  QRF00005_CABR01000029.1        73     -11.7999     -11.7999      0.0000
  QRF00005_AFSR01002788.1        74     -10.0071     -10.0071      0.0000
  QRF00005_CP000927.1            72      -4.3841      -4.3841      0.0000
  QRF00005_AY741371.1            72      -7.1326      -7.1326      0.0000
  QRF00005_AEGR01000006.1        73     -11.7999     -11.7999      0.0000
  QRF00005_CP001189.1            73      -6.5205      -6.5205      0.0000
  QRF00005_CP000493.1            72     -12.6913     -12.6913      0.0000
  QRF00005_AP012159.1            73      -6.5205      -6.5205      0.0000
  QRF00005_AM889285.1            73      -6.5205      -6.5205      0.0000
  QRF00005_AGFR01000003.1        73      -3.4085      -3.4085      0.0000
  QRF00005_AFCH01000046.1        73      -6.5205      -6.5205      0.0000
  QRF00005_ADTV01000009.1        73      -6.5205      -6.5205      0.0000
  QRF00005_ABCE01000025.1        73      -9.1165      -9.1165      0.0000
  QRF00005_HM565909.1            72      -4.5205      -4.5205      0.0000
  QRF00005_CAFG01000441.1        73     -11.7999     -11.7999      0.0000
  QRF00005_AACY020656879.1       72      -5.3955      -5.3955      0.0000
  QRF00005_CP001744.1            73     -11.0169     -11.0169      0.0000
  QRF00005_CP000880.1            73      -6.3687      -6.3687      0.0000
