# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01100.cm
# date:    Sat May 14 04:31:16 2016
# seed:    1463200276
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PK-BYV                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:10.24       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -5.2295      -5.2295      0.0000
  QRF01739_AGJC01000011.1        62      -6.4995      -6.4995      0.0000
  QRF01739_AP012205.1            62      -2.9531      -2.9531      0.0000
  QRF01739_AEPQ01000180.1        85      -7.7892      -7.7892      0.0000
  QRF01739_AACY023065314.1       57      -3.6474      -3.6474      0.0000
  QRF01739_AACY020081009.1       57      -3.6474      -3.6474      0.0000
  QRF01739_ACSK01000180.1        92      -7.4167      -7.4167      0.0000
  QRF01739_BA000039.2           113      -5.3366      -5.3366      0.0000
  QRF01739_AACY023081145.1       53       1.1882       1.1882      0.0000
  QRF01739_AFSR01000238.1        99      -7.4167      -7.4167      0.0000
  QRF01739_AGJC01000003.1        76      -7.4734      -7.4734      0.0000
  QRF01739_AFSR01000146.1        92      -8.4333      -8.4333      0.0000
  QRF01739_CACA01000349.1        84      -9.8789      -9.8789      0.0000
  QRF01739_AACY022751187.1       52      -4.1904      -4.1904      0.0000
  QRF01739_AACY022283709.1       52      -4.1904      -4.1904      0.0000
  QRF01739_ABPS01003770.1       123      -4.8209      -4.8209      0.0000
  QRF01739_AFEJ01000345.1        83      -6.4593      -6.4593      0.0000
  QRF00005_CABR01000029.1        73     -10.4706     -10.4706      0.0000
  QRF00005_AFSR01002788.1        74     -11.0778     -11.0778      0.0000
  QRF00005_CP000927.1            72      -9.4036      -9.4036      0.0000
  QRF00005_AY741371.1            72     -12.0697     -12.0697      0.0000
  QRF00005_AEGR01000006.1        73     -11.4805     -11.4805      0.0000
  QRF00005_CP001189.1            73     -13.4306     -13.4306      0.0000
  QRF00005_CP000493.1            72      -6.5404      -6.5404      0.0000
  QRF00005_AP012159.1            73     -13.4306     -13.4306      0.0000
  QRF00005_AM889285.1            73     -13.4306     -13.4306      0.0000
  QRF00005_AGFR01000003.1        73     -12.9839     -12.9839      0.0000
  QRF00005_AFCH01000046.1        73     -13.4306     -13.4306      0.0000
  QRF00005_ADTV01000009.1        73     -13.4306     -13.4306      0.0000
  QRF00005_ABCE01000025.1        73     -11.0239     -11.0239      0.0000
  QRF00005_HM565909.1            72      -8.9080      -8.9080      0.0000
  QRF00005_CAFG01000441.1        73     -11.4805     -11.4805      0.0000
  QRF00005_AACY020656879.1       72      -8.9080      -8.9080      0.0000
  QRF00005_CP001744.1            73      -9.1173      -9.1173      0.0000
  QRF00005_CP000880.1            73     -12.8977     -12.8977      0.0000
  QRF00005_CACD01000012.1        73     -12.8977     -12.8977      0.0000
  QRF00005_CACD01000012.1        73     -12.8977     -12.8977      0.0000
  QRF00005_CACD01000012.1        73     -12.8977     -12.8977      0.0000
  QRF00005_AM849034.1            74      -8.3723      -8.3723      0.0000
  QRF00005_AM711867.1            74      -8.3723      -8.3723      0.0000
  QRF00005_AEQT01000005.1        73     -12.8977     -12.8977      0.0000
  QRF00005_AEQT01000005.1        73     -12.8977     -12.8977      0.0000
  QRF00005_ACDJ01000003.1        73     -12.8977     -12.8977      0.0000
  QRF00005_ABWL02000007.1        73     -12.8977     -12.8977      0.0000
  QRF00005_Z71579.1              73     -11.4805     -11.4805      0.0000
  QRF00005_X53782.1              73     -11.4805     -11.4805      0.0000
  QRF00005_M19391.1              73     -11.4805     -11.4805      0.0000
  QRF00005_M15314.1              73     -11.4805     -11.4805      0.0000
  QRF00005_L42023.1              73     -11.4805     -11.4805      0.0000
  QRF00005_L42023.1              73     -11.4805     -11.4805      0.0000
  QRF00005_L42023.1              73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670204.1            73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670204.1            73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670204.1            73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670178.1            73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670178.1            73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670178.1            73     -11.4805     -11.4805      0.0000
  QRF00005_FQ670178.1            73     -11.4805     -11.4805      0.0000
