# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01410.cm
# date:    Fri May 13 21:14:13 2016
# seed:    1463174053
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  BsrC                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:29.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.7112     -20.7112      0.0000
  QRF01739_AGJC01000011.1        62     -22.9162     -22.9162      0.0000
  QRF01739_AP012205.1            62     -22.1129     -22.1129      0.0000
  QRF01739_AEPQ01000180.1        85     -18.7922     -18.7922      0.0000
  QRF01739_AACY023065314.1       57     -24.2724     -24.2724      0.0000
  QRF01739_AACY020081009.1       57     -24.2724     -24.2724      0.0000
  QRF01739_ACSK01000180.1        92     -21.6244     -21.6244      0.0000
  QRF01739_BA000039.2           113     -20.3221     -20.3221      0.0000
  QRF01739_AACY023081145.1       53     -26.7943     -26.7943      0.0000
  QRF01739_AFSR01000238.1        99     -22.3742     -22.3742      0.0000
  QRF01739_AGJC01000003.1        76     -16.3533     -16.3533      0.0000
  QRF01739_AFSR01000146.1        92     -23.6492     -23.6492      0.0000
  QRF01739_CACA01000349.1        84     -23.6710     -23.6710      0.0000
  QRF01739_AACY022751187.1       52     -25.1975     -25.1975      0.0000
  QRF01739_AACY022283709.1       52     -25.1975     -25.1975      0.0000
  QRF01739_ABPS01003770.1       123     -15.7197     -15.7197      0.0000
