# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00012.cm
# date:    Fri May 13 22:21:26 2016
# seed:    1463178086
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  U3                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:09.57       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -72.7119     -72.7119      0.0000
  QRF01739_AGJC01000011.1        62     -74.8187     -74.8187      0.0000
  QRF01739_AP012205.1            62     -73.6008     -73.6008      0.0000
  QRF01739_AEPQ01000180.1        85     -60.4629     -60.4629      0.0000
  QRF01739_AACY023065314.1       57     -78.7131     -78.7131      0.0000
  QRF01739_AACY020081009.1       57     -78.7131     -78.7131      0.0000
  QRF01739_ACSK01000180.1        92     -57.8069     -57.8069      0.0000
  QRF01739_BA000039.2           113     -55.2971     -55.2971      0.0000
  QRF01739_AACY023081145.1       53     -80.0603     -80.0603      0.0000
  QRF01739_AFSR01000238.1        99     -67.5380     -67.5380      0.0000
  QRF01739_AGJC01000003.1        76     -67.2293     -67.2293      0.0000
  QRF01739_AFSR01000146.1        92     -65.8714     -65.8714      0.0000
  QRF01739_CACA01000349.1        84     -68.5127     -68.5127      0.0000
  QRF01739_AACY022751187.1       52     -78.1207     -78.1207      0.0000
  QRF01739_AACY022283709.1       52     -78.1207     -78.1207      0.0000
  QRF01739_ABPS01003770.1       123     -52.3635     -52.3635      0.0000
  QRF01739_AFEJ01000345.1        83     -69.9412     -69.9412      0.0000
