# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01758.cm
# date:    Sat May 14 01:09:08 2016
# seed:    1463188148
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sucA-II                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:21.06       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -91.3215     -91.6083      0.2867
  QRF01739_AGJC01000011.1        62     -90.6029     -90.6029      0.0000
  QRF01739_AP012205.1            62     -91.1492     -91.1492      0.0000
  QRF01739_AEPQ01000180.1        85     -81.4328     -81.4328      0.0000
  QRF01739_AACY023065314.1       57     -95.6370     -95.6370      0.0000
  QRF01739_AACY020081009.1       57     -95.6370     -95.6370      0.0000
  QRF01739_ACSK01000180.1        92     -79.5945     -82.0374      2.4429
  QRF01739_BA000039.2           113     -70.9112     -72.4348      1.5236
  QRF01739_AACY023081145.1       53     -93.2305     -93.2305      0.0000
  QRF01739_AFSR01000238.1        99     -77.8323     -77.8323      0.0000
  QRF01739_AGJC01000003.1        76     -88.5031     -88.5031      0.0000
  QRF01739_AFSR01000146.1        92     -77.6851     -78.4147      0.7296
  QRF01739_CACA01000349.1        84     -83.3710     -83.3710      0.0000
  QRF01739_AACY022751187.1       52     -97.0416     -97.0416      0.0000
