# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01678.cm
# date:    Fri May 13 19:18:19 2016
# seed:    1463167099
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  P37                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:25.45       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -13.1920     -13.1920      0.0000
  QRF01739_AGJC01000011.1        62     -12.0391     -12.0391      0.0000
  QRF01739_AP012205.1            62      -8.8494      -8.8494      0.0000
  QRF01739_AEPQ01000180.1        85     -12.3652     -12.3652      0.0000
  QRF01739_AACY023065314.1       57     -16.6007     -16.6007      0.0000
  QRF01739_AACY020081009.1       57     -16.6007     -16.6007      0.0000
  QRF01739_ACSK01000180.1        92     -14.0624     -14.0624      0.0000
  QRF01739_BA000039.2           113     -13.2947     -13.2947      0.0000
  QRF01739_AACY023081145.1       53     -16.4621     -16.4621      0.0000
  QRF01739_AFSR01000238.1        99      -8.2663      -8.2663      0.0000
  QRF01739_AGJC01000003.1        76      -9.0813      -9.0813      0.0000
  QRF01739_AFSR01000146.1        92      -5.3709      -5.3709      0.0000
  QRF01739_CACA01000349.1        84     -17.0241     -17.0241      0.0000
  QRF01739_AACY022751187.1       52     -14.6835     -14.6835      0.0000
  QRF01739_AACY022283709.1       52     -14.6835     -14.6835      0.0000
  QRF01739_ABPS01003770.1       123     -11.1001     -11.1001      0.0000
  QRF01739_AFEJ01000345.1        83      -6.5287      -6.5287      0.0000
  QRF00005_CABR01000029.1        73      -8.2236      -8.2236      0.0000
  QRF00005_AFSR01002788.1        74     -10.8947     -10.8947      0.0000
  QRF00005_CP000927.1            72      -7.3846      -7.3846      0.0000
  QRF00005_AY741371.1            72     -11.9113     -11.9113      0.0000
  QRF00005_AEGR01000006.1        73      -9.4963      -9.4963      0.0000
  QRF00005_CP001189.1            73      -6.7036      -6.7036      0.0000
  QRF00005_CP000493.1            72      -4.3960      -4.3960      0.0000
  QRF00005_AP012159.1            73      -6.7036      -6.7036      0.0000
  QRF00005_AM889285.1            73      -6.7036      -6.7036      0.0000
  QRF00005_AGFR01000003.1        73      -6.9360      -6.9360      0.0000
  QRF00005_AFCH01000046.1        73      -6.7036      -6.7036      0.0000
  QRF00005_ADTV01000009.1        73      -6.7036      -6.7036      0.0000
  QRF00005_ABCE01000025.1        73     -10.7623     -10.7623      0.0000
  QRF00005_HM565909.1            72     -12.1096     -12.1096      0.0000
  QRF00005_CAFG01000441.1        73      -9.4963      -9.4963      0.0000
  QRF00005_AACY020656879.1       72     -13.9154     -13.9154      0.0000
  QRF00005_CP001744.1            73     -10.7933     -10.7933      0.0000
  QRF00005_CP000880.1            73      -9.9116      -9.9116      0.0000
  QRF00005_CACD01000012.1        73      -9.9116      -9.9116      0.0000
  QRF00005_CACD01000012.1        73      -9.9116      -9.9116      0.0000
  QRF00005_CACD01000012.1        73      -9.9116      -9.9116      0.0000
  QRF00005_AM849034.1            74     -14.9955     -14.9955      0.0000
  QRF00005_AM711867.1            74     -14.9955     -14.9955      0.0000
  QRF00005_AEQT01000005.1        73      -9.9116      -9.9116      0.0000
  QRF00005_AEQT01000005.1        73      -9.9116      -9.9116      0.0000
  QRF00005_ACDJ01000003.1        73      -9.9116      -9.9116      0.0000
  QRF00005_ABWL02000007.1        73      -9.9116      -9.9116      0.0000
  QRF00005_Z71579.1              73      -7.1273      -7.1273      0.0000
  QRF00005_X53782.1              73      -7.1273      -7.1273      0.0000
  QRF00005_M19391.1              73      -7.1273      -7.1273      0.0000
  QRF00005_M15314.1              73      -7.1273      -7.1273      0.0000
  QRF00005_L42023.1              73      -7.1273      -7.1273      0.0000
  QRF00005_L42023.1              73      -7.1273      -7.1273      0.0000
  QRF00005_L42023.1              73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670204.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670204.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670204.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670178.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670178.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670178.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ670178.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ312006.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ312006.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ312006.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ312002.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ312002.1            73      -7.1273      -7.1273      0.0000
  QRF00005_FQ312002.1            73      -7.1273      -7.1273      0.0000
  QRF00005_EF196803.1            73      -7.1273      -7.1273      0.0000
  QRF00005_EF196803.1            73      -7.1273      -7.1273      0.0000
  QRF00005_CP003022.1            73      -7.1273      -7.1273      0.0000
  QRF00001_EU093378.1           119     -12.9391     -12.9391      0.0000
  QRF00001_AAAA02047827.1       119     -12.3416     -12.3416      0.0000
  QRF00001_AAAA02043281.1       119     -12.3416     -12.3416      0.0000
  QRF00001_EF064700.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EF064692.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EF064687.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EF064680.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EF064678.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EF064556.1           119     -12.3416     -12.3416      0.0000
  QRF00001_AJ390135.1           119     -12.3416     -12.3416      0.0000
  QRF00001_HQ270965.1           119     -12.9391     -12.9391      0.0000
  QRF00001_GQ324770.1           119     -12.9391     -12.9391      0.0000
  QRF00001_FJ882503.1           119     -12.9391     -12.9391      0.0000
  QRF00001_AF550740.1           119     -12.9391     -12.9391      0.0000
  QRF00001_HQ270648.1           119     -12.9391     -12.9391      0.0000
  QRF00001_EU924818.1           119     -12.9391     -12.9391      0.0000
  QRF00001_EU093153.1           119     -12.9391     -12.9391      0.0000
  QRF00001_EF524209.1           119     -12.9391     -12.9391      0.0000
  QRF00001_AY316209.1           119     -12.9391     -12.9391      0.0000
  QRF00001_AY034674.1           119     -12.9391     -12.9391      0.0000
  QRF00001_AJ409525.1           119     -12.9391     -12.9391      0.0000
  QRF00001_AF550715.1           119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01010155.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01009775.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01009775.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01009775.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01009135.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01009119.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01009117.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005845.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005845.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005844.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005841.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005839.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005838.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005838.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005835.1       119     -12.9391     -12.9391      0.0000
  QRF00001_ABXC01005835.1       119     -12.9391     -12.9391      0.0000
  QRF00001_AAAA02039752.1       119     -12.4382     -12.4382      0.0000
  QRF00001_EU925066.1           119     -11.4295     -11.4295      0.0000
  QRF00001_EU093209.1           119     -11.4295     -11.4295      0.0000
  QRF00001_U02637.1             119     -12.3416     -12.3416      0.0000
  QRF00001_EU439291.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439286.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439284.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439282.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439280.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439279.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439278.1           119     -12.3416     -12.3416      0.0000
  QRF00001_EU439277.1           119     -12.3416     -12.3416      0.0000
  QRF01704_ACNY01000005.1        62     -13.3375     -13.3375      0.0000
  QRF01704_ADXL01000065.1        61      -8.7852      -8.7852      0.0000
  QRF01704_ADXL01000046.1        61      -7.7757      -7.7757      0.0000
  QRF01704_ADHP01001127.1        63     -13.9525     -13.9525      0.0000
  QRF01704_ADXM01000029.1        71     -10.0437     -10.0437      0.0000
  QRF01704_FJ869257.1            62     -13.3375     -13.3375      0.0000
  QRF01704_BX569692.1            62     -13.3375     -13.3375      0.0000
  QRF01704_AACY023835177.1       64     -11.2852     -11.2852      0.0000
  QRF01704_ACNY01000003.1        61      -9.9844      -9.9844      0.0000
  QRF01704_AACY020212823.1       62     -13.1515     -13.1515      0.0000
  QRF01704_GQ237222.1            58     -10.3946     -10.3946      0.0000
  QRF01704_ADHP01000860.1        64     -12.9983     -12.9983      0.0000
  QRF01704_AACY020313707.1       62      -9.8295      -9.8295      0.0000
  QRF01704_ACDW01000004.1        62      -8.2085      -8.2085      0.0000
  QRF01704_AACY022014507.1       62     -10.6576     -10.6576      0.0000
  QRF01704_ADHP01000878.1        59      -8.0915      -8.0915      0.0000
  QRF01704_AACY022415810.1       58     -13.3317     -13.3317      0.0000
  QRF01704_AACY020575673.1       58     -13.3317     -13.3317      0.0000
  QRF01704_ACNY01000005.1        59     -14.6825     -14.6825      0.0000
  QRF01704_ADHP01000854.1        63     -10.5444     -10.5444      0.0000
  QRF01704_GU936714.1            59     -12.1045     -12.1045      0.0000
  QRF01704_AACY021622950.1       62     -13.1515     -13.1515      0.0000
  QRF01704_CP000825.1            58     -14.9397     -14.9397      0.0000
  QRF01704_EU795157.1            64     -13.8915     -13.8915      0.0000
  QRF01704_ABVN01004790.1        61     -12.8951     -12.8951      0.0000
  QRF01704_ABMN01086741.1        60     -15.8305     -15.8305      0.0000
  QRF01704_DQ325539.1            60     -15.0757     -15.0757      0.0000
  QRF01704_ACNY01000005.1        62      -6.3665      -6.3665      0.0000
  QRF01704_ACNY01000004.1        60      -9.7745      -9.7745      0.0000
  QRF01704_ABVT01000061.1        57     -12.9157     -12.9157      0.0000
  QRF00023_CP001665.1           363      -8.9101      -8.9101      0.0000
  QRF00023_CP001509.3           363      -8.9101      -8.9101      0.0000
  QRF00023_CP000819.1           363      -8.9101      -8.9101      0.0000
  QRF00023_AM946981.2           363      -8.9101      -8.9101      0.0000
  QRF00023_ADTQ01000184.1       363      -8.9101      -8.9101      0.0000
