# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01445.cm
# date:    Sat May 14 02:21:44 2016
# seed:    1463192504
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  S_pombe_snR94              search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:44.45       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -73.3273     -73.3273      0.0000
  QRF01739_AGJC01000011.1        62     -81.9973     -81.9973      0.0000
  QRF01739_AP012205.1            62     -74.3025     -74.3025      0.0000
  QRF01739_AEPQ01000180.1        85     -53.9244     -53.9244      0.0000
  QRF01739_AACY023065314.1       57     -78.8754     -78.8754      0.0000
  QRF01739_AACY020081009.1       57     -78.8754     -78.8754      0.0000
  QRF01739_ACSK01000180.1        92     -67.2911     -67.2911      0.0000
  QRF01739_BA000039.2           113     -59.6151     -59.6151      0.0000
  QRF01739_AACY023081145.1       53     -82.3842     -82.3842      0.0000
  QRF01739_AFSR01000238.1        99     -69.6461     -69.6461      0.0000
  QRF01739_AGJC01000003.1        76     -70.4685     -70.4685      0.0000
  QRF01739_AFSR01000146.1        92     -67.5871     -67.5871      0.0000
  QRF01739_CACA01000349.1        84     -71.6551     -71.6551      0.0000
  QRF01739_AACY022751187.1       52     -78.5476     -78.5476      0.0000
  QRF01739_AACY022283709.1       52     -78.5476     -78.5476      0.0000
  QRF01739_ABPS01003770.1       123     -49.3744     -49.3744      0.0000
  QRF01739_AFEJ01000345.1        83     -68.8682     -68.8682      0.0000
  QRF00005_CABR01000029.1        73     -77.2093     -77.2093      0.0000
  QRF00005_AFSR01002788.1        74     -79.3726     -79.3726      0.0000
  QRF00005_CP000927.1            72     -81.1918     -81.1918      0.0000
  QRF00005_AY741371.1            72     -75.7314     -75.7314      0.0000
  QRF00005_AEGR01000006.1        73     -76.2627     -76.2627      0.0000
  QRF00005_CP001189.1            73     -78.7636     -78.7636      0.0000
  QRF00005_CP000493.1            72     -79.9655     -79.9655      0.0000
  QRF00005_AP012159.1            73     -78.7636     -78.7636      0.0000
  QRF00005_AM889285.1            73     -78.7636     -78.7636      0.0000
  QRF00005_AGFR01000003.1        73     -77.2631     -77.2631      0.0000
  QRF00005_AFCH01000046.1        73     -78.7636     -78.7636      0.0000
  QRF00005_ADTV01000009.1        73     -78.7636     -78.7636      0.0000
  QRF00005_ABCE01000025.1        73     -80.1173     -80.5684      0.4510
  QRF00005_HM565909.1            72     -76.7711     -76.7711      0.0000
  QRF00005_CAFG01000441.1        73     -78.6377     -78.6377      0.0000
  QRF00005_AACY020656879.1       72     -78.4524     -78.4524      0.0000
  QRF00005_CP001744.1            73     -77.0734     -77.0734      0.0000
  QRF00005_CP000880.1            73     -76.3375     -76.3375      0.0000
  QRF00005_CACD01000012.1        73     -76.3375     -76.3375      0.0000
  QRF00005_CACD01000012.1        73     -76.3375     -76.3375      0.0000
  QRF00005_CACD01000012.1        73     -76.3375     -76.3375      0.0000
  QRF00005_AM849034.1            74     -75.9282     -75.9282      0.0000
  QRF00005_AM711867.1            74     -75.9282     -75.9282      0.0000
  QRF00005_AEQT01000005.1        73     -76.3375     -76.3375      0.0000
  QRF00005_AEQT01000005.1        73     -76.3375     -76.3375      0.0000
  QRF00005_ACDJ01000003.1        73     -76.3375     -76.3375      0.0000
  QRF00005_ABWL02000007.1        73     -76.3375     -76.3375      0.0000
  QRF00005_Z71579.1              73     -76.3131     -76.3131      0.0000
  QRF00005_X53782.1              73     -76.3131     -76.3131      0.0000
  QRF00005_M19391.1              73     -76.3131     -76.3131      0.0000
  QRF00005_M15314.1              73     -76.3131     -76.3131      0.0000
  QRF00005_L42023.1              73     -76.3131     -76.3131      0.0000
  QRF00005_L42023.1              73     -76.3131     -76.3131      0.0000
  QRF00005_L42023.1              73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670204.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670204.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670204.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670178.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670178.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670178.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ670178.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ312006.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ312006.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ312006.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ312002.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ312002.1            73     -76.3131     -76.3131      0.0000
  QRF00005_FQ312002.1            73     -76.3131     -76.3131      0.0000
  QRF00005_EF196803.1            73     -76.3131     -76.3131      0.0000
  QRF00005_EF196803.1            73     -76.3131     -76.3131      0.0000
  QRF00005_CP003022.1            73     -76.3131     -76.3131      0.0000
  QRF00001_EU093378.1           119     -58.7059     -58.7059      0.0000
  QRF00001_AAAA02047827.1       119     -60.0035     -60.0035      0.0000
  QRF00001_AAAA02043281.1       119     -55.2699     -55.2699      0.0000
  QRF00001_EF064700.1           119     -58.4959     -58.4959      0.0000
  QRF00001_EF064692.1           119     -58.4959     -58.4959      0.0000
  QRF00001_EF064687.1           119     -58.4959     -58.4959      0.0000
  QRF00001_EF064680.1           119     -58.4959     -58.4959      0.0000
  QRF00001_EF064678.1           119     -58.4959     -58.4959      0.0000
  QRF00001_EF064556.1           119     -58.4959     -58.4959      0.0000
  QRF00001_AJ390135.1           119     -58.4959     -58.4959      0.0000
  QRF00001_HQ270965.1           119     -60.0035     -60.0035      0.0000
  QRF00001_GQ324770.1           119     -60.0035     -60.0035      0.0000
  QRF00001_FJ882503.1           119     -60.0035     -60.0035      0.0000
  QRF00001_AF550740.1           119     -60.0035     -60.0035      0.0000
  QRF00001_HQ270648.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU924818.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU093153.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EF524209.1           119     -60.0035     -60.0035      0.0000
  QRF00001_AY316209.1           119     -60.0035     -60.0035      0.0000
  QRF00001_AY034674.1           119     -60.0035     -60.0035      0.0000
  QRF00001_AJ409525.1           119     -60.0035     -60.0035      0.0000
  QRF00001_AF550715.1           119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01010155.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01009775.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01009775.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01009775.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01009135.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01009119.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01009117.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005845.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005845.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005844.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005841.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005839.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005838.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005838.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005835.1       119     -60.0035     -60.0035      0.0000
  QRF00001_ABXC01005835.1       119     -60.0035     -60.0035      0.0000
  QRF00001_AAAA02039752.1       119     -56.7395     -56.7395      0.0000
  QRF00001_EU925066.1           119     -59.1763     -59.1763      0.0000
  QRF00001_EU093209.1           119     -59.1763     -59.1763      0.0000
  QRF00001_U02637.1             119     -60.0035     -60.0035      0.0000
  QRF00001_EU439291.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439286.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439284.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439282.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439280.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439279.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439278.1           119     -60.0035     -60.0035      0.0000
  QRF00001_EU439277.1           119     -60.0035     -60.0035      0.0000
  QRF01704_ACNY01000005.1        62     -79.0799     -79.0799      0.0000
  QRF01704_ADXL01000065.1        61     -82.1564     -82.1564      0.0000
  QRF01704_ADXL01000046.1        61     -80.7967     -80.7967      0.0000
  QRF01704_ADHP01001127.1        63     -77.3132     -77.3132      0.0000
  QRF01704_ADXM01000029.1        71     -78.1617     -78.1617      0.0000
  QRF01704_FJ869257.1            62     -83.0779     -83.0779      0.0000
  QRF01704_BX569692.1            62     -83.0779     -83.0779      0.0000
