# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01890.cm
# date:    Fri May 13 19:11:45 2016
# seed:    1463166705
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  lincRNA-p21_2              search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:18.12       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -17.3451     -17.3451      0.0000
  QRF01739_AGJC01000011.1        62     -17.3451     -17.3451      0.0000
  QRF01739_AP012205.1            62     -16.0983     -16.0983      0.0000
  QRF01739_AEPQ01000180.1        85     -17.4013     -17.4013      0.0000
  QRF01739_AACY023065314.1       57     -20.0589     -20.0589      0.0000
  QRF01739_AACY020081009.1       57     -20.0589     -20.0589      0.0000
  QRF01739_ACSK01000180.1        92     -16.7960     -16.7960      0.0000
  QRF01739_BA000039.2           113     -11.3424     -11.3424      0.0000
  QRF01739_AACY023081145.1       53     -14.4141     -14.4141      0.0000
  QRF01739_AFSR01000238.1        99     -14.4977     -14.4977      0.0000
  QRF01739_AGJC01000003.1        76     -17.1785     -17.1785      0.0000
  QRF01739_AFSR01000146.1        92     -14.9885     -14.9885      0.0000
  QRF01739_CACA01000349.1        84      -9.0274      -9.0274      0.0000
  QRF01739_AACY022751187.1       52     -21.5233     -21.5233      0.0000
  QRF01739_AACY022283709.1       52     -21.5233     -21.5233      0.0000
  QRF01739_ABPS01003770.1       123     -16.5191     -16.5191      0.0000
  QRF01739_AFEJ01000345.1        83     -19.7131     -19.7131      0.0000
  QRF00005_CABR01000029.1        73      -0.7428      -0.7428      0.0000
  QRF00005_AFSR01002788.1        74     -16.0074     -16.0074      0.0000
  QRF00005_CP000927.1            72      -1.5047      -1.5047      0.0000
  QRF00005_AY741371.1            72     -13.9583     -13.9583      0.0000
  QRF00005_AEGR01000006.1        73      -6.9388      -6.9388      0.0000
  QRF00005_CP001189.1            73      -2.5841      -2.5841      0.0000
  QRF00005_CP000493.1            72     -12.5010     -12.5010      0.0000
  QRF00005_AP012159.1            73      -2.5841      -2.5841      0.0000
  QRF00005_AM889285.1            73      -2.5841      -2.5841      0.0000
  QRF00005_AGFR01000003.1        73      -3.1102      -3.1102      0.0000
  QRF00005_AFCH01000046.1        73      -2.5841      -2.5841      0.0000
  QRF00005_ADTV01000009.1        73      -2.5841      -2.5841      0.0000
  QRF00005_ABCE01000025.1        73      -5.3422      -5.3422      0.0000
  QRF00005_HM565909.1            72     -10.9193     -10.9193      0.0000
  QRF00005_CAFG01000441.1        73      -6.9388      -6.9388      0.0000
  QRF00005_AACY020656879.1       72     -13.1173     -13.1173      0.0000
  QRF00005_CP001744.1            73      -5.6532      -5.6532      0.0000
  QRF00005_CP000880.1            73      -6.7217      -6.7217      0.0000
  QRF00005_CACD01000012.1        73      -6.7217      -6.7217      0.0000
  QRF00005_CACD01000012.1        73      -6.7217      -6.7217      0.0000
  QRF00005_CACD01000012.1        73      -6.7217      -6.7217      0.0000
  QRF00005_AM849034.1            74      -6.5326      -6.5326      0.0000
  QRF00005_AM711867.1            74      -6.5326      -6.5326      0.0000
  QRF00005_AEQT01000005.1        73      -6.7217      -6.7217      0.0000
  QRF00005_AEQT01000005.1        73      -6.7217      -6.7217      0.0000
  QRF00005_ACDJ01000003.1        73      -6.7217      -6.7217      0.0000
  QRF00005_ABWL02000007.1        73      -6.7217      -6.7217      0.0000
  QRF00005_Z71579.1              73     -10.0452     -10.0452      0.0000
  QRF00005_X53782.1              73     -10.0452     -10.0452      0.0000
  QRF00005_M19391.1              73     -10.0452     -10.0452      0.0000
  QRF00005_M15314.1              73     -10.0452     -10.0452      0.0000
  QRF00005_L42023.1              73     -10.0452     -10.0452      0.0000
  QRF00005_L42023.1              73     -10.0452     -10.0452      0.0000
  QRF00005_L42023.1              73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670204.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670204.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670204.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670178.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670178.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670178.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ670178.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ312006.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ312006.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ312006.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ312002.1            73     -10.0452     -10.0452      0.0000
  QRF00005_FQ312002.1            73     -10.0452     -10.0452      0.0000
