# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00327.cm
# date:    Sat May 14 03:01:26 2016
# seed:    1463194886
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoZ194                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:45.43       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.6680     -28.6680      0.0000
  QRF01739_AGJC01000011.1        62     -29.1831     -29.1831      0.0000
  QRF01739_AP012205.1            62     -26.8459     -26.8459      0.0000
  QRF01739_AEPQ01000180.1        85     -22.3074     -22.3074      0.0000
  QRF01739_AACY023065314.1       57     -33.6431     -33.6431      0.0000
  QRF01739_AACY020081009.1       57     -33.6431     -33.6431      0.0000
  QRF01739_ACSK01000180.1        92     -24.6564     -24.6564      0.0000
  QRF01739_BA000039.2           113     -26.7089     -26.7089      0.0000
  QRF01739_AACY023081145.1       53     -29.3298     -29.3298      0.0000
  QRF01739_AFSR01000238.1        99     -26.6147     -26.6147      0.0000
  QRF01739_AGJC01000003.1        76     -22.2329     -22.2329      0.0000
  QRF01739_AFSR01000146.1        92     -30.1200     -30.1200      0.0000
  QRF01739_CACA01000349.1        84     -30.5949     -30.5949      0.0000
  QRF01739_AACY022751187.1       52     -28.0154     -28.0154      0.0000
  QRF01739_AACY022283709.1       52     -28.0154     -28.0154      0.0000
  QRF01739_ABPS01003770.1       123     -22.8047     -22.8047      0.0000
  QRF01739_AFEJ01000345.1        83     -34.9438     -34.9438      0.0000
  QRF00005_CABR01000029.1        73     -28.1359     -28.1359      0.0000
  QRF00005_AFSR01002788.1        74     -23.9514     -23.9514      0.0000
  QRF00005_CP000927.1            72     -23.3313     -23.3313      0.0000
  QRF00005_AY741371.1            72     -20.1910     -20.1910      0.0000
  QRF00005_AEGR01000006.1        73     -26.0999     -26.0999      0.0000
  QRF00005_CP001189.1            73     -22.5762     -22.5762      0.0000
  QRF00005_CP000493.1            72     -31.8518     -31.8518      0.0000
  QRF00005_AP012159.1            73     -22.5762     -22.5762      0.0000
  QRF00005_AM889285.1            73     -22.5762     -22.5762      0.0000
  QRF00005_AGFR01000003.1        73     -24.5742     -24.5742      0.0000
  QRF00005_AFCH01000046.1        73     -22.5762     -22.5762      0.0000
  QRF00005_ADTV01000009.1        73     -22.5762     -22.5762      0.0000
  QRF00005_ABCE01000025.1        73     -23.7015     -23.7015      0.0000
