# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00126.cm
# date:    Fri May 13 22:56:12 2016
# seed:    1463180172
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  ryfA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:54.05       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -139.6184    -139.6184      0.0000
  QRF01739_AGJC01000011.1        62    -135.9908    -135.9908      0.0000
  QRF01739_AP012205.1            62    -135.8767    -135.8767      0.0000
  QRF01739_AEPQ01000180.1        85    -123.6519    -123.6519      0.0000
  QRF01739_AACY023065314.1       57    -143.5244    -143.5244      0.0000
  QRF01739_AACY020081009.1       57    -143.5244    -143.5244      0.0000
  QRF01739_ACSK01000180.1        92    -120.8028    -120.8028      0.0000
  QRF01739_BA000039.2           113    -105.6879    -105.6879      0.0000
  QRF01739_AACY023081145.1       53    -145.7332    -145.7332      0.0000
  QRF01739_AFSR01000238.1        99    -115.0433    -115.0433      0.0000
  QRF01739_AGJC01000003.1        76    -130.9477    -130.9477      0.0000
  QRF01739_AFSR01000146.1        92    -124.5449    -124.5449      0.0000
  QRF01739_CACA01000349.1        84    -130.8570    -130.8570      0.0000
  QRF01739_AACY022751187.1       52    -148.5081    -148.5081      0.0000
  QRF01739_AACY022283709.1       52    -148.5081    -148.5081      0.0000
  QRF01739_ABPS01003770.1       123    -101.4172    -101.4172      0.0000
  QRF01739_AFEJ01000345.1        83    -124.9670    -124.9670      0.0000
  QRF00005_CABR01000029.1        73    -136.7048    -136.7048      0.0000
  QRF00005_AFSR01002788.1        74    -131.6982    -131.6982      0.0000
  QRF00005_CP000927.1            72    -133.0751    -133.0751      0.0000
  QRF00005_AY741371.1            72    -135.8010    -135.8010      0.0000
  QRF00005_AEGR01000006.1        73    -136.4679    -136.4679      0.0000
  QRF00005_CP001189.1            73    -133.1484    -133.1484      0.0000
  QRF00005_CP000493.1            72    -133.4770    -133.4770      0.0000
  QRF00005_AP012159.1            73    -133.1484    -133.1484      0.0000
  QRF00005_AM889285.1            73    -133.1484    -133.1484      0.0000
  QRF00005_AGFR01000003.1        73    -132.4985    -132.4985      0.0000
  QRF00005_AFCH01000046.1        73    -133.1484    -133.1484      0.0000
  QRF00005_ADTV01000009.1        73    -133.1484    -133.1484      0.0000
  QRF00005_ABCE01000025.1        73    -133.1982    -133.1982      0.0000
  QRF00005_HM565909.1            72    -135.7060    -135.7060      0.0000
  QRF00005_CAFG01000441.1        73    -135.3979    -135.3979      0.0000
  QRF00005_AACY020656879.1       72    -136.3130    -136.3130      0.0000
  QRF00005_CP001744.1            73    -130.0809    -130.0809      0.0000
  QRF00005_CP000880.1            73    -131.6542    -131.6542      0.0000
  QRF00005_CACD01000012.1        73    -131.6542    -131.6542      0.0000
  QRF00005_CACD01000012.1        73    -131.6542    -131.6542      0.0000
  QRF00005_CACD01000012.1        73    -131.6542    -131.6542      0.0000
  QRF00005_AM849034.1            74    -131.1472    -131.1472      0.0000
  QRF00005_AM711867.1            74    -131.1472    -131.1472      0.0000
  QRF00005_AEQT01000005.1        73    -131.6542    -131.6542      0.0000
  QRF00005_AEQT01000005.1        73    -131.6542    -131.6542      0.0000
  QRF00005_ACDJ01000003.1        73    -131.6542    -131.6542      0.0000
  QRF00005_ABWL02000007.1        73    -131.6542    -131.6542      0.0000
  QRF00005_Z71579.1              73    -134.8469    -134.8469      0.0000
  QRF00005_X53782.1              73    -134.8469    -134.8469      0.0000
  QRF00005_M19391.1              73    -134.8469    -134.8469      0.0000
  QRF00005_M15314.1              73    -134.8469    -134.8469      0.0000
  QRF00005_L42023.1              73    -134.8469    -134.8469      0.0000
  QRF00005_L42023.1              73    -134.8469    -134.8469      0.0000
  QRF00005_L42023.1              73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670204.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670204.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670204.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670178.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670178.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670178.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ670178.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ312006.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ312006.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ312006.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ312002.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ312002.1            73    -134.8469    -134.8469      0.0000
  QRF00005_FQ312002.1            73    -134.8469    -134.8469      0.0000
  QRF00005_EF196803.1            73    -134.8469    -134.8469      0.0000
  QRF00005_EF196803.1            73    -134.8469    -134.8469      0.0000
  QRF00005_CP003022.1            73    -134.8469    -134.8469      0.0000
  QRF00001_EU093378.1           119    -108.1675    -108.1675      0.0000
  QRF00001_AAAA02047827.1       119    -107.8168    -107.8168      0.0000
  QRF00001_AAAA02043281.1       119    -109.8094    -109.8094      0.0000
  QRF00001_EF064700.1           119    -109.0842    -109.0842      0.0000
  QRF00001_EF064692.1           119    -109.0842    -109.0842      0.0000
  QRF00001_EF064687.1           119    -109.0842    -109.0842      0.0000
  QRF00001_EF064680.1           119    -109.0842    -109.0842      0.0000
  QRF00001_EF064678.1           119    -109.0842    -109.0842      0.0000
  QRF00001_EF064556.1           119    -109.0842    -109.0842      0.0000
  QRF00001_AJ390135.1           119    -109.0842    -109.0842      0.0000
  QRF00001_HQ270965.1           119    -107.8168    -107.8168      0.0000
  QRF00001_GQ324770.1           119    -107.8168    -107.8168      0.0000
  QRF00001_FJ882503.1           119    -107.8168    -107.8168      0.0000
  QRF00001_AF550740.1           119    -107.8168    -107.8168      0.0000
  QRF00001_HQ270648.1           119    -108.4646    -108.4646      0.0000
  QRF00001_EU924818.1           119    -108.4646    -108.4646      0.0000
  QRF00001_EU093153.1           119    -108.4646    -108.4646      0.0000
