# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00242.cm
# date:    Sat May 14 03:02:48 2016
# seed:    1463194968
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  ctRNA_pT181                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:41.03       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -26.3558     -26.3558      0.0000
  QRF01739_AGJC01000011.1        62     -23.0742     -23.0742      0.0000
  QRF01739_AP012205.1            62     -25.9546     -25.9546      0.0000
  QRF01739_AEPQ01000180.1        85     -17.5898     -17.5898      0.0000
  QRF01739_AACY023065314.1       57     -27.7131     -27.7131      0.0000
  QRF01739_AACY020081009.1       57     -27.7131     -27.7131      0.0000
  QRF01739_ACSK01000180.1        92     -28.5030     -28.5030      0.0000
  QRF01739_BA000039.2           113     -17.1004     -17.1004      0.0000
  QRF01739_AACY023081145.1       53     -34.3804     -34.3804      0.0000
  QRF01739_AFSR01000238.1        99     -27.8411     -27.8411      0.0000
  QRF01739_AGJC01000003.1        76     -21.0068     -21.0068      0.0000
  QRF01739_AFSR01000146.1        92     -31.6008     -31.6008      0.0000
  QRF01739_CACA01000349.1        84     -29.5530     -29.5530      0.0000
  QRF01739_AACY022751187.1       52     -29.3541     -29.3541      0.0000
  QRF01739_AACY022283709.1       52     -29.3541     -29.3541      0.0000
  QRF01739_ABPS01003770.1       123     -20.6764     -20.6764      0.0000
  QRF01739_AFEJ01000345.1        83     -27.9053     -27.9053      0.0000
  QRF00005_CABR01000029.1        73     -25.9581     -25.9581      0.0000
  QRF00005_AFSR01002788.1        74     -18.8453     -18.8453      0.0000
  QRF00005_CP000927.1            72     -24.5459     -24.5459      0.0000
  QRF00005_AY741371.1            72     -20.8140     -20.8140      0.0000
  QRF00005_AEGR01000006.1        73     -21.7903     -21.7903      0.0000
  QRF00005_CP001189.1            73     -23.0781     -23.0781      0.0000
  QRF00005_CP000493.1            72     -27.7400     -27.7400      0.0000
  QRF00005_AP012159.1            73     -23.0781     -23.0781      0.0000
  QRF00005_AM889285.1            73     -23.0781     -23.0781      0.0000
  QRF00005_AGFR01000003.1        73     -20.3791     -20.3791      0.0000
  QRF00005_AFCH01000046.1        73     -23.0781     -23.0781      0.0000
  QRF00005_ADTV01000009.1        73     -23.0781     -23.0781      0.0000
  QRF00005_ABCE01000025.1        73     -20.8053     -20.8053      0.0000
  QRF00005_HM565909.1            72     -18.6380     -18.6380      0.0000
  QRF00005_CAFG01000441.1        73     -23.9603     -23.9603      0.0000
  QRF00005_AACY020656879.1       72     -19.7480     -19.7480      0.0000
  QRF00005_CP001744.1            73     -17.3103     -17.3103      0.0000
  QRF00005_CP000880.1            73     -22.9130     -22.9130      0.0000
  QRF00005_CACD01000012.1        73     -22.9130     -22.9130      0.0000
  QRF00005_CACD01000012.1        73     -22.9130     -22.9130      0.0000
  QRF00005_CACD01000012.1        73     -22.9130     -22.9130      0.0000
  QRF00005_AM849034.1            74     -23.9657     -23.9657      0.0000
  QRF00005_AM711867.1            74     -23.9657     -23.9657      0.0000
  QRF00005_AEQT01000005.1        73     -22.9130     -22.9130      0.0000
  QRF00005_AEQT01000005.1        73     -22.9130     -22.9130      0.0000
  QRF00005_ACDJ01000003.1        73     -22.9130     -22.9130      0.0000
  QRF00005_ABWL02000007.1        73     -22.9130     -22.9130      0.0000
  QRF00005_Z71579.1              73     -17.6633     -17.6633      0.0000
  QRF00005_X53782.1              73     -17.6633     -17.6633      0.0000
  QRF00005_M19391.1              73     -17.6633     -17.6633      0.0000
