# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01958.cm
# date:    Sat May 14 00:36:09 2016
# seed:    1463186169
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  EGOT                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:45.35       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -176.4402    -176.4402      0.0000
  QRF01739_AGJC01000011.1        62    -177.9912    -179.3681      1.3769
  QRF01739_AP012205.1            62    -173.1102    -173.1102      0.0000
  QRF01739_AEPQ01000180.1        85    -159.9060    -159.9060      0.0000
  QRF01739_AACY023065314.1       57    -180.8198    -180.8198      0.0000
  QRF01739_AACY020081009.1       57    -180.8198    -180.8198      0.0000
  QRF01739_ACSK01000180.1        92    -161.3211    -161.3211      0.0000
  QRF01739_BA000039.2           113    -146.7990    -146.7990      0.0000
  QRF01739_AACY023081145.1       53    -188.1200    -188.1200      0.0000
  QRF01739_AFSR01000238.1        99    -160.9590    -160.9590      0.0000
  QRF01739_AGJC01000003.1        76    -166.8343    -166.8343      0.0000
  QRF01739_AFSR01000146.1        92    -162.6386    -162.6386      0.0000
  QRF01739_CACA01000349.1        84    -166.4974    -166.4974      0.0000
  QRF01739_AACY022751187.1       52    -178.4636    -178.4636      0.0000
  QRF01739_AACY022283709.1       52    -178.4636    -178.4636      0.0000
  QRF01739_ABPS01003770.1       123    -142.3378    -142.3378      0.0000
  QRF01739_AFEJ01000345.1        83    -171.7225    -171.7225      0.0000
  QRF00005_CABR01000029.1        73    -174.6483    -174.6483      0.0000
  QRF00005_AFSR01002788.1        74    -164.9772    -164.9772      0.0000
  QRF00005_CP000927.1            72    -174.5943    -174.5943      0.0000
  QRF00005_AY741371.1            72    -174.8194    -174.8194      0.0000
  QRF00005_AEGR01000006.1        73    -172.2847    -172.2847      0.0000
  QRF00005_CP001189.1            73    -173.8677    -173.8677      0.0000
  QRF00005_CP000493.1            72    -173.6768    -173.6768      0.0000
  QRF00005_AP012159.1            73    -173.8677    -173.8677      0.0000
  QRF00005_AM889285.1            73    -173.8677    -173.8677      0.0000
  QRF00005_AGFR01000003.1        73    -170.5478    -170.5478      0.0000
  QRF00005_AFCH01000046.1        73    -173.8677    -173.8677      0.0000
  QRF00005_ADTV01000009.1        73    -173.8677    -173.8677      0.0000
  QRF00005_ABCE01000025.1        73    -173.7670    -173.7670      0.0000
  QRF00005_HM565909.1            72    -175.6132    -175.6132      0.0000
  QRF00005_CAFG01000441.1        73    -173.7753    -173.7753      0.0000
  QRF00005_AACY020656879.1       72    -175.8442    -175.8442      0.0000
  QRF00005_CP001744.1            73    -175.0531    -175.0531      0.0000
  QRF00005_CP000880.1            73    -175.2548    -175.2548      0.0000
  QRF00005_CACD01000012.1        73    -175.2548    -175.2548      0.0000
  QRF00005_CACD01000012.1        73    -175.2548    -175.2548      0.0000
  QRF00005_CACD01000012.1        73    -175.2548    -175.2548      0.0000
  QRF00005_AM849034.1            74    -172.9358    -172.9358      0.0000
  QRF00005_AM711867.1            74    -172.9358    -172.9358      0.0000
  QRF00005_AEQT01000005.1        73    -175.2548    -175.2548      0.0000
  QRF00005_AEQT01000005.1        73    -175.2548    -175.2548      0.0000
  QRF00005_ACDJ01000003.1        73    -175.2548    -175.2548      0.0000
  QRF00005_ABWL02000007.1        73    -175.2548    -175.2548      0.0000
  QRF00005_Z71579.1              73    -171.5265    -171.5265      0.0000
  QRF00005_X53782.1              73    -171.5265    -171.5265      0.0000
  QRF00005_M19391.1              73    -171.5265    -171.5265      0.0000
  QRF00005_M15314.1              73    -171.5265    -171.5265      0.0000
  QRF00005_L42023.1              73    -171.5265    -171.5265      0.0000
  QRF00005_L42023.1              73    -171.5265    -171.5265      0.0000
  QRF00005_L42023.1              73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670204.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670204.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670204.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670178.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670178.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670178.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ670178.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ312006.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ312006.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ312006.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ312002.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ312002.1            73    -171.5265    -171.5265      0.0000
  QRF00005_FQ312002.1            73    -171.5265    -171.5265      0.0000
  QRF00005_EF196803.1            73    -171.5265    -171.5265      0.0000
  QRF00005_EF196803.1            73    -171.5265    -171.5265      0.0000
  QRF00005_CP003022.1            73    -171.5265    -171.5265      0.0000
  QRF00001_EU093378.1           119    -144.8100    -144.8100      0.0000
  QRF00001_AAAA02047827.1       119    -143.3962    -144.5681      1.1719
  QRF00001_AAAA02043281.1       119    -143.2610    -143.2610      0.0000
  QRF00001_EF064700.1           119    -143.2881    -143.2881      0.0000
