# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01435.cm
# date:    Sat May 14 00:56:08 2016
# seed:    1463187368
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  S_pombe_snR5               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:06.04       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -44.6022     -44.6022      0.0000
  QRF01739_AGJC01000011.1        62     -51.0642     -51.0642      0.0000
  QRF01739_AP012205.1            62     -45.6097     -45.6097      0.0000
  QRF01739_AEPQ01000180.1        85     -26.4311     -26.4311      0.0000
  QRF01739_AACY023065314.1       57     -53.0075     -53.0075      0.0000
  QRF01739_AACY020081009.1       57     -53.0075     -53.0075      0.0000
  QRF01739_ACSK01000180.1        92     -43.7759     -43.7759      0.0000
  QRF01739_BA000039.2           113     -37.9260     -37.9260      0.0000
  QRF01739_AACY023081145.1       53     -53.9995     -53.9995      0.0000
  QRF01739_AFSR01000238.1        99     -44.5866     -44.5866      0.0000
  QRF01739_AGJC01000003.1        76     -49.9566     -49.9566      0.0000
  QRF01739_AFSR01000146.1        92     -42.2493     -42.2493      0.0000
  QRF01739_CACA01000349.1        84     -44.3204     -44.3204      0.0000
  QRF01739_AACY022751187.1       52     -48.8011     -48.8011      0.0000
  QRF01739_AACY022283709.1       52     -48.8011     -48.8011      0.0000
  QRF01739_ABPS01003770.1       123     -30.0263     -30.0263      0.0000
  QRF01739_AFEJ01000345.1        83     -38.3118     -38.3118      0.0000
  QRF00005_CABR01000029.1        73     -49.3954     -49.3954      0.0000
  QRF00005_AFSR01002788.1        74     -40.7756     -40.7756      0.0000
  QRF00005_CP000927.1            72     -46.1570     -46.1570      0.0000
  QRF00005_AY741371.1            72     -42.7068     -42.7068      0.0000
  QRF00005_AEGR01000006.1        73     -45.0494     -45.0494      0.0000
  QRF00005_CP001189.1            73     -47.4959     -47.8983      0.4024
  QRF00005_CP000493.1            72     -44.7573     -44.7573      0.0000
  QRF00005_AP012159.1            73     -47.4959     -47.8983      0.4024
  QRF00005_AM889285.1            73     -47.4959     -47.8983      0.4024
  QRF00005_AGFR01000003.1        73     -43.5968     -43.5968      0.0000
  QRF00005_AFCH01000046.1        73     -47.4959     -47.8983      0.4024
  QRF00005_ADTV01000009.1        73     -47.4959     -47.8983      0.4024
  QRF00005_ABCE01000025.1        73     -39.5194     -39.5194      0.0000
  QRF00005_HM565909.1            72     -41.9465     -41.9465      0.0000
  QRF00005_CAFG01000441.1        73     -47.1354     -47.1354      0.0000
  QRF00005_AACY020656879.1       72     -42.4915     -42.4915      0.0000
  QRF00005_CP001744.1            73     -40.3315     -40.3315      0.0000
  QRF00005_CP000880.1            73     -39.7711     -39.7711      0.0000
  QRF00005_CACD01000012.1        73     -39.7711     -39.7711      0.0000
  QRF00005_CACD01000012.1        73     -39.7711     -39.7711      0.0000
  QRF00005_CACD01000012.1        73     -39.7711     -39.7711      0.0000
  QRF00005_AM849034.1            74     -45.8613     -45.8613      0.0000
  QRF00005_AM711867.1            74     -45.8613     -45.8613      0.0000
  QRF00005_AEQT01000005.1        73     -39.7711     -39.7711      0.0000
  QRF00005_AEQT01000005.1        73     -39.7711     -39.7711      0.0000
  QRF00005_ACDJ01000003.1        73     -39.7711     -39.7711      0.0000
  QRF00005_ABWL02000007.1        73     -39.7711     -39.7711      0.0000
  QRF00005_Z71579.1              73     -47.6031     -47.6031      0.0000
  QRF00005_X53782.1              73     -47.6031     -47.6031      0.0000
  QRF00005_M19391.1              73     -47.6031     -47.6031      0.0000
  QRF00005_M15314.1              73     -47.6031     -47.6031      0.0000
  QRF00005_L42023.1              73     -47.6031     -47.6031      0.0000
  QRF00005_L42023.1              73     -47.6031     -47.6031      0.0000
  QRF00005_L42023.1              73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670204.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670204.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670204.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670178.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670178.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670178.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ670178.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ312006.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ312006.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ312006.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ312002.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ312002.1            73     -47.6031     -47.6031      0.0000
  QRF00005_FQ312002.1            73     -47.6031     -47.6031      0.0000
  QRF00005_EF196803.1            73     -47.6031     -47.6031      0.0000
  QRF00005_EF196803.1            73     -47.6031     -47.6031      0.0000
  QRF00005_CP003022.1            73     -47.6031     -47.6031      0.0000
  QRF00001_EU093378.1           119     -38.0818     -38.0818      0.0000
  QRF00001_AAAA02047827.1       119     -38.5368     -38.5368      0.0000
  QRF00001_AAAA02043281.1       119     -34.7977     -34.7977      0.0000
  QRF00001_EF064700.1           119     -32.5733     -32.5733      0.0000
  QRF00001_EF064692.1           119     -32.5733     -32.5733      0.0000
