# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00565.cm
# date:    Sat May 14 01:51:01 2016
# seed:    1463190661
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SCARNA3                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:06.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -45.8675     -45.8675      0.0000
  QRF01739_AGJC01000011.1        62     -48.9428     -48.9428      0.0000
  QRF01739_AP012205.1            62     -47.7792     -47.7792      0.0000
  QRF01739_AEPQ01000180.1        85     -33.4097     -33.4097      0.0000
  QRF01739_AACY023065314.1       57     -50.0522     -50.0522      0.0000
  QRF01739_AACY020081009.1       57     -50.0522     -50.0522      0.0000
  QRF01739_ACSK01000180.1        92     -45.7105     -45.7105      0.0000
  QRF01739_BA000039.2           113     -27.2224     -27.2224      0.0000
  QRF01739_AACY023081145.1       53     -51.5715     -51.5715      0.0000
  QRF01739_AFSR01000238.1        99     -45.0133     -45.0133      0.0000
  QRF01739_AGJC01000003.1        76     -45.9971     -45.9971      0.0000
  QRF01739_AFSR01000146.1        92     -41.0665     -41.0665      0.0000
  QRF01739_CACA01000349.1        84     -46.9256     -46.9256      0.0000
  QRF01739_AACY022751187.1       52     -49.3447     -49.3447      0.0000
  QRF01739_AACY022283709.1       52     -49.3447     -49.3447      0.0000
  QRF01739_ABPS01003770.1       123     -30.7046     -30.7046      0.0000
  QRF01739_AFEJ01000345.1        83     -46.8405     -46.8405      0.0000
  QRF00005_CABR01000029.1        73     -39.5322     -39.5322      0.0000
  QRF00005_AFSR01002788.1        74     -43.7826     -43.7826      0.0000
  QRF00005_CP000927.1            72     -39.4622     -39.4622      0.0000
  QRF00005_AY741371.1            72     -44.6418     -44.6418      0.0000
  QRF00005_AEGR01000006.1        73     -42.7529     -42.7529      0.0000
  QRF00005_CP001189.1            73     -41.3646     -41.3646      0.0000
  QRF00005_CP000493.1            72     -40.2672     -40.2672      0.0000
  QRF00005_AP012159.1            73     -41.3646     -41.3646      0.0000
  QRF00005_AM889285.1            73     -41.3646     -41.3646      0.0000
  QRF00005_AGFR01000003.1        73     -37.2696     -37.2696      0.0000
  QRF00005_AFCH01000046.1        73     -41.3646     -41.3646      0.0000
  QRF00005_ADTV01000009.1        73     -41.3646     -41.3646      0.0000
  QRF00005_ABCE01000025.1        73     -37.6751     -37.6751      0.0000
  QRF00005_HM565909.1            72     -44.9974     -44.9974      0.0000
  QRF00005_CAFG01000441.1        73     -42.8739     -42.8739      0.0000
  QRF00005_AACY020656879.1       72     -45.6515     -45.6515      0.0000
  QRF00005_CP001744.1            73     -37.3132     -37.3132      0.0000
  QRF00005_CP000880.1            73     -37.2944     -37.2944      0.0000
  QRF00005_CACD01000012.1        73     -37.2944     -37.2944      0.0000
  QRF00005_CACD01000012.1        73     -37.2944     -37.2944      0.0000
  QRF00005_CACD01000012.1        73     -37.2944     -37.2944      0.0000
  QRF00005_AM849034.1            74     -43.5222     -43.5222      0.0000
  QRF00005_AM711867.1            74     -43.5222     -43.5222      0.0000
  QRF00005_AEQT01000005.1        73     -37.2944     -37.2944      0.0000
  QRF00005_AEQT01000005.1        73     -37.2944     -37.2944      0.0000
  QRF00005_ACDJ01000003.1        73     -37.2944     -37.2944      0.0000
  QRF00005_ABWL02000007.1        73     -37.2944     -37.2944      0.0000
  QRF00005_Z71579.1              73     -39.9762     -39.9762      0.0000
  QRF00005_X53782.1              73     -39.9762     -39.9762      0.0000
  QRF00005_M19391.1              73     -39.9762     -39.9762      0.0000
  QRF00005_M15314.1              73     -39.9762     -39.9762      0.0000
  QRF00005_L42023.1              73     -39.9762     -39.9762      0.0000
  QRF00005_L42023.1              73     -39.9762     -39.9762      0.0000
  QRF00005_L42023.1              73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670204.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670204.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670204.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670178.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670178.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670178.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ670178.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ312006.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ312006.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ312006.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ312002.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ312002.1            73     -39.9762     -39.9762      0.0000
  QRF00005_FQ312002.1            73     -39.9762     -39.9762      0.0000
  QRF00005_EF196803.1            73     -39.9762     -39.9762      0.0000
  QRF00005_EF196803.1            73     -39.9762     -39.9762      0.0000
  QRF00005_CP003022.1            73     -39.9762     -39.9762      0.0000
  QRF00001_EU093378.1           119     -34.2477     -34.2477      0.0000
  QRF00001_AAAA02047827.1       119     -33.7473     -33.7473      0.0000
  QRF00001_AAAA02043281.1       119     -33.8923     -33.8923      0.0000
  QRF00001_EF064700.1           119     -32.8723     -32.8723      0.0000
  QRF00001_EF064692.1           119     -32.8723     -32.8723      0.0000
  QRF00001_EF064687.1           119     -32.8723     -32.8723      0.0000
  QRF00001_EF064680.1           119     -32.8723     -32.8723      0.0000
  QRF00001_EF064678.1           119     -32.8723     -32.8723      0.0000
  QRF00001_EF064556.1           119     -32.8723     -32.8723      0.0000
  QRF00001_AJ390135.1           119     -32.8723     -32.8723      0.0000
  QRF00001_HQ270965.1           119     -33.6723     -33.6723      0.0000
  QRF00001_GQ324770.1           119     -33.6723     -33.6723      0.0000
  QRF00001_FJ882503.1           119     -33.6723     -33.6723      0.0000
  QRF00001_AF550740.1           119     -33.6723     -33.6723      0.0000
  QRF00001_HQ270648.1           119     -33.6723     -33.6723      0.0000
  QRF00001_EU924818.1           119     -33.6723     -33.6723      0.0000
  QRF00001_EU093153.1           119     -33.6723     -33.6723      0.0000
  QRF00001_EF524209.1           119     -33.6723     -33.6723      0.0000
  QRF00001_AY316209.1           119     -33.6723     -33.6723      0.0000
  QRF00001_AY034674.1           119     -33.6723     -33.6723      0.0000
  QRF00001_AJ409525.1           119     -33.6723     -33.6723      0.0000
  QRF00001_AF550715.1           119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01010155.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01009775.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01009775.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01009775.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01009135.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01009119.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01009117.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005845.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005845.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005844.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005841.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005839.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005838.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005838.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005835.1       119     -33.6723     -33.6723      0.0000
  QRF00001_ABXC01005835.1       119     -33.6723     -33.6723      0.0000
  QRF00001_AAAA02039752.1       119     -31.0889     -31.0889      0.0000
  QRF00001_EU925066.1           119     -31.9610     -31.9610      0.0000
  QRF00001_EU093209.1           119     -31.9610     -31.9610      0.0000
  QRF00001_U02637.1             119     -33.7473     -33.7473      0.0000
  QRF00001_EU439291.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439286.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439284.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439282.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439280.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439279.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439278.1           119     -33.7473     -33.7473      0.0000
  QRF00001_EU439277.1           119     -33.7473     -33.7473      0.0000
  QRF01704_ACNY01000005.1        62     -57.6689     -57.6689      0.0000
  QRF01704_ADXL01000065.1        61     -53.8594     -53.8594      0.0000
  QRF01704_ADXL01000046.1        61     -53.2626     -53.2626      0.0000
  QRF01704_ADHP01001127.1        63     -50.9875     -50.9875      0.0000
  QRF01704_ADXM01000029.1        71     -49.9381     -49.9381      0.0000
  QRF01704_FJ869257.1            62     -55.2576     -55.2576      0.0000
  QRF01704_BX569692.1            62     -55.2576     -55.2576      0.0000
  QRF01704_AACY023835177.1       64     -51.8795     -51.8795      0.0000
  QRF01704_ACNY01000003.1        61     -51.2184     -51.2184      0.0000
  QRF01704_AACY020212823.1       62     -50.7009     -50.7009      0.0000
  QRF01704_GQ237222.1            58     -55.1420     -55.1420      0.0000
  QRF01704_ADHP01000860.1        64     -46.9438     -46.9438      0.0000
  QRF01704_AACY020313707.1       62     -54.1507     -54.1507      0.0000
  QRF01704_ACDW01000004.1        62     -54.2776     -54.2776      0.0000
  QRF01704_AACY022014507.1       62     -52.4117     -52.4117      0.0000
  QRF01704_ADHP01000878.1        59     -54.5092     -54.5092      0.0000
  QRF01704_AACY022415810.1       58     -52.7339     -52.7339      0.0000
  QRF01704_AACY020575673.1       58     -52.7339     -52.7339      0.0000
  QRF01704_ACNY01000005.1        59     -55.5908     -55.5908      0.0000
  QRF01704_ADHP01000854.1        63     -50.4968     -50.4968      0.0000
  QRF01704_GU936714.1            59     -56.8709     -56.8709      0.0000
  QRF01704_AACY021622950.1       62     -51.3229     -51.3229      0.0000
  QRF01704_CP000825.1            58     -54.1859     -54.1859      0.0000
  QRF01704_EU795157.1            64     -53.5164     -53.5164      0.0000
  QRF01704_ABVN01004790.1        61     -56.6845     -56.6845      0.0000
  QRF01704_ABMN01086741.1        60     -44.3817     -44.3817      0.0000
  QRF01704_DQ325539.1            60     -52.7218     -52.7218      0.0000
  QRF01704_ACNY01000005.1        62     -48.9250     -48.9250      0.0000
  QRF01704_ACNY01000004.1        60     -54.5398     -54.5398      0.0000
  QRF01704_ABVT01000061.1        57     -55.3105     -55.3105      0.0000
  QRF00023_CP001665.1           363     -16.8304     -16.8304      0.0000
  QRF00023_CP001509.3           363     -16.8304     -16.8304      0.0000
  QRF00023_CP000819.1           363     -16.8304     -16.8304      0.0000
  QRF00023_AM946981.2           363     -16.8304     -16.8304      0.0000
  QRF00023_ADTQ01000184.1       363     -16.8304     -16.8304      0.0000
  QRF00023_ADBT01000188.1       363     -16.8304     -16.8304      0.0000
  QRF00023_FN543093.2           364     -15.6534     -15.6534      0.0000
  QRF00023_AFAG01000033.1       363     -16.8304     -16.8304      0.0000
  QRF00023_AFAF01000014.1       363     -16.8304     -16.8304      0.0000
  QRF00023_ADUS01000034.1       363     -16.8304     -16.8304      0.0000
  QRF00023_U36840.1             363     -16.8304     -16.8304      0.0000
  QRF00023_FN649414.1           363     -16.8304     -16.8304      0.0000
  QRF00023_CU928162.2           363     -16.8304     -16.8304      0.0000
  QRF00023_CU928161.2           363     -16.8304     -16.8304      0.0000
  QRF00023_CU928158.2           363     -16.8304     -16.8304      0.0000
  QRF00023_CU651637.1           363     -16.8304     -16.8304      0.0000
  QRF00023_CP003034.1           363     -16.8304     -16.8304      0.0000
  QRF00023_CP002797.2           363     -16.8304     -16.8304      0.0000
  QRF00023_CP002729.1           363     -16.8304     -16.8304      0.0000
  QRF00023_CP002516.1           363     -16.8304     -16.8304      0.0000
