# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00692.cm
# date:    Sat May 14 00:27:03 2016
# seed:    1463185623
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR171_2                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:48.73       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.2196     -28.2196      0.0000
  QRF01739_AGJC01000011.1        62     -30.6044     -30.6044      0.0000
  QRF01739_AP012205.1            62     -30.7981     -30.7981      0.0000
  QRF01739_AEPQ01000180.1        85     -23.9892     -23.9892      0.0000
  QRF01739_AACY023065314.1       57     -25.7680     -25.7680      0.0000
  QRF01739_AACY020081009.1       57     -25.7680     -25.7680      0.0000
  QRF01739_ACSK01000180.1        92     -23.8956     -23.8956      0.0000
  QRF01739_BA000039.2           113     -24.0646     -24.0646      0.0000
  QRF01739_AACY023081145.1       53     -32.7504     -32.7504      0.0000
  QRF01739_AFSR01000238.1        99     -28.1082     -28.1082      0.0000
  QRF01739_AGJC01000003.1        76     -22.2032     -22.2032      0.0000
  QRF01739_AFSR01000146.1        92     -27.2536     -27.2536      0.0000
  QRF01739_CACA01000349.1        84     -26.2788     -26.2788      0.0000
  QRF01739_AACY022751187.1       52     -30.3180     -30.3180      0.0000
  QRF01739_AACY022283709.1       52     -30.3180     -30.3180      0.0000
  QRF01739_ABPS01003770.1       123     -25.4842     -25.4842      0.0000
  QRF01739_AFEJ01000345.1        83     -21.9290     -21.9290      0.0000
  QRF00005_CABR01000029.1        73     -29.9333     -29.9333      0.0000
  QRF00005_AFSR01002788.1        74     -26.5855     -26.5855      0.0000
  QRF00005_CP000927.1            72     -28.6391     -28.6391      0.0000
  QRF00005_AY741371.1            72     -21.5451     -21.5451      0.0000
  QRF00005_AEGR01000006.1        73     -24.7633     -24.7633      0.0000
  QRF00005_CP001189.1            73     -24.8387     -24.8387      0.0000
  QRF00005_CP000493.1            72     -31.1897     -31.1897      0.0000
  QRF00005_AP012159.1            73     -24.8387     -24.8387      0.0000
  QRF00005_AM889285.1            73     -24.8387     -24.8387      0.0000
  QRF00005_AGFR01000003.1        73     -24.6853     -24.6853      0.0000
  QRF00005_AFCH01000046.1        73     -24.8387     -24.8387      0.0000
  QRF00005_ADTV01000009.1        73     -24.8387     -24.8387      0.0000
  QRF00005_ABCE01000025.1        73     -26.7877     -26.7877      0.0000
  QRF00005_HM565909.1            72     -17.4801     -17.4801      0.0000
  QRF00005_CAFG01000441.1        73     -24.7633     -24.7633      0.0000
  QRF00005_AACY020656879.1       72     -18.1491     -18.1491      0.0000
  QRF00005_CP001744.1            73     -22.9256     -22.9256      0.0000
  QRF00005_CP000880.1            73     -23.4085     -23.4085      0.0000
  QRF00005_CACD01000012.1        73     -23.4085     -23.4085      0.0000
  QRF00005_CACD01000012.1        73     -23.4085     -23.4085      0.0000
  QRF00005_CACD01000012.1        73     -23.4085     -23.4085      0.0000
  QRF00005_AM849034.1            74     -26.1634     -26.1634      0.0000
  QRF00005_AM711867.1            74     -26.1634     -26.1634      0.0000
  QRF00005_AEQT01000005.1        73     -23.4085     -23.4085      0.0000
  QRF00005_AEQT01000005.1        73     -23.4085     -23.4085      0.0000
  QRF00005_ACDJ01000003.1        73     -23.4085     -23.4085      0.0000
  QRF00005_ABWL02000007.1        73     -23.4085     -23.4085      0.0000
  QRF00005_Z71579.1              73     -25.2308     -25.2308      0.0000
  QRF00005_X53782.1              73     -25.2308     -25.2308      0.0000
  QRF00005_M19391.1              73     -25.2308     -25.2308      0.0000
  QRF00005_M15314.1              73     -25.2308     -25.2308      0.0000
  QRF00005_L42023.1              73     -25.2308     -25.2308      0.0000
  QRF00005_L42023.1              73     -25.2308     -25.2308      0.0000
  QRF00005_L42023.1              73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670204.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670204.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670204.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670178.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670178.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670178.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ670178.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ312006.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ312006.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ312006.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ312002.1            73     -25.2308     -25.2308      0.0000
  QRF00005_FQ312002.1            73     -25.2308     -25.2308      0.0000
