# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01827.cm
# date:    Fri May 13 23:26:24 2016
# seed:    1463181984
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SAR11_0636                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:38.06       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.4822     -22.4822      0.0000
  QRF01739_AGJC01000011.1        62     -18.4061     -18.4061      0.0000
  QRF01739_AP012205.1            62     -18.1084     -18.1084      0.0000
  QRF01739_AEPQ01000180.1        85      -6.9322      -6.9322      0.0000
  QRF01739_AACY023065314.1       57     -20.7879     -20.7879      0.0000
  QRF01739_AACY020081009.1       57     -20.7879     -20.7879      0.0000
  QRF01739_ACSK01000180.1        92     -14.6394     -14.6394      0.0000
  QRF01739_BA000039.2           113     -17.9559     -17.9559      0.0000
  QRF01739_AACY023081145.1       53     -23.7767     -23.7767      0.0000
  QRF01739_AFSR01000238.1        99     -11.1995     -11.1995      0.0000
  QRF01739_AGJC01000003.1        76     -13.6885     -13.6885      0.0000
  QRF01739_AFSR01000146.1        92     -13.1970     -13.1970      0.0000
  QRF01739_CACA01000349.1        84     -18.4526     -18.4526      0.0000
  QRF01739_AACY022751187.1       52     -27.0853     -27.0853      0.0000
  QRF01739_AACY022283709.1       52     -27.0853     -27.0853      0.0000
  QRF01739_ABPS01003770.1       123     -17.9089     -17.9089      0.0000
  QRF01739_AFEJ01000345.1        83     -12.9366     -12.9366      0.0000
  QRF00005_CABR01000029.1        73     -21.1115     -21.1115      0.0000
  QRF00005_AFSR01002788.1        74     -16.1084     -16.1084      0.0000
  QRF00005_CP000927.1            72     -17.1962     -17.1962      0.0000
  QRF00005_AY741371.1            72     -19.8687     -19.8687      0.0000
  QRF00005_AEGR01000006.1        73     -22.3637     -22.3637      0.0000
  QRF00005_CP001189.1            73     -14.5467     -14.5467      0.0000
  QRF00005_CP000493.1            72     -24.3361     -24.3361      0.0000
  QRF00005_AP012159.1            73     -14.5467     -14.5467      0.0000
  QRF00005_AM889285.1            73     -14.5467     -14.5467      0.0000
  QRF00005_AGFR01000003.1        73     -13.7847     -13.7847      0.0000
  QRF00005_AFCH01000046.1        73     -14.5467     -14.5467      0.0000
  QRF00005_ADTV01000009.1        73     -14.5467     -14.5467      0.0000
  QRF00005_ABCE01000025.1        73     -16.4746     -16.4746      0.0000
  QRF00005_HM565909.1            72     -19.7461     -19.7461      0.0000
  QRF00005_CAFG01000441.1        73     -19.2365     -19.2365      0.0000
  QRF00005_AACY020656879.1       72     -20.3335     -20.3335      0.0000
  QRF00005_CP001744.1            73     -16.2345     -16.2345      0.0000
  QRF00005_CP000880.1            73     -16.9695     -16.9695      0.0000
  QRF00005_CACD01000012.1        73     -16.9695     -16.9695      0.0000
  QRF00005_CACD01000012.1        73     -16.9695     -16.9695      0.0000
  QRF00005_CACD01000012.1        73     -16.9695     -16.9695      0.0000
  QRF00005_AM849034.1            74      -9.2491      -9.2491      0.0000
  QRF00005_AM711867.1            74      -9.2491      -9.2491      0.0000
  QRF00005_AEQT01000005.1        73     -16.9695     -16.9695      0.0000
  QRF00005_AEQT01000005.1        73     -16.9695     -16.9695      0.0000
  QRF00005_ACDJ01000003.1        73     -16.9695     -16.9695      0.0000
  QRF00005_ABWL02000007.1        73     -16.9695     -16.9695      0.0000
  QRF00005_Z71579.1              73     -18.5875     -18.5875      0.0000
  QRF00005_X53782.1              73     -18.5875     -18.5875      0.0000
  QRF00005_M19391.1              73     -18.5875     -18.5875      0.0000
  QRF00005_M15314.1              73     -18.5875     -18.5875      0.0000
  QRF00005_L42023.1              73     -18.5875     -18.5875      0.0000
  QRF00005_L42023.1              73     -18.5875     -18.5875      0.0000
