# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00080.cm
# date:    Sat May 14 02:48:49 2016
# seed:    1463194129
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  yybP-ykoY                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:14.67       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -29.6826     -29.6826      0.0000
  QRF01739_AGJC01000011.1        62     -34.2976     -34.2976      0.0000
  QRF01739_AP012205.1            62     -27.2939     -27.2939      0.0000
  QRF01739_AEPQ01000180.1        85     -22.0951     -22.0951      0.0000
  QRF01739_AACY023065314.1       57     -32.7556     -32.7556      0.0000
  QRF01739_AACY020081009.1       57     -32.7556     -32.7556      0.0000
  QRF01739_ACSK01000180.1        92     -23.8226     -23.8226      0.0000
  QRF01739_BA000039.2           113     -15.7625     -15.7625      0.0000
  QRF01739_AACY023081145.1       53     -35.9347     -35.9347      0.0000
  QRF01739_AFSR01000238.1        99     -26.6887     -26.6887      0.0000
  QRF01739_AGJC01000003.1        76     -28.4561     -28.4561      0.0000
  QRF01739_AFSR01000146.1        92     -27.3799     -27.3799      0.0000
  QRF01739_CACA01000349.1        84     -30.0804     -30.0804      0.0000
  QRF01739_AACY022751187.1       52     -35.3029     -35.3029      0.0000
  QRF01739_AACY022283709.1       52     -35.3029     -35.3029      0.0000
  QRF01739_ABPS01003770.1       123     -19.0260     -19.0260      0.0000
  QRF01739_AFEJ01000345.1        83     -30.9838     -30.9838      0.0000
  QRF00005_CABR01000029.1        73     -26.0039     -26.0039      0.0000
  QRF00005_AFSR01002788.1        74     -26.7653     -26.7653      0.0000
  QRF00005_CP000927.1            72     -24.6000     -24.6000      0.0000
  QRF00005_AY741371.1            72     -29.9930     -29.9930      0.0000
  QRF00005_AEGR01000006.1        73     -26.8879     -26.8879      0.0000
  QRF00005_CP001189.1            73     -25.7139     -25.7139      0.0000
  QRF00005_CP000493.1            72     -19.7594     -19.7594      0.0000
  QRF00005_AP012159.1            73     -25.7139     -25.7139      0.0000
  QRF00005_AM889285.1            73     -25.7139     -25.7139      0.0000
  QRF00005_AGFR01000003.1        73     -25.0179     -25.0179      0.0000
  QRF00005_AFCH01000046.1        73     -25.7139     -25.7139      0.0000
  QRF00005_ADTV01000009.1        73     -25.7139     -25.7139      0.0000
  QRF00005_ABCE01000025.1        73     -28.4113     -28.4113      0.0000
  QRF00005_HM565909.1            72     -29.2700     -29.2700      0.0000
  QRF00005_CAFG01000441.1        73     -28.0519     -28.0519      0.0000
  QRF00005_AACY020656879.1       72     -29.5062     -29.5062      0.0000
  QRF00005_CP001744.1            73     -31.8165     -31.8165      0.0000
  QRF00005_CP000880.1            73     -26.3562     -26.3562      0.0000
  QRF00005_CACD01000012.1        73     -26.3562     -26.3562      0.0000
  QRF00005_CACD01000012.1        73     -26.3562     -26.3562      0.0000
  QRF00005_CACD01000012.1        73     -26.3562     -26.3562      0.0000
  QRF00005_AM849034.1            74     -29.4925     -29.4925      0.0000
  QRF00005_AM711867.1            74     -29.4925     -29.4925      0.0000
  QRF00005_AEQT01000005.1        73     -26.3562     -26.3562      0.0000
  QRF00005_AEQT01000005.1        73     -26.3562     -26.3562      0.0000
  QRF00005_ACDJ01000003.1        73     -26.3562     -26.3562      0.0000
  QRF00005_ABWL02000007.1        73     -26.3562     -26.3562      0.0000
  QRF00005_Z71579.1              73     -28.5129     -28.5129      0.0000
  QRF00005_X53782.1              73     -28.5129     -28.5129      0.0000
  QRF00005_M19391.1              73     -28.5129     -28.5129      0.0000
