# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00362.cm
# date:    Sat May 14 03:12:07 2016
# seed:    1463195527
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pospi_RY                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:29.84       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.6529     -18.6529      0.0000
  QRF01739_AGJC01000011.1        62     -20.7944     -20.7944      0.0000
  QRF01739_AP012205.1            62     -18.3232     -18.3232      0.0000
  QRF01739_AEPQ01000180.1        85     -17.4885     -17.4885      0.0000
  QRF01739_AACY023065314.1       57     -22.3977     -22.3977      0.0000
  QRF01739_AACY020081009.1       57     -22.3977     -22.3977      0.0000
  QRF01739_ACSK01000180.1        92      -5.5865      -5.5865      0.0000
  QRF01739_BA000039.2           113     -15.7369     -15.7369      0.0000
  QRF01739_AACY023081145.1       53     -21.8373     -21.8373      0.0000
  QRF01739_AFSR01000238.1        99     -17.4162     -17.4162      0.0000
  QRF01739_AGJC01000003.1        76     -16.6870     -16.6870      0.0000
  QRF01739_AFSR01000146.1        92     -13.9333     -13.9333      0.0000
  QRF01739_CACA01000349.1        84     -20.4145     -20.4145      0.0000
  QRF01739_AACY022751187.1       52     -24.3606     -24.3606      0.0000
  QRF01739_AACY022283709.1       52     -24.3606     -24.3606      0.0000
  QRF01739_ABPS01003770.1       123      -7.0665      -7.0665      0.0000
  QRF01739_AFEJ01000345.1        83     -11.7332     -11.7332      0.0000
  QRF00005_CABR01000029.1        73     -14.4144     -14.4144      0.0000
  QRF00005_AFSR01002788.1        74     -20.2017     -20.2017      0.0000
  QRF00005_CP000927.1            72     -15.3977     -15.3977      0.0000
  QRF00005_AY741371.1            72     -17.5651     -17.5651      0.0000
  QRF00005_AEGR01000006.1        73     -16.4844     -16.4844      0.0000
  QRF00005_CP001189.1            73     -14.9490     -14.9490      0.0000
  QRF00005_CP000493.1            72     -17.6298     -17.6298      0.0000
  QRF00005_AP012159.1            73     -14.9490     -14.9490      0.0000
  QRF00005_AM889285.1            73     -14.9490     -14.9490      0.0000
  QRF00005_AGFR01000003.1        73     -18.3300     -18.3300      0.0000
  QRF00005_AFCH01000046.1        73     -14.9490     -14.9490      0.0000
  QRF00005_ADTV01000009.1        73     -14.9490     -14.9490      0.0000
  QRF00005_ABCE01000025.1        73     -17.2769     -17.2769      0.0000
  QRF00005_HM565909.1            72     -17.2531     -17.2531      0.0000
  QRF00005_CAFG01000441.1        73     -10.4364     -10.4364      0.0000
  QRF00005_AACY020656879.1       72     -13.1231     -13.1231      0.0000
  QRF00005_CP001744.1            73     -17.0436     -17.0436      0.0000
  QRF00005_CP000880.1            73     -11.1860     -11.1860      0.0000
  QRF00005_CACD01000012.1        73     -11.1860     -11.1860      0.0000
