# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01056.cm
# date:    Sat May 14 02:35:41 2016
# seed:    1463193341
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Mg_sensor                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:57.26       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -36.3033     -36.3033      0.0000
  QRF01739_AGJC01000011.1        62     -34.8181     -34.8181      0.0000
  QRF01739_AP012205.1            62     -30.6195     -30.6195      0.0000
  QRF01739_AEPQ01000180.1        85     -18.2582     -18.2582      0.0000
  QRF01739_AACY023065314.1       57     -31.7653     -31.7653      0.0000
  QRF01739_AACY020081009.1       57     -31.7653     -31.7653      0.0000
  QRF01739_ACSK01000180.1        92     -23.6610     -23.6610      0.0000
  QRF01739_BA000039.2           113     -11.6250     -11.6250      0.0000
  QRF01739_AACY023081145.1       53     -35.0996     -35.0996      0.0000
  QRF01739_AFSR01000238.1        99     -26.1177     -26.1177      0.0000
  QRF01739_AGJC01000003.1        76     -21.3112     -21.3112      0.0000
  QRF01739_AFSR01000146.1        92     -27.4759     -27.4759      0.0000
  QRF01739_CACA01000349.1        84     -28.1060     -28.1060      0.0000
  QRF01739_AACY022751187.1       52     -33.2751     -33.2751      0.0000
  QRF01739_AACY022283709.1       52     -33.2751     -33.2751      0.0000
  QRF01739_ABPS01003770.1       123     -22.3540     -22.3540      0.0000
  QRF01739_AFEJ01000345.1        83     -21.6438     -21.6438      0.0000
  QRF00005_CABR01000029.1        73     -31.1482     -31.1482      0.0000
  QRF00005_AFSR01002788.1        74     -32.0133     -32.0133      0.0000
  QRF00005_CP000927.1            72     -30.8836     -30.8836      0.0000
  QRF00005_AY741371.1            72     -29.9910     -29.9910      0.0000
  QRF00005_AEGR01000006.1        73     -26.3906     -26.3906      0.0000
  QRF00005_CP001189.1            73     -29.4965     -29.4965      0.0000
  QRF00005_CP000493.1            72     -30.8313     -30.8313      0.0000
  QRF00005_AP012159.1            73     -29.4965     -29.4965      0.0000
  QRF00005_AM889285.1            73     -29.4965     -29.4965      0.0000
  QRF00005_AGFR01000003.1        73     -29.5765     -29.5765      0.0000
  QRF00005_AFCH01000046.1        73     -29.4965     -29.4965      0.0000
  QRF00005_ADTV01000009.1        73     -29.4965     -29.4965      0.0000
  QRF00005_ABCE01000025.1        73     -31.5389     -31.5389      0.0000
  QRF00005_HM565909.1            72     -32.2538     -32.2538      0.0000
  QRF00005_CAFG01000441.1        73     -28.9271     -28.9271      0.0000
  QRF00005_AACY020656879.1       72     -32.8408     -32.8408      0.0000
  QRF00005_CP001744.1            73     -31.0771     -31.0771      0.0000
  QRF00005_CP000880.1            73     -30.1158     -30.1158      0.0000
  QRF00005_CACD01000012.1        73     -30.1158     -30.1158      0.0000
  QRF00005_CACD01000012.1        73     -30.1158     -30.1158      0.0000
  QRF00005_CACD01000012.1        73     -30.1158     -30.1158      0.0000
  QRF00005_AM849034.1            74     -24.5165     -24.5165      0.0000
  QRF00005_AM711867.1            74     -24.5165     -24.5165      0.0000
  QRF00005_AEQT01000005.1        73     -30.1158     -30.1158      0.0000
  QRF00005_AEQT01000005.1        73     -30.1158     -30.1158      0.0000
  QRF00005_ACDJ01000003.1        73     -30.1158     -30.1158      0.0000
  QRF00005_ABWL02000007.1        73     -30.1158     -30.1158      0.0000
  QRF00005_Z71579.1              73     -29.6347     -29.6347      0.0000
  QRF00005_X53782.1              73     -29.6347     -29.6347      0.0000
  QRF00005_M19391.1              73     -29.6347     -29.6347      0.0000
  QRF00005_M15314.1              73     -29.6347     -29.6347      0.0000
  QRF00005_L42023.1              73     -29.6347     -29.6347      0.0000
  QRF00005_L42023.1              73     -29.6347     -29.6347      0.0000
  QRF00005_L42023.1              73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670204.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670204.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670204.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670178.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670178.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670178.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ670178.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ312006.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ312006.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ312006.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ312002.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ312002.1            73     -29.6347     -29.6347      0.0000
  QRF00005_FQ312002.1            73     -29.6347     -29.6347      0.0000
  QRF00005_EF196803.1            73     -29.6347     -29.6347      0.0000
  QRF00005_EF196803.1            73     -29.6347     -29.6347      0.0000
  QRF00005_CP003022.1            73     -29.6347     -29.6347      0.0000
  QRF00001_EU093378.1           119     -11.3484     -11.3484      0.0000
  QRF00001_AAAA02047827.1       119      -8.2384      -8.2384      0.0000
  QRF00001_AAAA02043281.1       119     -10.0894     -10.0894      0.0000
  QRF00001_EF064700.1           119      -8.5004      -8.5004      0.0000
  QRF00001_EF064692.1           119      -8.5004      -8.5004      0.0000
  QRF00001_EF064687.1           119      -8.5004      -8.5004      0.0000
  QRF00001_EF064680.1           119      -8.5004      -8.5004      0.0000
  QRF00001_EF064678.1           119      -8.5004      -8.5004      0.0000
  QRF00001_EF064556.1           119      -8.5004      -8.5004      0.0000
  QRF00001_AJ390135.1           119      -8.5004      -8.5004      0.0000
  QRF00001_HQ270965.1           119      -8.2384      -8.2384      0.0000
  QRF00001_GQ324770.1           119      -8.2384      -8.2384      0.0000
  QRF00001_FJ882503.1           119      -8.2384      -8.2384      0.0000
  QRF00001_AF550740.1           119      -8.2384      -8.2384      0.0000
  QRF00001_HQ270648.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU924818.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU093153.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EF524209.1           119      -9.2264      -9.2264      0.0000
  QRF00001_AY316209.1           119      -9.2264      -9.2264      0.0000
  QRF00001_AY034674.1           119      -9.2264      -9.2264      0.0000
  QRF00001_AJ409525.1           119      -9.2264      -9.2264      0.0000
  QRF00001_AF550715.1           119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01010155.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01009775.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01009775.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01009775.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01009135.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01009119.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01009117.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005845.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005845.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005844.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005841.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005839.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005838.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005838.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005835.1       119      -9.2264      -9.2264      0.0000
  QRF00001_ABXC01005835.1       119      -9.2264      -9.2264      0.0000
  QRF00001_AAAA02039752.1       119      -9.2264      -9.2264      0.0000
  QRF00001_EU925066.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU093209.1           119      -9.2264      -9.2264      0.0000
  QRF00001_U02637.1             119      -9.2264      -9.2264      0.0000
  QRF00001_EU439291.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439286.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439284.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439282.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439280.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439279.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439278.1           119      -9.2264      -9.2264      0.0000
  QRF00001_EU439277.1           119      -9.2264      -9.2264      0.0000
  QRF01704_ACNY01000005.1        62     -32.1566     -32.1566      0.0000
  QRF01704_ADXL01000065.1        61     -25.2224     -25.2224      0.0000
  QRF01704_ADXL01000046.1        61     -22.3720     -22.3720      0.0000
  QRF01704_ADHP01001127.1        63     -28.8211     -28.8211      0.0000
  QRF01704_ADXM01000029.1        71     -30.5722     -30.5722      0.0000
  QRF01704_FJ869257.1            62     -28.2900     -28.2900      0.0000
  QRF01704_BX569692.1            62     -28.2900     -28.2900      0.0000
  QRF01704_AACY023835177.1       64     -34.1811     -34.1811      0.0000
  QRF01704_ACNY01000003.1        61     -34.1845     -34.1845      0.0000
  QRF01704_AACY020212823.1       62     -26.3949     -26.3949      0.0000
  QRF01704_GQ237222.1            58     -30.1682     -30.1682      0.0000
  QRF01704_ADHP01000860.1        64     -29.6744     -29.6744      0.0000
  QRF01704_AACY020313707.1       62     -29.0035     -29.0035      0.0000
  QRF01704_ACDW01000004.1        62     -23.7839     -23.7839      0.0000
  QRF01704_AACY022014507.1       62     -26.4849     -26.4849      0.0000
  QRF01704_ADHP01000878.1        59     -35.3092     -35.3092      0.0000
  QRF01704_AACY022415810.1       58     -36.9926     -36.9926      0.0000
  QRF01704_AACY020575673.1       58     -36.9926     -36.9926      0.0000
  QRF01704_ACNY01000005.1        59     -27.3766     -27.3766      0.0000
  QRF01704_ADHP01000854.1        63     -29.2328     -29.2328      0.0000
  QRF01704_GU936714.1            59     -33.7703     -33.7703      0.0000
  QRF01704_AACY021622950.1       62     -26.3949     -26.3949      0.0000
  QRF01704_CP000825.1            58     -30.5779     -30.5779      0.0000
  QRF01704_EU795157.1            64     -26.5826     -26.5826      0.0000
  QRF01704_ABVN01004790.1        61     -29.9515     -29.9515      0.0000
  QRF01704_ABMN01086741.1        60     -31.4968     -31.4968      0.0000
  QRF01704_DQ325539.1            60     -30.0371     -30.0371      0.0000
  QRF01704_ACNY01000005.1        62     -33.0922     -33.0922      0.0000
  QRF01704_ACNY01000004.1        60     -28.8238     -28.8238      0.0000
  QRF01704_ABVT01000061.1        57     -27.4784     -27.4784      0.0000
  QRF00023_CP001665.1           363     -12.8148     -12.8148      0.0000
  QRF00023_CP001509.3           363     -12.8148     -12.8148      0.0000
  QRF00023_CP000819.1           363     -12.8148     -12.8148      0.0000
  QRF00023_AM946981.2           363     -12.8148     -12.8148      0.0000
  QRF00023_ADTQ01000184.1       363     -12.8148     -12.8148      0.0000
  QRF00023_ADBT01000188.1       363     -12.8148     -12.8148      0.0000
  QRF00023_FN543093.2           364     -14.9926     -14.9926      0.0000
  QRF00023_AFAG01000033.1       363     -13.3698     -13.3698      0.0000
  QRF00023_AFAF01000014.1       363     -13.3698     -13.3698      0.0000
  QRF00023_ADUS01000034.1       363     -13.3698     -13.3698      0.0000
  QRF00023_U36840.1             363     -12.2477     -12.2477      0.0000
  QRF00023_FN649414.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CU928162.2           363     -12.2477     -12.2477      0.0000
  QRF00023_CU928161.2           363     -12.2477     -12.2477      0.0000
  QRF00023_CU928158.2           363     -12.2477     -12.2477      0.0000
  QRF00023_CU651637.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP003034.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002797.2           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002729.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002516.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002212.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002211.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002185.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP002167.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP001969.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP001855.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP001671.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP001637.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP001396.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP001383.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP000970.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP000948.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP000802.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP000243.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CP000038.1           363     -12.2477     -12.2477      0.0000
  QRF00023_CAFL01000074.1       363     -12.2477     -12.2477      0.0000
  QRF00023_CADZ01000057.1       363     -12.2477     -12.2477      0.0000
  QRF00023_BAAV01002786.1       363     -12.2477     -12.2477      0.0000
  QRF00023_AP012030.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AP010960.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AP010958.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AP010953.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AP009378.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AP009240.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AP009048.1           363     -12.2477     -12.2477      0.0000
  QRF00023_AJ304858.2           363     -12.2477     -12.2477      0.0000
  QRF00023_AGTK01000236.1       363     -12.2477     -12.2477      0.0000
  QRF00023_AGTJ01000345.1       363     -12.2477     -12.2477      0.0000
  QRF00023_AGTI01000029.1       363     -12.2477     -12.2477      0.0000
  QRF00023_AGTH01000033.1       363     -12.2477     -12.2477      0.0000
  QRF00010_CP002738.1           351     -16.1427     -16.1427      0.0000
  QRF00010_ABSP01001676.1       350     -12.8656     -12.8656      0.0000
  QRF00010_FO082060.1           365     -11.3063     -11.3063      0.0000
  QRF00010_AFJF01000001.1       394      -9.0449      -9.0449      0.0000
  QRF00010_AEGW02000003.1       350      -8.4850      -8.4850      0.0000
  QRF00010_CP002086.1           354     -12.6488     -12.6488      0.0000
  QRF00010_ACJN02000001.1       533     -13.5627     -13.5627      0.0000
  QRF00010_CP002881.1           360     -12.9843     -12.9843      0.0000
  QRF00010_AFOH01000117.1       345     -14.3054     -14.3054      0.0000
  QRF00010_AACY020185705.1      350     -15.5422     -15.5422      0.0000
  QRF00010_AGSX01000193.1       359     -12.9843     -12.9843      0.0000
  QRF00010_AFWT01000009.1       368     -10.7692     -10.7692      0.0000
  QRF00010_FM209186.1           350     -13.4076     -13.4076      0.0000
  QRF00010_CP002496.1           350     -13.4076     -13.4076      0.0000
  QRF00010_CP000438.1           350     -13.4076     -13.4076      0.0000
  QRF00010_BADP01000198.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AP012280.1           350     -13.4076     -13.4076      0.0000
  QRF00010_AFXK01000001.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AFXJ01000001.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AFXI01000001.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AFNF01000315.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AEVW01000050.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AEVV01000076.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AEEX01000069.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AE004091.2           350     -13.4076     -13.4076      0.0000
  QRF00010_ACWU01000204.1       350     -13.4076     -13.4076      0.0000
  QRF00010_ABKZ01000485.1       350     -13.4076     -13.4076      0.0000
  QRF00010_CP002622.1           360     -12.9843     -12.9843      0.0000
  QRF00010_ABYY01000008.1       344      -9.7494      -9.7494      0.0000
  QRF00010_AACY020062040.1      355     -12.9721     -12.9721      0.0000
  QRF00010_AACY023745699.1      347      -4.1467      -4.1467      0.0000
  QRF00010_AGTR01000084.1       350     -15.7822     -15.7822      0.0000
  QRF00010_CP000937.1           344      -9.7494      -9.7494      0.0000
  QRF00010_ACKY01000130.1       336     -11.5560     -11.5560      0.0000
  QRF00010_AAQW01000001.1       350     -13.4076     -13.4076      0.0000
  QRF00010_AFZB01000010.1       349      -9.8854      -9.8854      0.0000
  QRF00010_AFOC01000030.1       349      -9.8854      -9.8854      0.0000
  QRF00010_ABSG01000028.1       354     -14.3158     -14.3158      0.0000
  QRF00010_ABSP01006958.1       367     -10.5323     -10.5323      0.0000
  QRF00010_CP000744.1           350     -13.4076     -13.4076      0.0000
  QRF00010_CP001978.1           350     -16.6132     -16.6132      0.0000
  QRF00010_AP011529.1           404     -11.1120     -11.1120      0.0000
  QRF00010_AGBG01000003.1       351     -14.8932     -14.8932      0.0000
  QRF00010_CR628336.1           373      -9.8524      -9.8524      0.0000
  QRF00010_CP001649.1           366     -12.2129     -12.2129      0.0000
  QRF00010_CP002870.1           360     -20.2348     -20.2348      0.0000
  QRF00010_AFFX01000011.1       358     -14.7752     -14.7752      0.0000
  QRF00010_CP002727.1           350     -14.7782     -14.7782      0.0000
  QRF00010_CP001798.1           351     -13.8872     -13.8872      0.0000
  QRF00010_AATN01000057.1       365     -16.7805     -16.7805      0.0000
  QRF01695_CP001875.2            88     -24.5808     -24.5808      0.0000
  QRF01695_AEAF01000460.1        87     -28.3454     -31.0317      2.6863
  QRF01695_AGAS01001096.1        87     -28.9995     -28.9995      0.0000
  QRF01695_AEAI01001819.1        87     -28.9995     -28.9995      0.0000
  QRF01695_AEAI01000880.1        87     -28.9995     -28.9995      0.0000
  QRF01695_ADMI01000085.1        87     -28.9995     -28.9995      0.0000
  QRF01695_BAEF01000009.1        88     -22.9896     -22.9896      0.0000
  QRF01695_AFTG01000340.1        87     -28.3454     -31.4777      3.1323
  QRF01695_HM236454.1            88     -24.2966     -24.2966      0.0000
  QRF01695_AM181176.4            87     -21.0990     -21.0990      0.0000
  QRF01695_AGFS01032870.1        87     -28.6429     -28.6429      0.0000
  QRF01695_AGCS01000002.1        87     -24.7008     -25.1996      0.4988
  QRF01695_AGCS01000002.1        87     -24.7594     -24.7594      0.0000
  QRF01695_CP002154.1            87     -25.9119     -25.9119      0.0000
  QRF01695_AEDL01000013.1        88     -27.5435     -27.5435      0.0000
  QRF01695_AGFS01106545.1        85     -23.4871     -23.4871      0.0000
  QRF01695_AGFS01092185.1        85     -23.4871     -23.4871      0.0000
  QRF01695_AFTG01000021.1        87     -27.2589     -27.2589      0.0000
  QRF01695_AM181176.4            87     -26.2160     -26.2160      0.0000
  QRF01695_HM752578.1            87     -23.1879     -23.1879      0.0000
  QRF01695_AGCS01000012.1        87     -28.1859     -28.1859      0.0000
  QRF01695_CADX01000041.1        88     -26.4430     -26.4430      0.0000
  QRF01695_CADW01000337.1        88     -26.4430     -26.4430      0.0000
  QRF01695_AGFS01169096.1        87     -27.9750     -27.9750      0.0000
  QRF01695_ACOQ01000013.1        87     -24.8765     -24.8765      0.0000
  QRF01695_AFOY01000061.1        86     -25.0700     -25.0700      0.0000
  QRF01695_AFOY01000051.1        87     -27.3455     -28.5083      1.1627
  QRF01695_AFOY01000012.1        86     -25.3511     -25.3511      0.0000
  QRF01695_CADX01000050.1        87     -23.7697     -23.7697      0.0000
  QRF01695_CADW01000142.1        87     -23.7697     -23.7697      0.0000
  QRF01695_BABY01000089.1        88     -27.0252     -27.0252      0.0000
  QRF01695_AFOY01000127.1        87     -27.4409     -33.3463      5.9054
  QRF01695_AF074874.1            88     -29.2612     -29.2612      0.0000
  QRF01695_AEAZ01000014.1        87     -22.5819     -24.8961      2.3142
  QRF01695_AFDY01000012.1        88     -23.4968     -23.4968      0.0000
  QRF01695_AELB01000018.1        88     -23.4968     -23.4968      0.0000
  QRF01695_AEAH01001308.1        87     -20.4520     -20.4520      0.0000
  QRF01695_CP002870.1            87     -24.4021     -24.4021      0.0000
  QRF01695_CADX01000071.1        86     -21.2246     -21.2246      0.0000
  QRF01695_CADW01000082.1        86     -21.2246     -21.2246      0.0000
  QRF01695_AGFS01033379.1        87     -27.8191     -27.8191      0.0000
  QRF01695_ADWS01000024.1        88     -27.3235     -27.3235      0.0000
  QRF01695_AFOY01000118.1        88     -22.6192     -22.6192      0.0000
  QRF01695_CP001657.1            88     -22.7065     -22.7065      0.0000
  QRF01695_CP001600.1            88     -26.2228     -26.2228      0.0000
  QRF01695_AERT01000006.1        88     -25.5064     -25.5064      0.0000
  QRF01695_ADUM01000119.1        88     -25.5064     -25.5064      0.0000
  QRF01695_AEAZ01000003.1        87     -27.7669     -27.7669      0.0000
  QRF01695_CP002585.1            87     -23.5706     -23.5706      0.0000
  QRF01695_CP002956.1            87     -23.0902     -23.0902      0.0000
  QRF01717_ADHP01001027.1        96     -16.5903     -16.5903      0.0000
  QRF01717_ADHP01001105.1        95     -15.5997     -15.5997      0.0000
  QRF01717_AACY020938794.1       96     -14.7220     -14.7220      0.0000
  QRF01717_AACY020892510.1       96     -14.7220     -14.7220      0.0000
  QRF01717_ADHP01000841.1        97     -14.3248     -14.3248      0.0000
  QRF01717_AACY022722874.1       96     -13.7566     -13.7566      0.0000
  QRF01717_ADHP01001079.1        96     -13.7807     -13.7807      0.0000
  QRF01717_ADHP01001075.1        95     -12.3179     -12.3179      0.0000
  QRF01717_AACY023901257.1       96     -14.2628     -14.2628      0.0000
  QRF01717_ADHP01001080.1        95     -13.2078     -13.2078      0.0000
  QRF01717_ADHP01001078.1        95     -11.9422     -11.9422      0.0000
  QRF01717_ADHP01000280.1        95     -13.2078     -13.2078      0.0000
  QRF01717_ADHP01001029.1        95     -13.0333     -13.0333      0.0000
  QRF01717_ADHP01001072.1        96     -15.9979     -15.9979      0.0000
  QRF01717_ADHP01001028.1        96     -17.3018     -17.3018      0.0000
  QRF01717_ADHP01001120.1        94     -13.1929     -13.1929      0.0000
  QRF01717_ADHP01001071.1        94     -15.6586     -15.6586      0.0000
  QRF01717_ADHP01000285.1        94     -15.6586     -15.6586      0.0000
  QRF01717_ADHP01001079.1        96     -13.2078     -13.2078      0.0000
  QRF01717_AACY020414121.1       93     -14.4642     -14.4642      0.0000
  QRF01717_ADHP01000834.1        95     -12.2914     -12.2914      0.0000
  QRF01717_ADHP01000284.1        97     -11.1283     -11.1283      0.0000
  QRF01717_ADHP01001073.1        95     -13.2078     -13.2078      0.0000
  QRF01717_ADHP01000988.1        95     -13.2078     -13.2078      0.0000
  QRF01717_ADHP01001074.1        95     -13.2078     -13.2078      0.0000
  QRF01717_AACY020342010.1       96      -9.8356      -9.8356      0.0000
  QRF01717_ADHP01001076.1        95     -13.0333     -13.0333      0.0000
  QRF01717_GU071106.1            95     -11.7637     -11.7637      0.0000
  QRF01717_ABMN01142691.1        96      -8.0072      -8.0072      0.0000
