# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01983.cm
# date:    Fri May 13 23:37:53 2016
# seed:    1463182673
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pinc                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:22.93       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -56.9664     -56.9664      0.0000
  QRF01739_AGJC01000011.1        62     -60.2053     -60.2053      0.0000
  QRF01739_AP012205.1            62     -61.4333     -61.4333      0.0000
  QRF01739_AEPQ01000180.1        85     -57.1320     -57.1320      0.0000
  QRF01739_AACY023065314.1       57     -65.6307     -65.6307      0.0000
  QRF01739_AACY020081009.1       57     -65.6307     -65.6307      0.0000
  QRF01739_ACSK01000180.1        92     -58.8861     -58.8861      0.0000
  QRF01739_BA000039.2           113     -37.6482     -37.6482      0.0000
  QRF01739_AACY023081145.1       53     -64.5189     -64.5189      0.0000
  QRF01739_AFSR01000238.1        99     -51.0258     -51.0258      0.0000
  QRF01739_AGJC01000003.1        76     -60.5433     -60.5433      0.0000
  QRF01739_AFSR01000146.1        92     -58.7931     -58.7931      0.0000
  QRF01739_CACA01000349.1        84     -64.8217     -64.8217      0.0000
  QRF01739_AACY022751187.1       52     -71.7909     -71.7909      0.0000
  QRF01739_AACY022283709.1       52     -71.7909     -71.7909      0.0000
  QRF01739_ABPS01003770.1       123     -34.7569     -34.7569      0.0000
  QRF01739_AFEJ01000345.1        83     -56.6426     -56.6426      0.0000
  QRF00005_CABR01000029.1        73     -53.1617     -53.1617      0.0000
  QRF00005_AFSR01002788.1        74     -43.4205     -43.4205      0.0000
  QRF00005_CP000927.1            72     -51.4942     -51.4942      0.0000
  QRF00005_AY741371.1            72     -58.6536     -58.6536      0.0000
  QRF00005_AEGR01000006.1        73     -54.9747     -54.9747      0.0000
  QRF00005_CP001189.1            73     -46.5457     -46.5457      0.0000
  QRF00005_CP000493.1            72     -49.8973     -49.8973      0.0000
  QRF00005_AP012159.1            73     -46.5457     -46.5457      0.0000
  QRF00005_AM889285.1            73     -46.5457     -46.5457      0.0000
  QRF00005_AGFR01000003.1        73     -46.6252     -46.6252      0.0000
  QRF00005_AFCH01000046.1        73     -46.5457     -46.5457      0.0000
  QRF00005_ADTV01000009.1        73     -46.5457     -46.5457      0.0000
  QRF00005_ABCE01000025.1        73     -43.8156     -43.8156      0.0000
  QRF00005_HM565909.1            72     -57.5107     -57.5107      0.0000
  QRF00005_CAFG01000441.1        73     -57.2582     -57.2582      0.0000
  QRF00005_AACY020656879.1       72     -55.7553     -55.7553      0.0000
  QRF00005_CP001744.1            73     -48.8851     -48.8851      0.0000
  QRF00005_CP000880.1            73     -49.3225     -49.3225      0.0000
  QRF00005_CACD01000012.1        73     -49.3225     -49.3225      0.0000
  QRF00005_CACD01000012.1        73     -49.3225     -49.3225      0.0000
  QRF00005_CACD01000012.1        73     -49.3225     -49.3225      0.0000
  QRF00005_AM849034.1            74     -53.5831     -53.5831      0.0000
  QRF00005_AM711867.1            74     -53.5831     -53.5831      0.0000
  QRF00005_AEQT01000005.1        73     -49.3225     -49.3225      0.0000
  QRF00005_AEQT01000005.1        73     -49.3225     -49.3225      0.0000
  QRF00005_ACDJ01000003.1        73     -49.3225     -49.3225      0.0000
  QRF00005_ABWL02000007.1        73     -49.3225     -49.3225      0.0000
  QRF00005_Z71579.1              73     -54.3518     -54.3518      0.0000
  QRF00005_X53782.1              73     -54.3518     -54.3518      0.0000
  QRF00005_M19391.1              73     -54.3518     -54.3518      0.0000
  QRF00005_M15314.1              73     -54.3518     -54.3518      0.0000
  QRF00005_L42023.1              73     -54.3518     -54.3518      0.0000
  QRF00005_L42023.1              73     -54.3518     -54.3518      0.0000
  QRF00005_L42023.1              73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670204.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670204.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670204.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670178.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670178.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670178.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ670178.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ312006.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ312006.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ312006.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ312002.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ312002.1            73     -54.3518     -54.3518      0.0000
  QRF00005_FQ312002.1            73     -54.3518     -54.3518      0.0000
  QRF00005_EF196803.1            73     -54.3518     -54.3518      0.0000
  QRF00005_EF196803.1            73     -54.3518     -54.3518      0.0000
  QRF00005_CP003022.1            73     -54.3518     -54.3518      0.0000
  QRF00001_EU093378.1           119     -39.5602     -39.5602      0.0000
  QRF00001_AAAA02047827.1       119     -40.7282     -40.7282      0.0000
  QRF00001_AAAA02043281.1       119     -43.0964     -43.0964      0.0000
  QRF00001_EF064700.1           119     -39.4562     -39.4562      0.0000
  QRF00001_EF064692.1           119     -39.4562     -39.4562      0.0000
  QRF00001_EF064687.1           119     -39.4562     -39.4562      0.0000
  QRF00001_EF064680.1           119     -39.4562     -39.4562      0.0000
  QRF00001_EF064678.1           119     -39.4562     -39.4562      0.0000
  QRF00001_EF064556.1           119     -39.4562     -39.4562      0.0000
  QRF00001_AJ390135.1           119     -39.4562     -39.4562      0.0000
  QRF00001_HQ270965.1           119     -40.7282     -40.7282      0.0000
  QRF00001_GQ324770.1           119     -40.7282     -40.7282      0.0000
  QRF00001_FJ882503.1           119     -40.7282     -40.7282      0.0000
  QRF00001_AF550740.1           119     -40.7282     -40.7282      0.0000
  QRF00001_HQ270648.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU924818.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU093153.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EF524209.1           119     -40.7282     -40.7282      0.0000
  QRF00001_AY316209.1           119     -40.7282     -40.7282      0.0000
  QRF00001_AY034674.1           119     -40.7282     -40.7282      0.0000
  QRF00001_AJ409525.1           119     -40.7282     -40.7282      0.0000
  QRF00001_AF550715.1           119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01010155.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01009775.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01009775.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01009775.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01009135.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01009119.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01009117.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005845.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005845.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005844.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005841.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005839.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005838.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005838.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005835.1       119     -40.7282     -40.7282      0.0000
  QRF00001_ABXC01005835.1       119     -40.7282     -40.7282      0.0000
  QRF00001_AAAA02039752.1       119     -40.1562     -40.1562      0.0000
  QRF00001_EU925066.1           119     -42.4798     -42.4798      0.0000
  QRF00001_EU093209.1           119     -42.4798     -42.4798      0.0000
  QRF00001_U02637.1             119     -40.7282     -40.7282      0.0000
  QRF00001_EU439291.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439286.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439284.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439282.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439280.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439279.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439278.1           119     -40.7282     -40.7282      0.0000
  QRF00001_EU439277.1           119     -40.7282     -40.7282      0.0000
  QRF01704_ACNY01000005.1        62     -63.4168     -63.4168      0.0000
  QRF01704_ADXL01000065.1        61     -58.8412     -58.8412      0.0000
  QRF01704_ADXL01000046.1        61     -63.0274     -63.0274      0.0000
  QRF01704_ADHP01001127.1        63     -67.5806     -67.5806      0.0000
  QRF01704_ADXM01000029.1        71     -54.1138     -54.1138      0.0000
  QRF01704_FJ869257.1            62     -61.9914     -61.9914      0.0000
  QRF01704_BX569692.1            62     -61.9914     -61.9914      0.0000
  QRF01704_AACY023835177.1       64     -65.0133     -65.0133      0.0000
  QRF01704_ACNY01000003.1        61     -68.6248     -68.6248      0.0000
  QRF01704_AACY020212823.1       62     -65.0958     -65.0958      0.0000
  QRF01704_GQ237222.1            58     -67.2581     -67.2581      0.0000
  QRF01704_ADHP01000860.1        64     -64.3630     -64.3630      0.0000
  QRF01704_AACY020313707.1       62     -64.8751     -64.8751      0.0000
  QRF01704_ACDW01000004.1        62     -65.5639     -65.5639      0.0000
  QRF01704_AACY022014507.1       62     -66.3420     -66.3420      0.0000
  QRF01704_ADHP01000878.1        59     -68.9228     -68.9228      0.0000
  QRF01704_AACY022415810.1       58     -66.9876     -66.9876      0.0000
  QRF01704_AACY020575673.1       58     -66.9876     -66.9876      0.0000
  QRF01704_ACNY01000005.1        59     -69.9026     -69.9026      0.0000
  QRF01704_ADHP01000854.1        63     -67.1634     -67.1634      0.0000
  QRF01704_GU936714.1            59     -73.7763     -73.7763      0.0000
  QRF01704_AACY021622950.1       62     -66.3605     -66.3605      0.0000
  QRF01704_CP000825.1            58     -68.0026     -68.0026      0.0000
  QRF01704_EU795157.1            64     -64.0487     -64.0487      0.0000
  QRF01704_ABVN01004790.1        61     -62.8072     -62.8072      0.0000
  QRF01704_ABMN01086741.1        60     -67.6192     -67.6192      0.0000
  QRF01704_DQ325539.1            60     -67.0479     -67.0479      0.0000
  QRF01704_ACNY01000005.1        62     -62.5515     -62.5515      0.0000
  QRF01704_ACNY01000004.1        60     -66.1548     -66.1548      0.0000
  QRF01704_ABVT01000061.1        57     -71.0105     -71.0105      0.0000
  QRF00023_CP001665.1           363      -8.0748      -8.0748      0.0000
  QRF00023_CP001509.3           363      -8.0748      -8.0748      0.0000
  QRF00023_CP000819.1           363      -8.0748      -8.0748      0.0000
  QRF00023_AM946981.2           363      -8.0748      -8.0748      0.0000
  QRF00023_ADTQ01000184.1       363      -8.0748      -8.0748      0.0000
  QRF00023_ADBT01000188.1       363      -8.0748      -8.0748      0.0000
  QRF00023_FN543093.2           364     -10.9516     -10.9516      0.0000
  QRF00023_AFAG01000033.1       363      -8.0748      -8.0748      0.0000
  QRF00023_AFAF01000014.1       363      -8.0748      -8.0748      0.0000
  QRF00023_ADUS01000034.1       363      -8.0748      -8.0748      0.0000
