# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01978.cm
# date:    Fri May 13 21:30:38 2016
# seed:    1463175038
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HOTAIRM1_4                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:43.08       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -31.3604     -31.3604      0.0000
  QRF01739_AGJC01000011.1        62     -24.3717     -24.3717      0.0000
  QRF01739_AP012205.1            62     -27.2995     -27.2995      0.0000
  QRF01739_AEPQ01000180.1        85     -18.7545     -18.7545      0.0000
  QRF01739_AACY023065314.1       57     -24.0945     -24.0945      0.0000
  QRF01739_AACY020081009.1       57     -24.0945     -24.0945      0.0000
  QRF01739_ACSK01000180.1        92     -26.2305     -26.2305      0.0000
  QRF01739_BA000039.2           113     -16.5729     -16.5729      0.0000
  QRF01739_AACY023081145.1       53     -32.2897     -32.2897      0.0000
  QRF01739_AFSR01000238.1        99     -22.8469     -22.8469      0.0000
  QRF01739_AGJC01000003.1        76     -30.9685     -30.9685      0.0000
  QRF01739_AFSR01000146.1        92     -28.4215     -28.4215      0.0000
  QRF01739_CACA01000349.1        84     -24.3439     -24.3439      0.0000
  QRF01739_AACY022751187.1       52     -32.9454     -32.9454      0.0000
  QRF01739_AACY022283709.1       52     -32.9454     -32.9454      0.0000
  QRF01739_ABPS01003770.1       123     -21.2926     -21.2926      0.0000
  QRF01739_AFEJ01000345.1        83     -23.0965     -23.0965      0.0000
  QRF00005_CABR01000029.1        73     -24.6131     -24.6131      0.0000
  QRF00005_AFSR01002788.1        74     -19.7261     -19.7261      0.0000
  QRF00005_CP000927.1            72     -17.0110     -17.0110      0.0000
  QRF00005_AY741371.1            72     -23.7475     -23.7475      0.0000
  QRF00005_AEGR01000006.1        73     -18.9894     -18.9894      0.0000
  QRF00005_CP001189.1            73     -23.4836     -23.4836      0.0000
  QRF00005_CP000493.1            72     -31.2487     -31.2487      0.0000
  QRF00005_AP012159.1            73     -23.4836     -23.4836      0.0000
  QRF00005_AM889285.1            73     -23.4836     -23.4836      0.0000
  QRF00005_AGFR01000003.1        73     -23.5302     -23.5302      0.0000
  QRF00005_AFCH01000046.1        73     -23.4836     -23.4836      0.0000
  QRF00005_ADTV01000009.1        73     -23.4836     -23.4836      0.0000
  QRF00005_ABCE01000025.1        73     -17.6639     -17.6639      0.0000
  QRF00005_HM565909.1            72     -22.8841     -22.8841      0.0000
  QRF00005_CAFG01000441.1        73     -20.0714     -20.0714      0.0000
  QRF00005_AACY020656879.1       72     -20.7627     -20.7627      0.0000
  QRF00005_CP001744.1            73     -19.7414     -19.7414      0.0000
  QRF00005_CP000880.1            73     -12.0580     -12.0580      0.0000
  QRF00005_CACD01000012.1        73     -12.0580     -12.0580      0.0000
  QRF00005_CACD01000012.1        73     -12.0580     -12.0580      0.0000
  QRF00005_CACD01000012.1        73     -12.0580     -12.0580      0.0000
  QRF00005_AM849034.1            74     -11.1831     -11.1831      0.0000
