# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01715.cm
# date:    Sun May  8 20:48:41 2016
# seed:    1462715321
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pedo-repair                search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:01.03       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -74.1963     -74.1963      0.0000
  trna_2                         74     -69.8392     -69.8392      0.0000
  trna_3                         73     -69.2163     -69.2163      0.0000
  trna_4                         72     -73.1730     -73.1730      0.0000
  trna_5                         72     -71.7605     -71.7605      0.0000
  trna_6                         73     -70.6700     -70.6700      0.0000
  trna_7                         73     -69.0833     -69.0833      0.0000
  trna_8                         73     -66.3283     -66.3283      0.0000
  trna_9                         73     -70.3645     -70.3645      0.0000
  trna_10                        72     -74.3338     -74.3338      0.0000
  u5_1                          114     -47.4564     -47.4564      0.0000
  u5_2                          116     -39.5337     -39.5337      0.0000
  u5_3                          118     -49.9187     -49.9187      0.0000
  u5_4                          117     -43.5255     -43.5255      0.0000
  u5_5                          107     -48.2208     -48.2208      0.0000
  u5_6                          116     -45.7962     -45.7962      0.0000
  u5_7                          116     -50.1025     -50.1025      0.0000
  u5_8                          126     -43.4425     -43.4425      0.0000
  u5_9                          115     -51.9213     -51.9213      0.0000
  u5_10                         115     -47.6710     -47.6710      0.0000
  rrtWT_uc011zgd.1_2370         100     -57.5223     -57.5223      0.0000
  rrtWT_uc007ino.1_879          100     -65.6190     -65.6190      0.0000
  rrtWT_uc012dtn.1_1041         100     -59.0114     -59.0114      0.0000
  rrtWT_uc007bjr.2_621          100     -54.1993     -54.1993      0.0000
  rrtWT_uc008hom.1_603          100     -60.4376     -60.4376      0.0000
  rrtWT_uc007wki.1_323          100     -63.7034     -63.7034      0.0000
  rrtWT_uc008fec.1_254          100     -59.4279     -59.4279      0.0000
  rrtWT_uc007wxx.1_716          100     -52.1741     -52.1741      0.0000
  rrtWT_uc009qex.2_2789         100     -49.8391     -49.8391      0.0000
  rrtWT_uc007xbv.1_1165         100     -60.3598     -60.3598      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:01.07    0.96        0  0.00000    0.00
#
# CPU time: 2.10u 0.03s 00:00:02.13 Elapsed: 00:00:02
