# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01549.cm
# date:    Fri May 13 23:56:47 2016
# seed:    1463183807
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TB8Cs2H1                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:23.08       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -7.3208      -7.3208      0.0000
  QRF01739_AGJC01000011.1        62     -13.0523     -13.0523      0.0000
  QRF01739_AP012205.1            62      -3.4096      -3.4096      0.0000
  QRF01739_AEPQ01000180.1        85      -5.2942      -5.2942      0.0000
  QRF01739_AACY023065314.1       57      -6.1872      -6.1872      0.0000
  QRF01739_AACY020081009.1       57      -6.1872      -6.1872      0.0000
  QRF01739_ACSK01000180.1        92       4.0886       4.0886      0.0000
  QRF01739_BA000039.2           113     -11.9056     -11.9056      0.0000
  QRF01739_AACY023081145.1       53      -6.5562      -6.5562      0.0000
  QRF01739_AFSR01000238.1        99      -7.1581      -7.1581      0.0000
  QRF01739_AGJC01000003.1        76     -11.2621     -11.2621      0.0000
  QRF01739_AFSR01000146.1        92      -0.6603      -0.6603      0.0000
  QRF01739_CACA01000349.1        84      -7.6410      -7.6410      0.0000
  QRF01739_AACY022751187.1       52     -12.1715     -12.1715      0.0000
  QRF01739_AACY022283709.1       52     -12.1715     -12.1715      0.0000
  QRF01739_ABPS01003770.1       123      -5.6820      -5.6820      0.0000
  QRF01739_AFEJ01000345.1        83      -7.2167      -7.2167      0.0000
  QRF00005_CABR01000029.1        73     -14.6991     -14.6991      0.0000
  QRF00005_AFSR01002788.1        74     -16.2134     -16.2134      0.0000
  QRF00005_CP000927.1            72     -15.5584     -15.5584      0.0000
  QRF00005_AY741371.1            72     -15.6092     -15.6092      0.0000
  QRF00005_AEGR01000006.1        73     -11.6250     -11.6250      0.0000
  QRF00005_CP001189.1            73     -13.4140     -13.4140      0.0000
  QRF00005_CP000493.1            72      -8.4664      -8.4664      0.0000
  QRF00005_AP012159.1            73     -13.4140     -13.4140      0.0000
  QRF00005_AM889285.1            73     -13.4140     -13.4140      0.0000
  QRF00005_AGFR01000003.1        73     -12.5248     -12.5248      0.0000
  QRF00005_AFCH01000046.1        73     -13.4140     -13.4140      0.0000
  QRF00005_ADTV01000009.1        73     -13.4140     -13.4140      0.0000
  QRF00005_ABCE01000025.1        73     -17.0188     -17.0188      0.0000
  QRF00005_HM565909.1            72     -15.9245     -15.9245      0.0000
  QRF00005_CAFG01000441.1        73     -14.1440     -14.1440      0.0000
  QRF00005_AACY020656879.1       72     -18.6102     -18.6102      0.0000
  QRF00005_CP001744.1            73     -14.2045     -14.2045      0.0000
  QRF00005_CP000880.1            73     -10.6520     -10.6520      0.0000
  QRF00005_CACD01000012.1        73     -10.6520     -10.6520      0.0000
  QRF00005_CACD01000012.1        73     -10.6520     -10.6520      0.0000
  QRF00005_CACD01000012.1        73     -10.6520     -10.6520      0.0000
  QRF00005_AM849034.1            74     -12.5390     -12.5390      0.0000
  QRF00005_AM711867.1            74     -12.5390     -12.5390      0.0000
  QRF00005_AEQT01000005.1        73     -10.6520     -10.6520      0.0000
  QRF00005_AEQT01000005.1        73     -10.6520     -10.6520      0.0000
  QRF00005_ACDJ01000003.1        73     -10.6520     -10.6520      0.0000
  QRF00005_ABWL02000007.1        73     -10.6520     -10.6520      0.0000
  QRF00005_Z71579.1              73     -11.7340     -11.7340      0.0000
  QRF00005_X53782.1              73     -11.7340     -11.7340      0.0000
  QRF00005_M19391.1              73     -11.7340     -11.7340      0.0000
  QRF00005_M15314.1              73     -11.7340     -11.7340      0.0000
  QRF00005_L42023.1              73     -11.7340     -11.7340      0.0000
  QRF00005_L42023.1              73     -11.7340     -11.7340      0.0000
  QRF00005_L42023.1              73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670204.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670204.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670204.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670178.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670178.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670178.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ670178.1            73     -11.7340     -11.7340      0.0000
  QRF00005_FQ312006.1            73     -11.7340     -11.7340      0.0000
