# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01797.cm
# date:    Sun May  8 20:48:35 2016
# seed:    1462715315
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  fstAT                      search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.38       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -17.7471     -17.7471      0.0000
  trna_2                         74     -34.4316     -34.4316      0.0000
  trna_3                         73     -20.0505     -20.0505      0.0000
  trna_4                         72     -23.6420     -23.6420      0.0000
  trna_5                         72     -27.1138     -27.1138      0.0000
  trna_6                         73     -25.9008     -25.9008      0.0000
  trna_7                         73     -25.3323     -25.3323      0.0000
  trna_8                         73     -30.2210     -30.2210      0.0000
  trna_9                         73     -30.3476     -30.3476      0.0000
  trna_10                        72     -17.1846     -17.1846      0.0000
  u5_1                          114     -10.3822     -10.3822      0.0000
  u5_2                          116     -20.4756     -20.4756      0.0000
  u5_3                          118     -18.2577     -18.2577      0.0000
  u5_4                          117     -10.9375     -10.9375      0.0000
  u5_5                          107     -18.3304     -18.3304      0.0000
  u5_6                          116     -16.0515     -16.0515      0.0000
  u5_7                          116     -19.1203     -19.1203      0.0000
  u5_8                          126     -16.4087     -16.4087      0.0000
  u5_9                          115     -17.7423     -17.7423      0.0000
  u5_10                         115     -14.0455     -14.0455      0.0000
  rrtWT_uc011zgd.1_2370         100     -14.4826     -14.4826      0.0000
  rrtWT_uc007ino.1_879          100     -16.7610     -16.7610      0.0000
  rrtWT_uc012dtn.1_1041         100     -15.9267     -15.9267      0.0000
  rrtWT_uc007bjr.2_621          100     -16.0637     -16.0637      0.0000
  rrtWT_uc008hom.1_603          100     -14.8176     -14.8176      0.0000
  rrtWT_uc007wki.1_323          100     -23.5621     -23.5621      0.0000
  rrtWT_uc008fec.1_254          100     -16.7603     -16.7603      0.0000
  rrtWT_uc007wxx.1_716          100     -16.6659     -16.6659      0.0000
  rrtWT_uc009qex.2_2789         100      -7.9105      -7.9105      0.0000
  rrtWT_uc007xbv.1_1165         100     -19.7294     -19.7294      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.55    0.69        0  0.00000    0.00
#
# CPU time: 0.93u 0.01s 00:00:00.94 Elapsed: 00:00:01
