# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00015.cm
# date:    Sat May 14 03:50:11 2016
# seed:    1463197811
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  U4                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:25.81       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -50.0657     -50.0657      0.0000
  QRF01739_AGJC01000011.1        62     -49.1534     -49.1534      0.0000
  QRF01739_AP012205.1            62     -45.0246     -45.0246      0.0000
  QRF01739_AEPQ01000180.1        85     -39.8782     -39.8782      0.0000
  QRF01739_AACY023065314.1       57     -52.6449     -52.6449      0.0000
  QRF01739_AACY020081009.1       57     -52.6449     -52.6449      0.0000
  QRF01739_ACSK01000180.1        92     -42.7818     -42.7818      0.0000
  QRF01739_BA000039.2           113     -35.8504     -35.8504      0.0000
  QRF01739_AACY023081145.1       53     -58.7521     -58.7521      0.0000
  QRF01739_AFSR01000238.1        99     -38.3845     -38.3845      0.0000
  QRF01739_AGJC01000003.1        76     -43.0318     -43.0318      0.0000
  QRF01739_AFSR01000146.1        92     -40.3464     -40.3464      0.0000
  QRF01739_CACA01000349.1        84     -48.4325     -48.4325      0.0000
  QRF01739_AACY022751187.1       52     -56.9029     -56.9029      0.0000
  QRF01739_AACY022283709.1       52     -56.9029     -56.9029      0.0000
  QRF01739_ABPS01003770.1       123     -32.0682     -32.0682      0.0000
  QRF01739_AFEJ01000345.1        83     -35.7774     -35.7774      0.0000
  QRF00005_CABR01000029.1        73     -46.9280     -46.9280      0.0000
  QRF00005_AFSR01002788.1        74     -52.5027     -52.5027      0.0000
  QRF00005_CP000927.1            72     -37.0233     -37.0233      0.0000
  QRF00005_AY741371.1            72     -48.7506     -48.7506      0.0000
  QRF00005_AEGR01000006.1        73     -50.1795     -50.1795      0.0000
  QRF00005_CP001189.1            73     -44.1567     -44.1567      0.0000
  QRF00005_CP000493.1            72     -36.9199     -36.9199      0.0000
  QRF00005_AP012159.1            73     -44.1567     -44.1567      0.0000
  QRF00005_AM889285.1            73     -44.1567     -44.1567      0.0000
  QRF00005_AGFR01000003.1        73     -45.1497     -45.1497      0.0000
  QRF00005_AFCH01000046.1        73     -44.1567     -44.1567      0.0000
  QRF00005_ADTV01000009.1        73     -44.1567     -44.1567      0.0000
  QRF00005_ABCE01000025.1        73     -47.0537     -47.0537      0.0000
  QRF00005_HM565909.1            72     -50.4531     -50.4531      0.0000
  QRF00005_CAFG01000441.1        73     -52.4856     -52.4856      0.0000
  QRF00005_AACY020656879.1       72     -49.2657     -49.2657      0.0000
  QRF00005_CP001744.1            73     -46.7615     -46.7615      0.0000
  QRF00005_CP000880.1            73     -45.7247     -45.7247      0.0000
  QRF00005_CACD01000012.1        73     -45.7247     -45.7247      0.0000
  QRF00005_CACD01000012.1        73     -45.7247     -45.7247      0.0000
  QRF00005_CACD01000012.1        73     -45.7247     -45.7247      0.0000
  QRF00005_AM849034.1            74     -45.2809     -45.2809      0.0000
  QRF00005_AM711867.1            74     -45.2809     -45.2809      0.0000
  QRF00005_AEQT01000005.1        73     -45.7247     -45.7247      0.0000
  QRF00005_AEQT01000005.1        73     -45.7247     -45.7247      0.0000
  QRF00005_ACDJ01000003.1        73     -45.7247     -45.7247      0.0000
  QRF00005_ABWL02000007.1        73     -45.7247     -45.7247      0.0000
  QRF00005_Z71579.1              73     -47.5127     -47.5127      0.0000
  QRF00005_X53782.1              73     -47.5127     -47.5127      0.0000
  QRF00005_M19391.1              73     -47.5127     -47.5127      0.0000
  QRF00005_M15314.1              73     -47.5127     -47.5127      0.0000
  QRF00005_L42023.1              73     -47.5127     -47.5127      0.0000
  QRF00005_L42023.1              73     -47.5127     -47.5127      0.0000
  QRF00005_L42023.1              73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670204.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670204.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670204.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670178.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670178.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670178.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ670178.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ312006.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ312006.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ312006.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ312002.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ312002.1            73     -47.5127     -47.5127      0.0000
  QRF00005_FQ312002.1            73     -47.5127     -47.5127      0.0000
  QRF00005_EF196803.1            73     -47.5127     -47.5127      0.0000
  QRF00005_EF196803.1            73     -47.5127     -47.5127      0.0000
  QRF00005_CP003022.1            73     -47.5127     -47.5127      0.0000
  QRF00001_EU093378.1           119     -42.6940     -43.3432      0.6491
  QRF00001_AAAA02047827.1       119     -41.6264     -41.6264      0.0000
  QRF00001_AAAA02043281.1       119     -41.5345     -42.1728      0.6384
  QRF00001_EF064700.1           119     -37.8048     -37.8048      0.0000
  QRF00001_EF064692.1           119     -37.8048     -37.8048      0.0000
  QRF00001_EF064687.1           119     -37.8048     -37.8048      0.0000
  QRF00001_EF064680.1           119     -37.8048     -37.8048      0.0000
  QRF00001_EF064678.1           119     -37.8048     -37.8048      0.0000
  QRF00001_EF064556.1           119     -37.8048     -37.8048      0.0000
  QRF00001_AJ390135.1           119     -37.8048     -37.8048      0.0000
  QRF00001_HQ270965.1           119     -41.6264     -41.6264      0.0000
  QRF00001_GQ324770.1           119     -41.6264     -41.6264      0.0000
  QRF00001_FJ882503.1           119     -41.6264     -41.6264      0.0000
  QRF00001_AF550740.1           119     -41.6264     -41.6264      0.0000
  QRF00001_HQ270648.1           119     -41.6264     -41.6264      0.0000
  QRF00001_EU924818.1           119     -41.6264     -41.6264      0.0000
  QRF00001_EU093153.1           119     -41.6264     -41.6264      0.0000
  QRF00001_EF524209.1           119     -41.6264     -41.6264      0.0000
  QRF00001_AY316209.1           119     -41.6264     -41.6264      0.0000
  QRF00001_AY034674.1           119     -41.6264     -41.6264      0.0000
  QRF00001_AJ409525.1           119     -41.6264     -41.6264      0.0000
  QRF00001_AF550715.1           119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01010155.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01009775.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01009775.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01009775.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01009135.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01009119.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01009117.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005845.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005845.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005844.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005841.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005839.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005838.1       119     -41.6264     -41.6264      0.0000
  QRF00001_ABXC01005838.1       119     -41.6264     -41.6264      0.0000
